    time    temp    dens
   1.17360441495399E+03   1.00000000000000E-02   2.44427318170597E-07
     nin     zin       y       x
  1    0     1.10447101572858E-06   1.10447101572858E-06
  0    1     2.67173380771019E-06   2.67173380771019E-06
  1    1     8.55148622643086E-10   1.71029724528617E-09
  2    1     3.27674576862374E-08   9.83023730587123E-08
  1    2     3.43500513930168E-14   1.03050154179051E-13
  2    2     2.75510796674152E-04   1.10204318669661E-03
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.71013099548960E-23   1.02607859729376E-22
  4    3     2.81971853750465E-09   1.97380297625325E-08
  5    3     6.01092119314711E-18   4.80873695451769E-17
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     1.16276586262332E-06   1.04648927636099E-05
  6    4     7.82286500512421E-07   7.82286500512421E-06
  7    4     1.96634133002476E-15   2.16297546302724E-14
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     7.79495319979229E-18   7.79495319979229E-17
  6    5     2.25149589827771E-08   2.47664548810548E-07
  7    5     1.29145898640213E-19   1.54975078368255E-18
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.40506526634043E-07   5.28607831960851E-06
  7    6     2.05447580674363E-08   2.67081854876672E-07
  8    6     1.29836428512138E-08   1.81770999916993E-07
  9    6     2.37299545911563E-19   3.55949318867345E-18
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     4.70713477677448E-12   6.58998868748427E-11
  8    7     7.01207834391329E-06   1.05181175158699E-04
  9    7     5.87032275841801E-16   9.39251641346882E-15
 10    7     1.21865484660961E-25   2.07171323923634E-24
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.74679935326872E-07   2.79487896522995E-06
  9    8     2.84067491737010E-09   4.82914735952918E-08
