    time    temp    dens
   8.98536151876375E-01   6.86103334830650E-01   5.44638428193027E+02
     nin     zin       y       x
  1    0     3.53964862705210E-04   3.53964862705210E-04
  0    1     6.10014523263882E-11   6.10014523263882E-11
  1    1     6.14356282434954E-10   1.22871256486991E-09
  2    1     2.06964163609552E-09   6.20892490828655E-09
  1    2     9.67689997638730E-18   2.90306999291619E-17
  2    2     1.96791516437763E-04   7.87166065751052E-04
  4    2     6.04488936527862E-11   3.62693361916717E-10
  3    3     2.79884350321966E-17   1.67930610193180E-16
  4    3     4.86095119641907E-11   3.40266583749335E-10
  5    3     5.53084474331698E-12   4.42467579465359E-11
  6    3     1.82217508336644E-06   1.63995757502979E-05
  3    4     4.04691987576158E-25   2.83284391303310E-24
  5    4     4.69996849200718E-09   4.22997164280646E-08
  6    4     7.79371105427145E-07   7.79371105427145E-06
  7    4     1.56711348074506E-13   1.72382482881956E-12
  8    4     3.34839820427378E-09   4.01807784512853E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     5.13956326754507E-22   5.13956326754507E-21
  6    5     7.01522240728530E-11   7.71674464801383E-10
  7    5     2.84054167674433E-10   3.40865001209319E-09
  8    5     1.14938990166913E-08   1.49420687216987E-07
  9    5     3.66194211432869E-12   5.12671896006017E-11
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     2.04021562768902E-10   2.44825875322683E-09
  7    6     4.57102005707704E-10   5.94232607420015E-09
  8    6     8.33072136004560E-09   1.16630099040638E-07
  9    6     2.87619741956965E-10   4.31429612935448E-09
 10    6     6.12510862988429E-06   9.80017380781487E-05
 11    6     1.16373623557315E-10   1.97835160047436E-09
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     4.01710305178976E-23   5.22223396732669E-22
  7    7     1.25101935563577E-15   1.75142709789008E-14
  8    7     9.88105552998068E-09   1.48215832949710E-07
  9    7     1.22174244782950E-08   1.95478791652719E-07
 10    7     2.07330494854271E-08   3.52461841252261E-07
 11    7     1.25037863635867E-08   2.25068154544561E-07
 12    7     2.76942135701943E-09   5.26190057833691E-08
 13    7     1.16005949042921E-06   2.32011898085842E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.82824537054791E-12   2.92519259287665E-11
  9    8     1.09961043920631E-14   1.86933774665072E-13
 10    8     1.42924010836825E-11   2.57263219506284E-10
 11    8     5.71937700583100E-10   1.08668163110789E-08
 12    8     1.58802058558047E-08   3.17604117116095E-07
 13    8     1.13180379608261E-07   2.37678797177347E-06
 14    8     3.41896590854327E-06   7.52172499879519E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     1.00000000000000E-99   1.00000000000000E-99
  9    9     1.00000000000000E-99   1.00000000000000E-99
 10    9     4.22806099782379E-15   8.03331589586519E-14
 11    9     2.10078875525993E-14   4.20157751051985E-13
 12    9     1.68539724041714E-10   3.53933420487598E-09
 13    9     7.66511342057813E-09   1.68632495252719E-07
 14    9     3.67570579575187E-10   8.45412333022931E-09
 15    9     8.48364827695262E-10   2.03607558646863E-08
 16    9     7.67181127828274E-08   1.91795281957069E-06
 17    9     3.69523545221437E-11   9.60761217575735E-10
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     1.16397405715432E-19   2.32794811430865E-18
 11   10     6.63366615404203E-16   1.39306989234883E-14
 12   10     3.90005821011528E-13   8.58012806225362E-12
 13   10     2.47989555851996E-12   5.70375978459591E-11
 14   10     1.64779278362793E-10   3.95470268070702E-09
 15   10     2.29460480629399E-09   5.73651201573499E-08
 16   10     1.65570416495808E-09   4.30483082889101E-08
 17   10     2.21721741378725E-10   5.98648701722558E-09
 18   10     1.00015465072548E-09   2.80043302203134E-08
 19   10     5.85791296094553E-11   1.69879475867420E-09
 20   10     3.54928917241384E-10   1.06478675172415E-08
 21   10     9.16459094640655E-11   2.84102319338603E-09
 22   10     1.09905979739138E-09   3.51699135165240E-08
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     1.00000000000000E-99   1.00000000000000E-99
 12   11     7.89677507875279E-19   1.81625826811314E-17
 13   11     1.20720771636895E-17   2.89729851928548E-16
 14   11     1.40660782937986E-13   3.51651957344965E-12
 15   11     3.60623776105142E-13   9.37621817873370E-12
 16   11     9.53233000714035E-12   2.57372910192789E-10
 17   11     6.09689209116830E-12   1.70712978552712E-10
 18   11     7.27267209005942E-11   2.10907490611723E-09
 19   11     1.39060853213606E-11   4.17182559640819E-10
 20   11     3.72423306418945E-10   1.15451224989873E-08
 21   11     1.01353413097990E-08   3.24330921913567E-07
 22   11     1.46223193107060E-12   4.82536537253300E-11
 23   11     5.40764854748331E-15   1.83860050614433E-13
 24   11     2.52556979524678E-13   8.83949428336372E-12
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
