,0
0,7.074086014131782e-95
1,7.074086013414691e-95
2,7.074086012696337e-95
3,7.074086011976718e-95
4,7.074086011255835e-95
5,7.074086010533681e-95
6,7.074086009810257e-95
7,7.07408600908556e-95
8,7.074086008359589e-95
9,7.07408600763234e-95
10,7.074086006903811e-95
11,7.074086006174e-95
12,7.074086005442904e-95
13,7.074086004710521e-95
14,7.074086003976851e-95
15,7.074086003241889e-95
16,7.074086002505635e-95
17,7.074086001768084e-95
18,7.074086001029234e-95
19,7.074086000289087e-95
20,7.074085999547635e-95
21,7.074085998804878e-95
22,7.074085998060815e-95
23,7.074085997315442e-95
24,7.07408599656876e-95
25,7.07408599582076e-95
26,7.074085995071445e-95
27,7.074085994320812e-95
28,7.074085993568858e-95
29,7.074085992815582e-95
30,7.07408599206098e-95
31,7.074085991305048e-95
32,7.074085990547787e-95
33,7.074085989789194e-95
34,7.074085989029266e-95
35,7.074085988268e-95
36,7.074085987505394e-95
37,7.074085986741448e-95
38,7.074085985976157e-95
39,7.074085985209518e-95
40,7.074085984441531e-95
41,7.074085983672192e-95
42,7.074085982901499e-95
43,7.074085982129451e-95
44,7.074085981356043e-95
45,7.074085980581274e-95
46,7.074085979805142e-95
47,7.074085979027645e-95
48,7.07408597824878e-95
49,7.074085977468543e-95
50,7.074085976686933e-95
51,7.074085975903949e-95
52,7.074085975119585e-95
53,7.074085974333842e-95
54,7.074085973546717e-95
55,7.074085972758205e-95
56,7.074085971968309e-95
57,7.07408597117702e-95
58,7.07408597038434e-95
59,7.074085969590263e-95
60,7.07408596879479e-95
61,7.074085967997917e-95
62,7.074085967199641e-95
63,7.074085966399962e-95
64,7.074085965598874e-95
65,7.074085964796378e-95
66,7.074085963992468e-95
67,7.074085963187145e-95
68,7.074085962380404e-95
69,7.074085961572243e-95
70,7.074085960762661e-95
71,7.074085959951653e-95
72,7.074085959139218e-95
73,7.074085958325355e-95
74,7.074085957510059e-95
75,7.074085956693327e-95
76,7.07408595587516e-95
77,7.074085955055551e-95
78,7.0740859542345e-95
79,7.074085953412006e-95
80,7.074085952588063e-95
81,7.074085951762671e-95
82,7.074085950935826e-95
83,7.074085950107526e-95
84,7.074085949277768e-95
85,7.07408594844655e-95
86,7.074085947613871e-95
87,7.074085946779726e-95
88,7.074085945944112e-95
89,7.074085945107029e-95
90,7.07408594426847e-95
91,7.074085943428437e-95
92,7.074085942586926e-95
93,7.074085941743934e-95
94,7.07408594089946e-95
95,7.0740859400535e-95
96,7.074085939206049e-95
97,7.074085938357109e-95
98,7.074085937506672e-95
99,7.07408593665474e-95
100,7.07408593580131e-95
101,7.074085934946379e-95
102,7.074085934089941e-95
103,7.074085933231997e-95
104,7.074085932372542e-95
105,7.074085931511576e-95
106,7.074085930649094e-95
107,7.074085929785097e-95
108,7.074085928919576e-95
109,7.074085928052534e-95
110,7.074085927183965e-95
111,7.074085926313868e-95
112,7.07408592544224e-95
113,7.074085924569079e-95
114,7.07408592369438e-95
115,7.074085922818142e-95
116,7.074085921940362e-95
117,7.074085921061039e-95
118,7.074085920180168e-95
119,7.074085919297746e-95
120,7.074085918413772e-95
121,7.074085917528242e-95
122,7.074085916641153e-95
123,7.074085915752503e-95
124,7.07408591486229e-95
125,7.07408591397051e-95
126,7.07408591307716e-95
127,7.074085912182241e-95
128,7.074085911285744e-95
129,7.074085910387671e-95
130,7.074085909488017e-95
131,7.074085908586779e-95
132,7.074085907683958e-95
133,7.074085906779545e-95
134,7.074085905873541e-95
135,7.074085904965945e-95
136,7.074085904056751e-95
137,7.074085903145955e-95
138,7.074085902233559e-95
139,7.074085901319556e-95
140,7.074085900403945e-95
141,7.074085899486723e-95
142,7.074085898567884e-95
143,7.074085897647432e-95
144,7.074085896725359e-95
145,7.074085895801663e-95
146,7.074085894876341e-95
147,7.074085893949392e-95
148,7.074085893020811e-95
149,7.074085892090596e-95
150,7.074085891158744e-95
151,7.074085890225253e-95
152,7.074085889290118e-95
153,7.074085888353338e-95
154,7.07408588741491e-95
155,7.074085886474831e-95
156,7.074085885533096e-95
157,7.074085884589706e-95
158,7.074085883644655e-95
159,7.074085882697938e-95
160,7.074085881749559e-95
161,7.074085880799511e-95
162,7.074085879847789e-95
163,7.074085878894392e-95
164,7.074085877939318e-95
165,7.074085876982565e-95
166,7.074085876024128e-95
167,7.074085875064003e-95
168,7.074085874102189e-95
169,7.074085873138682e-95
170,7.074085872173479e-95
171,7.07408587120658e-95
172,7.074085870237977e-95
173,7.074085869267672e-95
174,7.074085868295657e-95
175,7.074085867321932e-95
176,7.074085866346494e-95
177,7.074085865369339e-95
178,7.074085864390465e-95
179,7.074085863409869e-95
180,7.074085862427547e-95
181,7.074085861443496e-95
182,7.074085860457715e-95
183,7.074085859470197e-95
184,7.074085858480941e-95
185,7.074085857489945e-95
186,7.074085856497205e-95
187,7.074085855502719e-95
188,7.074085854506483e-95
189,7.074085853508493e-95
190,7.074085852508746e-95
191,7.074085851507241e-95
192,7.074085850503975e-95
193,7.074085849498941e-95
194,7.074085848492138e-95
195,7.074085847483565e-95
196,7.074085846473217e-95
197,7.07408584546109e-95
198,7.074085844447183e-95
199,7.074085843431492e-95
200,7.074085842414014e-95
201,7.074085841394745e-95
202,7.07408584037368e-95
203,7.074085839350821e-95
204,7.074085838326162e-95
205,7.074085837299698e-95
206,7.074085836271429e-95
207,7.074085835241351e-95
208,7.074085834209459e-95
209,7.074085833175752e-95
210,7.074085832140227e-95
211,7.074085831102878e-95
212,7.074085830063704e-95
213,7.074085829022701e-95
214,7.074085827979867e-95
215,7.074085826935197e-95
216,7.074085825888689e-95
217,7.07408582484034e-95
218,7.074085823790146e-95
219,7.074085822738105e-95
220,7.074085821684211e-95
221,7.074085820628462e-95
222,7.074085819570855e-95
223,7.074085818511388e-95
224,7.074085817450057e-95
225,7.074085816386858e-95
226,7.074085815321786e-95
227,7.074085814254843e-95
228,7.074085813186022e-95
229,7.074085812115319e-95
230,7.074085811042731e-95
231,7.074085809968257e-95
232,7.074085808891893e-95
233,7.074085807813634e-95
234,7.074085806733477e-95
235,7.074085805651418e-95
236,7.074085804567457e-95
237,7.074085803481588e-95
238,7.074085802393807e-95
239,7.074085801304114e-95
240,7.074085800212502e-95
241,7.074085799118969e-95
242,7.074085798023513e-95
243,7.074085796926128e-95
244,7.074085795826812e-95
245,7.074085794725562e-95
246,7.074085793622373e-95
247,7.074085792517244e-95
248,7.074085791410168e-95
249,7.074085790301147e-95
250,7.074085789190173e-95
251,7.074085788077243e-95
252,7.074085786962357e-95
253,7.074085785845506e-95
254,7.074085784726691e-95
255,7.074085783605908e-95
256,7.074085782483153e-95
257,7.074085781358421e-95
258,7.074085780231709e-95
259,7.074085779103016e-95
260,7.074085777972337e-95
261,7.074085776839666e-95
262,7.074085775705004e-95
263,7.074085774568346e-95
264,7.074085773429686e-95
265,7.074085772289022e-95
266,7.074085771146352e-95
267,7.074085770001669e-95
268,7.074085768854975e-95
269,7.074085767706261e-95
270,7.074085766555527e-95
271,7.074085765402766e-95
272,7.074085764247978e-95
273,7.074085763091157e-95
274,7.0740857619323e-95
275,7.074085760771405e-95
276,7.074085759608467e-95
277,7.074085758443481e-95
278,7.074085757276447e-95
279,7.074085756107359e-95
280,7.074085754936213e-95
281,7.074085753763005e-95
282,7.074085752587735e-95
283,7.074085751410394e-95
284,7.074085750230982e-95
285,7.074085749049495e-95
286,7.07408574786593e-95
287,7.074085746680281e-95
288,7.074085745492546e-95
289,7.074085744302722e-95
290,7.074085743110803e-95
291,7.074085741916786e-95
292,7.074085740720668e-95
293,7.074085739522446e-95
294,7.074085738322115e-95
295,7.074085737119671e-95
296,7.074085735915112e-95
297,7.074085734708434e-95
298,7.074085733499631e-95
299,7.074085732288702e-95
300,7.074085731075641e-95
301,7.074085729860446e-95
302,7.074085728643111e-95
303,7.074085727423637e-95
304,7.074085726202015e-95
305,7.074085724978243e-95
306,7.074085723752319e-95
307,7.074085722524237e-95
308,7.074085721293994e-95
309,7.074085720061586e-95
310,7.074085718827009e-95
311,7.074085717590258e-95
312,7.074085716351334e-95
313,7.074085715110228e-95
314,7.074085713866937e-95
315,7.07408571262146e-95
316,7.074085711373791e-95
317,7.074085710123925e-95
318,7.07408570887186e-95
319,7.074085707617593e-95
320,7.074085706361118e-95
321,7.074085705102432e-95
322,7.07408570384153e-95
323,7.07408570257841e-95
324,7.074085701313067e-95
325,7.074085700045499e-95
326,7.074085698775698e-95
327,7.074085697503664e-95
328,7.074085696229392e-95
329,7.074085694952877e-95
330,7.074085693674116e-95
331,7.074085692393104e-95
332,7.074085691109837e-95
333,7.074085689824313e-95
334,7.074085688536528e-95
335,7.074085687246474e-95
336,7.074085685954151e-95
337,7.074085684659554e-95
338,7.07408568336268e-95
339,7.074085682063521e-95
340,7.07408568076208e-95
341,7.074085679458345e-95
342,7.074085678152318e-95
343,7.074085676843992e-95
