,0
0,1.7522094928802417e-98
1,1.7522094927026225e-98
2,1.7522094925246904e-98
3,1.7522094923464452e-98
4,1.7522094921678865e-98
5,1.7522094919890133e-98
6,1.7522094918098257e-98
7,1.7522094916303227e-98
8,1.7522094914505035e-98
9,1.7522094912703683e-98
10,1.752209491089916e-98
11,1.752209490909146e-98
12,1.752209490728058e-98
13,1.7522094905466512e-98
14,1.752209490364925e-98
15,1.7522094901828794e-98
16,1.7522094900005137e-98
17,1.7522094898178264e-98
18,1.752209489634818e-98
19,1.7522094894514873e-98
20,1.7522094892678342e-98
21,1.7522094890838576e-98
22,1.7522094888995577e-98
23,1.7522094887149332e-98
24,1.7522094885299843e-98
25,1.7522094883447095e-98
26,1.7522094881591085e-98
27,1.752209487973181e-98
28,1.7522094877869266e-98
29,1.7522094876003445e-98
30,1.7522094874134338e-98
31,1.7522094872261943e-98
32,1.752209487038625e-98
33,1.752209486850726e-98
34,1.752209486662496e-98
35,1.752209486473935e-98
36,1.7522094862850423e-98
37,1.7522094860958172e-98
38,1.752209485906259e-98
39,1.752209485716367e-98
40,1.7522094855261413e-98
41,1.7522094853355808e-98
42,1.7522094851446843e-98
43,1.7522094849534526e-98
44,1.752209484761884e-98
45,1.7522094845699783e-98
46,1.752209484377735e-98
47,1.7522094841851536e-98
48,1.752209483992233e-98
49,1.7522094837989732e-98
50,1.752209483605373e-98
51,1.7522094834114323e-98
52,1.75220948321715e-98
53,1.752209483022526e-98
54,1.75220948282756e-98
55,1.7522094826322502e-98
56,1.7522094824365972e-98
57,1.7522094822406e-98
58,1.7522094820442576e-98
59,1.7522094818475696e-98
60,1.7522094816505357e-98
61,1.7522094814531548e-98
62,1.7522094812554266e-98
63,1.7522094810573505e-98
64,1.752209480858926e-98
65,1.7522094806601526e-98
66,1.7522094804610286e-98
67,1.7522094802615546e-98
68,1.7522094800617298e-98
69,1.7522094798615532e-98
70,1.7522094796610245e-98
71,1.7522094794601426e-98
72,1.7522094792589073e-98
73,1.7522094790573182e-98
74,1.752209478855374e-98
75,1.7522094786530745e-98
76,1.7522094784504192e-98
77,1.752209478247407e-98
78,1.7522094780440376e-98
79,1.7522094778403103e-98
80,1.7522094776362247e-98
81,1.75220947743178e-98
82,1.7522094772269753e-98
83,1.7522094770218102e-98
84,1.7522094768162842e-98
85,1.7522094766103966e-98
86,1.7522094764041465e-98
87,1.7522094761975338e-98
88,1.752209475990557e-98
89,1.7522094757832163e-98
90,1.7522094755755105e-98
91,1.7522094753674392e-98
92,1.752209475159002e-98
93,1.7522094749501977e-98
94,1.7522094747410265e-98
95,1.7522094745314868e-98
96,1.7522094743215785e-98
97,1.7522094741113008e-98
98,1.7522094739006528e-98
99,1.7522094736896344e-98
100,1.7522094734782444e-98
101,1.752209473266483e-98
102,1.7522094730543485e-98
103,1.7522094728418406e-98
104,1.7522094726289592e-98
105,1.752209472415703e-98
106,1.752209472202071e-98
107,1.752209471988064e-98
108,1.7522094717736798e-98
109,1.7522094715589184e-98
110,1.752209471343779e-98
111,1.752209471128261e-98
112,1.7522094709123642e-98
113,1.752209470696087e-98
114,1.7522094704794292e-98
115,1.7522094702623906e-98
116,1.7522094700449696e-98
117,1.7522094698271663e-98
118,1.7522094696089796e-98
119,1.752209469390409e-98
120,1.7522094691714537e-98
121,1.7522094689521132e-98
122,1.7522094687323867e-98
123,1.7522094685122733e-98
124,1.7522094682917727e-98
125,1.752209468070884e-98
126,1.7522094678496066e-98
127,1.7522094676279404e-98
128,1.7522094674058834e-98
129,1.752209467183436e-98
130,1.752209466960597e-98
131,1.7522094667373656e-98
132,1.7522094665137418e-98
133,1.7522094662897243e-98
134,1.7522094660653128e-98
135,1.7522094658405065e-98
136,1.7522094656153042e-98
137,1.7522094653897053e-98
138,1.7522094651637104e-98
139,1.7522094649373172e-98
140,1.7522094647105255e-98
141,1.752209464483335e-98
142,1.752209464255744e-98
143,1.7522094640277533e-98
144,1.7522094637993613e-98
145,1.7522094635705677e-98
146,1.7522094633413707e-98
147,1.752209463111771e-98
148,1.7522094628817666e-98
149,1.752209462651358e-98
150,1.7522094624205437e-98
151,1.7522094621893235e-98
152,1.752209461957696e-98
153,1.7522094617256612e-98
154,1.752209461493218e-98
155,1.752209461260366e-98
156,1.7522094610271037e-98
157,1.7522094607934314e-98
158,1.752209460559348e-98
159,1.7522094603248518e-98
160,1.7522094600899438e-98
161,1.7522094598546226e-98
162,1.7522094596188866e-98
163,1.752209459382736e-98
164,1.7522094591461696e-98
165,1.7522094589091877e-98
166,1.752209458671788e-98
167,1.7522094584339713e-98
168,1.7522094581957355e-98
169,1.7522094579570803e-98
170,1.7522094577180053e-98
171,1.75220945747851e-98
172,1.7522094572385927e-98
173,1.7522094569982538e-98
174,1.7522094567574916e-98
175,1.7522094565163054e-98
176,1.7522094562746953e-98
177,1.75220945603266e-98
178,1.7522094557901983e-98
179,1.7522094555473106e-98
180,1.7522094553039953e-98
181,1.7522094550602515e-98
182,1.7522094548160793e-98
183,1.752209454571477e-98
184,1.752209454326444e-98
185,1.7522094540809802e-98
186,1.7522094538350846e-98
187,1.752209453588756e-98
188,1.7522094533419942e-98
189,1.752209453094798e-98
190,1.7522094528471666e-98
191,1.7522094525990996e-98
192,1.7522094523505964e-98
193,1.7522094521016555e-98
194,1.7522094518522765e-98
195,1.7522094516024585e-98
196,1.7522094513522017e-98
197,1.7522094511015037e-98
198,1.752209450850365e-98
199,1.752209450598784e-98
200,1.7522094503467606e-98
201,1.7522094500942938e-98
202,1.7522094498413822e-98
203,1.752209449588026e-98
204,1.752209449334224e-98
205,1.752209449079975e-98
206,1.7522094488252787e-98
207,1.7522094485701344e-98
208,1.7522094483145408e-98
209,1.752209448058498e-98
210,1.7522094478020042e-98
211,1.752209447545059e-98
212,1.7522094472876615e-98
213,1.7522094470298114e-98
214,1.7522094467715076e-98
215,1.752209446512749e-98
216,1.7522094462535352e-98
217,1.7522094459938653e-98
