,0
0,2.4378045682696078e-91
1,2.4378045680414997e-91
2,2.4378045678129902e-91
3,2.437804567584078e-91
4,2.4378045673547634e-91
5,2.437804567125045e-91
6,2.4378045668949226e-91
7,2.437804566664395e-91
8,2.4378045664334622e-91
9,2.437804566202123e-91
10,2.437804565970376e-91
11,2.437804565738222e-91
12,2.437804565505659e-91
13,2.4378045652726867e-91
14,2.4378045650393048e-91
15,2.437804564805512e-91
16,2.4378045645713077e-91
17,2.437804564336691e-91
18,2.4378045641016622e-91
19,2.4378045638662193e-91
20,2.4378045636303623e-91
21,2.4378045633940896e-91
22,2.4378045631574018e-91
23,2.4378045629202976e-91
24,2.437804562682776e-91
25,2.437804562444836e-91
26,2.4378045622064777e-91
27,2.4378045619676997e-91
28,2.4378045617285019e-91
29,2.4378045614888827e-91
30,2.4378045612488422e-91
31,2.4378045610083796e-91
32,2.4378045607674933e-91
33,2.4378045605261832e-91
34,2.4378045602844485e-91
35,2.4378045600422882e-91
36,2.4378045597997022e-91
37,2.4378045595566892e-91
38,2.4378045593132486e-91
39,2.4378045590693794e-91
40,2.4378045588250812e-91
41,2.4378045585803528e-91
42,2.437804558335194e-91
43,2.437804558089604e-91
44,2.437804557843581e-91
45,2.4378045575971257e-91
46,2.4378045573502365e-91
47,2.4378045571029134e-91
48,2.4378045568551547e-91
49,2.4378045566069596e-91
50,2.4378045563583283e-91
51,2.4378045561092593e-91
52,2.4378045558597519e-91
53,2.437804555609806e-91
54,2.4378045553594196e-91
55,2.4378045551085924e-91
56,2.4378045548573246e-91
57,2.4378045546056141e-91
58,2.4378045543534604e-91
59,2.4378045541008637e-91
60,2.437804553847822e-91
61,2.4378045535943352e-91
62,2.4378045533404025e-91
63,2.4378045530860225e-91
64,2.4378045528311952e-91
65,2.4378045525759195e-91
66,2.4378045523201942e-91
67,2.4378045520640195e-91
68,2.4378045518073936e-91
69,2.4378045515503164e-91
70,2.4378045512927862e-91
71,2.4378045510348035e-91
72,2.4378045507763661e-91
73,2.4378045505174748e-91
74,2.4378045502581276e-91
75,2.4378045499983236e-91
76,2.4378045497380627e-91
77,2.4378045494773434e-91
78,2.437804549216166e-91
79,2.437804548954529e-91
80,2.4378045486924307e-91
81,2.4378045484298722e-91
82,2.4378045481668513e-91
83,2.4378045479033673e-91
84,2.4378045476394196e-91
85,2.437804547375008e-91
86,2.437804547110131e-91
87,2.437804546844787e-91
88,2.437804546578977e-91
89,2.437804546312699e-91
90,2.4378045460459523e-91
91,2.437804545778736e-91
92,2.43780454551105e-91
93,2.4378045452428927e-91
94,2.4378045449742635e-91
95,2.4378045447051615e-91
96,2.4378045444355862e-91
97,2.4378045441655364e-91
98,2.4378045438950114e-91
99,2.43780454362401e-91
100,2.437804543352532e-91
101,2.4378045430805764e-91
102,2.437804542808142e-91
