,0
0,1.0585697344802733e+17
1,1.0535348779208162e+17
2,1.0485337758319229e+17
3,1.0435658824904254e+17
4,1.0386306407099056e+17
5,1.033727491960441e+17
6,1.0288558839541584e+17
7,1.024018687363891e+17
8,1.0192141397639634e+17
9,1.0144395602226512e+17
10,1.0096944454891646e+17
11,1.004978971592856e+17
12,1.0002981769374472e+17
13,9.956462682332584e+16
14,9.91022921897553e+16
15,9.86427834148523e+16
16,9.818607237010605e+16
17,9.77321334446958e+16
18,9.72811206860063e+16
19,9.683299951290946e+16
20,9.638756263101592e+16
21,9.59447736032136e+16
22,9.550460039028283e+16
23,9.506701214849123e+16
24,9.463197857072166e+16
25,9.419946998656078e+16
26,9.376945743579203e+16
27,9.334196194881427e+16
28,9.2917158588309e+16
29,9.249503624369024e+16
30,9.207524194064459e+16
31,9.16585001589146e+16
32,9.124389011736333e+16
33,9.083140707017168e+16
34,9.042105151648469e+16
35,9.001318913282365e+16
36,8.960801865413883e+16
37,8.920489304942523e+16
38,8.88038071602975e+16
39,8.84047554014781e+16
40,8.800830455943874e+16
41,8.76142090148326e+16
42,8.722209587693624e+16
43,8.683195838634949e+16
44,8.644379146568766e+16
45,8.60581017387531e+16
46,8.567463698801464e+16
47,8.529311082967547e+16
48,8.491353647606648e+16
49,8.45359238206317e+16
50,8.416027986278982e+16
51,8.378687854332838e+16
52,8.34156268760391e+16
53,8.304629776269621e+16
54,8.267889341394605e+16
55,8.231341413568744e+16
56,8.194985852440614e+16
57,8.158822364117549e+16
58,8.122850516819907e+16
59,8.087069755074032e+16
60,8.051479412659573e+16
61,8.01608010126939e+16
62,7.98088070704828e+16
63,7.94586635138405e+16
64,7.911036241458834e+16
65,7.876389511709814e+16
66,7.841925233005891e+16
67,7.80764242123943e+16
68,7.77354004539909e+16
69,7.739617035192245e+16
70,7.705872288274658e+16
71,7.672304677142032e+16
72,7.638913055737338e+16
73,7.605696265821373e+16
74,7.57265929512084e+16
75,7.53979997460986e+16
76,7.50711291914172e+16
77,7.474596883681426e+16
78,7.442269587445571e+16
79,7.410096262427285e+16
80,7.378138379693061e+16
81,7.346337307957275e+16
82,7.31469043030302e+16
83,7.283211311001018e+16
84,7.251869487686734e+16
85,7.220767049587032e+16
86,7.189797834089154e+16
87,7.158962248908556e+16
88,7.128284026189862e+16
89,7.097816943664015e+16
90,7.067481562561762e+16
91,7.037278174897161e+16
92,7.007242819015586e+16
93,6.977398854950705e+16
94,6.947684888177888e+16
95,6.918101152378595e+16
96,6.888688204925851e+16
97,6.859477277935566e+16
98,6.8303752334854056e+16
99,6.801408127080404e+16
100,6.772654517039037e+16
101,6.744000162877982e+16
102,6.715475671563279e+16
103,6.6871643989668696e+16
104,6.65895261495854e+16
105,6.630859890320786e+16
106,6.602985517761085e+16
107,6.575210660721781e+16
108,6.547539014409146e+16
109,6.520095891660975e+16
110,6.492763753721119e+16
111,6.465524893380469e+16
112,6.438516963289976e+16
113,6.411585101250394e+16
114,6.3847907695602376e+16
115,6.3581787460560696e+16
116,6.331643936609272e+16
117,6.305283496963741e+16
118,6.279063869787543e+16
119,6.252922401195383e+16
120,6.226985334985081e+16
121,6.2011543520875384e+16
122,6.175402497707444e+16
123,6.149878419092747e+16
124,6.124432195714456e+16
125,6.0990889131663736e+16
126,6.073944998742475e+16
127,6.048879561315298e+16
128,6.023935180244328e+16
129,5.999167510965172e+16
130,5.974478816354459e+16
131,5.949924007085915e+16
132,5.925528592802247e+16
133,5.90121253525352e+16
134,5.877038283355167e+16
135,5.8530110644293496e+16
136,5.829063474919254e+16
137,5.805261051599468e+16
138,5.7815978944958856e+16
139,5.758014534127812e+16
140,5.734575464018816e+16
141,5.711272151354679e+16
142,5.68804869919641e+16
143,5.664964725929511e+16
144,5.642021601908043e+16
145,5.619151771386167e+16
146,5.5964271343433736e+16
147,5.573828362075587e+16
148,5.551303277753424e+16
149,5.5289295592005976e+16
150,5.506675045074318e+16
151,5.4844883572667784e+16
152,5.462468232325151e+16
153,5.4405436407389896e+16
154,5.418687389735146e+16
155,5.39701215971175e+16
156,5.3754137464108456e+16
157,5.353888762501946e+16
158,5.332555928203972e+16
159,5.3112770794103336e+16
160,5.2901055536543064e+16
161,5.2690748008687656e+16
162,5.2481012297248424e+16
163,5.227270895787396e+16
164,5.2065415153651704e+16
165,5.185871143807818e+16
166,5.1653705005025064e+16
167,5.144941927963535e+16
168,5.124588164438612e+16
169,5.1043947849526824e+16
170,5.084256076011317e+16
171,5.0642233349061656e+16
172,5.04431519014486e+16
173,5.024462907144196e+16
174,5.00473967550923e+16
175,4.985112915697962e+16
176,4.965544624576408e+16
177,4.946139463060785e+16
178,4.926785725535337e+16
179,4.907527595405334e+16
180,4.888384741646843e+16
181,4.869275229267712e+16
182,4.850334478604675e+16
183,4.8314315683948856e+16
184,4.8126276107421976e+16
185,4.793927195645667e+16
186,4.7752622551028376e+16
187,4.756754660627262e+16
188,4.7382872387238616e+16
189,4.719906513323459e+16
190,4.7016323141070456e+16
191,4.683394499134554e+16
192,4.665290052218783e+16
193,4.6472400765818664e+16
194,4.629253097539354e+16
195,4.611386630224662e+16
196,4.593556496736473e+16
197,4.5758269513893816e+16
198,4.55817478997795e+16
199,4.540560329620508e+16
200,4.523099283685082e+16
201,4.505647422715191e+16
202,4.4883120237076184e+16
203,4.4710191964626056e+16
204,4.453806285581628e+16
