,0
0,9.447469981860311e-77
1,9.447469980903129e-77
2,9.447469979944261e-77
3,9.447469978983708e-77
4,9.447469978021463e-77
5,9.447469977057524e-77
6,9.447469976091889e-77
7,9.447469975124556e-77
8,9.447469974155521e-77
9,9.447469973184779e-77
10,9.447469972212329e-77
11,9.44746997123817e-77
12,9.447469970262293e-77
13,9.447469969284702e-77
14,9.447469968305387e-77
15,9.44746996732435e-77
16,9.44746996634159e-77
17,9.447469965357096e-77
18,9.447469964370873e-77
19,9.447469963382911e-77
20,9.447469962393214e-77
21,9.447469961401772e-77
22,9.447469960408588e-77
23,9.447469959413653e-77
24,9.44746995841697e-77
25,9.447469957418532e-77
26,9.447469956418338e-77
27,9.447469955416382e-77
28,9.447469954412665e-77
29,9.44746995340718e-77
30,9.447469952399924e-77
31,9.447469951390898e-77
32,9.447469950380096e-77
33,9.447469949367516e-77
34,9.447469948353151e-77
35,9.447469947337006e-77
36,9.447469946319067e-77
37,9.44746994529934e-77
38,9.44746994427782e-77
39,9.447469943254498e-77
40,9.447469942229378e-77
41,9.447469941202452e-77
42,9.447469940173722e-77
43,9.44746993914318e-77
44,9.447469938110823e-77
45,9.44746993707665e-77
46,9.44746993604066e-77
47,9.447469935002844e-77
48,9.447469933963202e-77
49,9.447469932921729e-77
50,9.447469931878427e-77
51,9.447469930833287e-77
52,9.447469929786308e-77
53,9.447469928737486e-77
54,9.447469927686817e-77
55,9.447469926634302e-77
56,9.447469925579931e-77
57,9.447469924523707e-77
58,9.447469923465626e-77
59,9.447469922405682e-77
60,9.447469921343871e-77
61,9.447469920280192e-77
62,9.447469919214641e-77
63,9.447469918147215e-77
64,9.447469917077912e-77
65,9.447469916006726e-77
66,9.447469914933655e-77
67,9.447469913858696e-77
68,9.447469912781845e-77
69,9.447469911703099e-77
70,9.447469910622456e-77
71,9.447469909539908e-77
72,9.447469908455456e-77
73,9.4474699073691e-77
74,9.447469906280827e-77
75,9.44746990519064e-77
76,9.447469904098536e-77
77,9.447469903004509e-77
78,9.447469901908557e-77
79,9.447469900810675e-77
80,9.447469899710863e-77
81,9.447469898609115e-77
82,9.447469897505427e-77
83,9.447469896399798e-77
84,9.447469895292223e-77
85,9.4474698941827e-77
86,9.447469893071222e-77
87,9.44746989195779e-77
88,9.447469890842399e-77
89,9.447469889725045e-77
90,9.447469888605722e-77
91,9.447469887484431e-77
92,9.447469886361166e-77
93,9.447469885235927e-77
94,9.447469884108707e-77
95,9.4474698829795e-77
96,9.447469881848309e-77
97,9.447469880715128e-77
98,9.447469879579949e-77
99,9.447469878442774e-77
100,9.4474698773036e-77
101,9.44746987616242e-77
102,9.447469875019232e-77
103,9.447469873874031e-77
104,9.447469872726816e-77
105,9.447469871577582e-77
106,9.447469870426324e-77
107,9.447469869273042e-77
108,9.447469868117731e-77
109,9.447469866960385e-77
110,9.447469865801002e-77
111,9.44746986463958e-77
112,9.447469863476114e-77
113,9.4474698623106e-77
114,9.447469861143037e-77
115,9.447469859973416e-77
116,9.447469858801738e-77
117,9.447469857627998e-77
118,9.447469856452194e-77
119,9.447469855274318e-77
120,9.447469854094373e-77
121,9.44746985291235e-77
122,9.447469851728245e-77
123,9.447469850542058e-77
124,9.447469849353783e-77
125,9.447469848163417e-77
126,9.447469846970958e-77
127,9.447469845776399e-77
128,9.447469844579735e-77
129,9.447469843380969e-77
130,9.44746984218009e-77
131,9.447469840977102e-77
132,9.447469839771993e-77
133,9.447469838564767e-77
134,9.447469837355414e-77
135,9.447469836143932e-77
136,9.44746983493032e-77
137,9.447469833714572e-77
138,9.447469832496685e-77
139,9.447469831276655e-77
140,9.447469830054476e-77
141,9.447469828830149e-77
142,9.447469827603664e-77
143,9.447469826375024e-77
144,9.44746982514422e-77
145,9.447469823911249e-77
146,9.44746982267611e-77
147,9.447469821438798e-77
148,9.447469820199307e-77
149,9.447469818957635e-77
150,9.44746981771378e-77
151,9.447469816467733e-77
152,9.447469815219495e-77
153,9.44746981396906e-77
154,9.447469812716422e-77
155,9.447469811461583e-77
156,9.447469810204537e-77
157,9.447469808945276e-77
158,9.447469807683799e-77
159,9.447469806420102e-77
160,9.447469805154181e-77
161,9.447469803886034e-77
162,9.447469802615657e-77
163,9.44746980134304e-77
164,9.447469800068186e-77
165,9.447469798791088e-77
166,9.447469797511743e-77
167,9.447469796230146e-77
168,9.44746979494629e-77
169,9.44746979366018e-77
170,9.447469792371806e-77
171,9.447469791081162e-77
172,9.447469789788251e-77
173,9.44746978849306e-77
174,9.447469787195595e-77
175,9.447469785895843e-77
176,9.447469784593804e-77
177,9.447469783289473e-77
178,9.447469781982849e-77
179,9.447469780673924e-77
180,9.447469779362696e-77
181,9.44746977804916e-77
182,9.447469776733315e-77
183,9.447469775415151e-77
184,9.447469774094668e-77
185,9.447469772771863e-77
186,9.447469771446729e-77
187,9.447469770119264e-77
188,9.447469768789463e-77
189,9.44746976745732e-77
190,9.447469766122834e-77
191,9.447469764785999e-77
192,9.44746976344681e-77
193,9.447469762105269e-77
194,9.447469760761361e-77
195,9.447469759415093e-77
196,9.447469758066453e-77
197,9.447469756715443e-77
198,9.447469755362052e-77
199,9.44746975400628e-77
200,9.447469752648122e-77
201,9.447469751287576e-77
202,9.447469749924634e-77
203,9.447469748559292e-77
204,9.44746974719155e-77
205,9.4474697458214e-77
206,9.44746974444884e-77
207,9.447469743073864e-77
208,9.447469741696467e-77
209,9.447469740316647e-77
210,9.447469738934398e-77
211,9.447469737549718e-77
212,9.447469736162601e-77
213,9.447469734773042e-77
214,9.447469733381038e-77
215,9.447469731986586e-77
216,9.447469730589679e-77
217,9.44746972919031e-77
218,9.447469727788484e-77
219,9.447469726384189e-77
220,9.447469724977423e-77
221,9.447469723568179e-77
222,9.447469722156459e-77
223,9.447469720742252e-77
224,9.447469719325558e-77
225,9.447469717906368e-77
226,9.447469716484684e-77
227,9.447469715060495e-77
228,9.447469713633803e-77
229,9.447469712204597e-77
230,9.447469710772879e-77
231,9.447469709338641e-77
232,9.447469707901877e-77
233,9.447469706462586e-77
234,9.447469705020762e-77
235,9.447469703576399e-77
236,9.447469702129496e-77
237,9.447469700680048e-77
238,9.447469699228048e-77
239,9.44746969777349e-77
240,9.447469696316376e-77
241,9.447469694856697e-77
242,9.44746969339445e-77
243,9.447469691929629e-77
244,9.447469690462228e-77
245,9.447469688992246e-77
246,9.447469687519678e-77
247,9.447469686044518e-77
248,9.447469684566763e-77
249,9.447469683086408e-77
250,9.447469681603447e-77
251,9.447469680117874e-77
252,9.44746967862969e-77
253,9.447469677138886e-77
254,9.447469675645458e-77
255,9.447469674149403e-77
256,9.447469672650715e-77
257,9.447469671149388e-77
258,9.44746966964542e-77
259,9.447469668138806e-77
260,9.447469666629539e-77
261,9.447469665117619e-77
262,9.447469663603035e-77
263,9.447469662085787e-77
264,9.447469660565869e-77
265,9.447469659043277e-77
266,9.447469657518005e-77
267,9.44746965599005e-77
268,9.447469654459405e-77
269,9.447469652926063e-77
270,9.447469651390028e-77
271,9.447469649851286e-77
272,9.44746964830984e-77
273,9.447469646765679e-77
274,9.4474696452188e-77
275,9.447469643669202e-77
276,9.447469642116873e-77
277,9.447469640561815e-77
278,9.447469639004018e-77
279,9.447469637443484e-77
280,9.4474696358802e-77
281,9.447469634314165e-77
282,9.447469632745374e-77
283,9.447469631173824e-77
284,9.447469629599507e-77
285,9.44746962802242e-77
286,9.447469626442558e-77
287,9.447469624859915e-77
288,9.447469623274487e-77
289,9.44746962168627e-77
290,9.447469620095258e-77
291,9.447469618501444e-77
292,9.447469616904828e-77
293,9.447469615305402e-77
294,9.44746961370316e-77
295,9.4474696120981e-77
296,9.447469610490213e-77
297,9.447469608879498e-77
298,9.447469607265948e-77
299,9.447469605649559e-77
300,9.447469604030327e-77
301,9.447469602408242e-77
302,9.447469600783305e-77
303,9.447469599155508e-77
304,9.447469597524845e-77
305,9.447469595891313e-77
306,9.447469594254909e-77
307,9.447469592615623e-77
308,9.447469590973451e-77
309,9.447469589328391e-77
310,9.447469587680436e-77
311,9.44746958602958e-77
312,9.44746958437582e-77
313,9.447469582719148e-77
314,9.447469581059563e-77
315,9.447469579397054e-77
316,9.447469577731622e-77
317,9.44746957606326e-77
318,9.44746957439196e-77
319,9.44746957271772e-77
320,9.447469571040533e-77
321,9.447469569360394e-77
322,9.4474695676773e-77
323,9.447469565991243e-77
324,9.447469564302219e-77
325,9.447469562610223e-77
326,9.447469560915248e-77
327,9.447469559217293e-77
328,9.447469557516348e-77
329,9.447469555812408e-77
330,9.447469554105472e-77
331,9.447469552395532e-77
332,9.447469550682583e-77
333,9.447469548966618e-77
334,9.447469547247636e-77
335,9.447469545525625e-77
336,9.447469543800588e-77
337,9.447469542072512e-77
338,9.447469540341397e-77
339,9.447469538607234e-77
340,9.44746953687002e-77
341,9.447469535129748e-77
342,9.447469533386416e-77
343,9.447469531640015e-77
344,9.44746952989054e-77
345,9.447469528137986e-77
346,9.447469526382348e-77
347,9.447469524623623e-77
348,9.447469522861801e-77
349,9.447469521096878e-77
350,9.447469519328848e-77
351,9.447469517557708e-77
352,9.447469515783453e-77
353,9.447469514006073e-77
354,9.447469512225566e-77
355,9.447469510441925e-77
356,9.447469508655146e-77
357,9.447469506865223e-77
358,9.44746950507215e-77
359,9.447469503275924e-77
360,9.447469501476532e-77
361,9.447469499673974e-77
362,9.447469497868247e-77
363,0.6722117199635355
364,1.542526466528462
365,2.0492266614759136
366,2.0806347119258835
367,2.1121813143942787
368,2.144486933264156
369,2.1768494031690935
370,2.2099393089000334
371,2.2432673722285967
372,2.2770719978701384
373,2.3113856108489372
374,2.345924138281347
375,2.38124349450882
376,2.416625005309519
377,2.4528811600100293
378,2.4892906548897757
379,2.5263395130529265
380,2.563797706090091
381,2.601660235203671
382,2.6401880849479475
383,2.6788857908120876
384,2.7185045016191016
385,2.758192932950957
386,2.7987904566720565
387,2.839593157318469
388,2.8810964964862906
389,2.9230451626302805
390,2.965457061105521
391,3.008573815698729
392,3.051918088972521
393,3.096225397487067
394,3.1406106774633265
395,3.186047047214713
396,3.2316477398956187
397,3.2780867367575124
398,3.3249258649685425
399,3.3723932769746576
400,3.4204941241814684
401,3.46901632462367
402,3.518402436435283
403,3.5680063892827514
404,3.6187015749421856
405,3.6694859733713083
406,3.72144317411211
407,3.7735630668084257
408,3.8266797364177356
409,3.880159507178278
410,3.9344646392398186
411,3.989328940416156
412,4.044852141694005
413,4.101125895678041
414,4.1578973914402075
415,4.215605792153191
416,4.273656431476682
417,4.332824945862174
418,4.392186746963764
419,4.452848900782861
420,4.513617807120026
421,4.575726110926284
422,4.6380177324749825
423,4.701515615113948
424,4.765356744005518
425,4.830360758288733
426,4.895894883037327
427,4.9621992874186205
428,5.029457343223967
429,5.097092389890971
430,5.166106665200887
431,5.235242390989789
432,5.305906733033281
433,5.376834514603971
434,5.448922513891643
435,5.521675501631706
436,5.595220069541721
437,5.669831822522844
438,5.744866567809268
439,5.821371057597175
440,5.898010179051535
441,5.976361908412207
442,6.054931545810127
443,6.134874209228145
444,6.215409231609058
445,6.296990364105116
446,6.379548033934956
447,6.462761649113554
448,6.547376808687035
449,6.63226209131646
450,6.7189701210356105
451,6.8058307384853745
452,6.894475955516343
453,6.983553407176333
454,7.073859678172729
455,7.1651927333315975
456,7.2571988405964545
457,7.350827323403211
458,7.444620572468798
459,7.540537187149818
460,7.636670229644211
461,7.7346140797707585
462,7.83342788681833
463,7.932681132013441
464,8.034222997531671
465,8.135943555182262
466,8.239138898241746
467,8.343642366945046
468,8.448329739573486
469,8.555598173133166
470,8.663123995549055
471,8.771898808378994
472,8.882314228176083
473,8.992923955677037
474,9.105990474985523
475,9.219546633056497
476,9.33424448163063
477,9.450799331818393
478,9.56755929380399
479,9.68677603368556
480,9.806592835479274
481,9.927572454734742
482,10.050499486820849
483,10.173642844391956
484,10.299377232578278
485,10.42569030175328
486,10.553325818017393
487,10.68286313307318
488,10.812628406308384
489,10.945263384922898
490,11.078313738335615
491,11.21308901332507
492,11.349673693764942
493,11.486498734250915
494,11.626336131594977
495,11.766764163498557
496,11.908404002737896
497,12.052499380172831
498,12.19684833488574
499,12.343810606228148
500,12.491898510667895
501,12.640806040827993
502,12.792698734743427
503,12.944858727558085
504,13.099359893583063
505,13.255398023162588
506,13.411994886978038
507,13.571978506398136
508,13.7322436630282
509,13.894715812576091
510,14.059001581866282
511,14.223727626620699
512,14.39210290155965
513,14.5607744812402
514,14.731745957925588
515,14.90472845818352
516,15.078015370921168
517,15.255189670717648
518,15.432870215719083
519,15.612279146308355
520,15.794430070560146
521,15.976901541770788
522,16.16281943055042
523,16.349846820232454
524,16.538165108496496
525,16.729826884723973
526,16.921825944989948
527,17.11697168593864
528,17.313692696690833
529,17.511413535995196
530,17.712936712854162
531,17.91481452772237
532,18.119693498549463
533,18.326463100736305
534,18.534100963885656
535,18.745844342501524
536,18.95796034451105
537,19.173099411227515
538,19.3902809011168
539,19.608371913793288
540,19.83070268069864
541,20.05342470255235
542,20.279372593780526
543,20.507337728107476
544,20.736440043305038
545,20.96973390653957
546,21.20343831744337
547,21.440741980495787
548,21.679836703758614
549,21.920552758814413
550,22.165054316241896
551,22.409986144499836
552,22.659339232260916
553,22.90971068432217
554,23.162922889034114
555,23.418762373983352
556,23.67602516649868
557,23.937366022479992
558,24.19916678288031
559,24.465737135768777
560,24.733087238471036
561,25.004083715372538
562,25.277026345335443
563,25.5526077623084
564,25.831191031501685
565,26.11150655998518
566,26.39578356920331
567,26.68097376751373
568,26.971002699856108
569,27.261542021537824
570,27.557044593809838
571,27.85340946535652
572,28.154734759855323
573,28.457797976081512
574,28.763171267929092
575,29.07302967513499
576,29.38343336734348
577,29.699539812469585
578,30.017137572334832
579,30.337004218498766
580,30.661922913310654
581,30.987413396031858
582,31.317948164738933
583,31.65088655454687
584,31.985412366459432
585,32.32591380879374
586,32.66701446136248
587,33.01269866406333
588,33.36149202149257
589,33.71144807497194
590,34.068051479549254
591,34.42528243039352
592,34.786904264707964
593,35.152077560787305
594,35.51826530290408
595,35.89150050774682
596,36.26539252729134
597,36.64377072902695
598,37.02585963399588
599,37.409111225984155
600,37.799518825572186
601,38.190613459628096
602,38.58659769220819
603,38.98614870952028
604,39.387463678589384
605,39.79665233127513
606,40.20656106909173
607,40.6198527518161
608,41.03956355418268
609,41.460012958427846
610,41.88563979435456
611,42.31606170560085
612,42.74724106800129
613,43.18557220087988
614,43.626896346256565
615,44.068997128402664
616,44.5204087950535
617,44.972828487377036
618,45.42802376074688
619,45.89091991958282
620,46.35463067734805
621,46.823522724920934
622,47.29788749289331
623,47.7730870421098
624,48.25623502874183
625,48.742482788938744
626,49.22958624192085
627,49.726922833241495
628,50.22526452398672
629,50.72666332820799
630,51.23641615342999
631,51.747066035356774
632,52.26330372844843
633,52.78555958066342
634,53.30873449225338
635,53.840232731730524
636,54.37521066919974
637,54.91135916764458
638,55.458318344765864
639,56.00624005386423
640,56.558337586927514
641,57.118441745607115
642,57.67953156863735
643,58.24802163567139
644,58.821497403592474
645,59.395982367054245
646,59.98131648823139
647,60.56839320124527
648,61.159445470212084
649,61.759910362413315
650,62.36143194527797
651,62.96918259890539
652,63.584313799051145
653,64.20052749944506
654,64.82545566318994
655,65.45550490202508
656,66.08666289368549
657,66.72925801103217
658,67.37447994423768
659,68.02210605874508
660,68.68159773120843
661,69.34224996892246
662,70.00834277427744
663,70.68349778027108
664,71.35984091565265
665,72.04491462618063
666,72.73599610750269
667,73.42829374542349
668,74.13287164709111
669,74.84014578089072
670,75.55081444281586
671,76.2732790865477
672,76.99701511457312
673,77.72804806275262
674,78.46721753968403
675,79.2076877978642
676,79.95963379128449
677,80.71578307753988
678,81.47470148801594
679,82.24742617027128
680,83.02151068380388
681,83.80119300424899
682,84.59186736484752
683,85.38393314434099
684,86.18529630844685
685,86.99401600128795
686,87.804158868972
687,88.62802483310467
688,89.4549051485141
689,90.2867042847812
690,91.1303917748276
691,91.97556397560595
692,92.83253323424084
693,93.69648033768465
694,94.56194780447242
695,95.44110982530343
696,96.32566036009511
697,97.21176751588908
698,98.1137387286124
699,99.01924557884686
700,99.92658033861098
701,100.85303943028295
702,101.78112889310745
703,102.7108515961905
704,103.6592153021411
705,104.61027276645686
706,105.56300388982991
707,106.53369573197855
708,107.50811410834525
709,108.48424725400717
710,109.47793910949324
711,110.47611544764936
712,111.47604836406177
713,112.4934261705762
714,113.51576169107324
715,114.53989630485023
716,115.58166012871479
717,116.62856025252903
718,117.67730269810104
719,118.74416680172581
720,119.81604117998786
721,120.88980182938444
722,121.98249473837927
723,123.07975728241163
724,124.17895077535134
725,125.29821534535779
726,126.42128425702774
727,127.54632953132423
728,128.6929230146086
729,129.8422208169978
730,130.99434747575341
731,132.16823525112116
732,133.34418881950862
733,134.52486558468695
734,135.72579280114866
735,136.9288333942956
736,138.13885821483404
737,139.36725978087804
738,140.59782307261855
739,141.83800854232013
740,143.0943238055929
741,144.3528499167321
742,145.62402333990258
743,146.90869611935454
744,148.19562964987026
745,149.4986331068895
746,150.81211172522353
747,152.12790178677054
748,153.46359219962747
749,154.806329516058
750,156.15142976478597
751,157.52067896260323
752,158.8931324059165
753,160.27152825562513
754,161.67169586016635
755,163.07432746209707
756,164.48771101104128
757,165.91846960891345
758,167.35174603781542
759,168.80103120857163
760,170.26285131074192
761,171.72724390558182
762,173.21575103145832
763,174.71208103627038
764,176.21104426383968
765,177.73191089788406
766,179.2633186277955
767,180.79742130979818
768,182.3515698736063
769,183.91863616130283
770,185.48846015256584
771,187.07683243764504
772,188.68014486871195
773,190.28627878884666
774,191.90983488385442
775,193.54998786775627
776,195.19302717226145
777,196.8527456257114
778,198.5303404626344
779,200.21088750985575
780,201.90776549313114
781,203.62341044125174
782,205.34207455977045
783,207.0771280318777
784,208.83143837527248
785,210.5888359319342
786,212.36309980561228
787,214.1566979216356
788,215.95345238904605
789,217.76798070044137
790,219.60149613262345
791,221.4382381621756
792,223.2941042418992
793,225.16817376600318
794,227.0455412540493
795,228.94383789811874
796,230.85910559386653
797,232.77774375357137
798,234.71958339860456
799,236.67670072055807
800,238.63726215290527
801,240.62547089287818
802,242.6275172994911
803,244.63308688212612
804,246.66225257933633
805,248.70999347253496
806,250.7613379543279
807,252.83251144712506
808,254.9267268581277
809,257.0246276429855
810,259.1388822519876
811,261.2803624876434
812,263.42561127318675
813,265.5840417452487
814,267.7735875036054
815,269.96698639693966
816,272.1707091955878
817,274.40913167778524
818,276.65149330759255
819,278.9016469071764
820,281.1897679292544
821,283.48191555779437
822,285.7796607429285
823,288.1183128476132
824,290.4610804827093
825,292.80797089067255
826,295.1976272214488
827,297.59185972834456
828,299.990305575327
829,302.4306165717556
830,304.87716978475135
831,307.32802841113977
832,309.82023169006357
833,312.31997252384787
834,314.824112369915
835,317.3694691809832
836,319.9232757415724
837,322.4815764586137
838,325.0825392771098
839,327.6926088499395
840,330.3072715901466
841,332.96120021185766
842,335.6283751777847
843,338.30024380442387
844,341.0086399210106
845,343.7337730178352
846,346.46370176934306
847,349.22809419788143
848,352.01204624613723
849,354.80089745790906
850,357.6228419752988
851,360.46648194170433
852,363.3151261096544
853,366.19620553533616
854,369.1004105947846
855,372.00972643744564
856,374.9515507164592
857,377.9172063146858
858,380.8880808359894
859,383.8922871228864
860,386.92028703985665
861,389.9536155926291
862,393.021868336315
863,396.1131147503174
864,399.20980110048947
865,402.34444167227247
866,405.5008200649204
867,408.66275301215234
868,411.86296695477535
869,415.08541272587183
870,418.313529316069
871,421.58107632856303
872,424.87053512015666
873,428.16578265949516
874,431.50245130153183
875,434.85987754645504
