,0
0,1.1211414181974679e-07
1,1.1798292225316953e-07
2,1.2412116618100548e-07
3,1.3053945056296107e-07
4,1.3724868470532738e-07
5,1.442601177302529e-07
6,1.5158534613785154e-07
7,1.5923632146130516e-07
8,1.6722535801486423e-07
9,1.7556514073511094e-07
10,1.8426873311495908e-07
11,1.9334958523048947e-07
12,2.0282154186043795e-07
13,2.1269885069801005e-07
14,2.2299617065469744e-07
15,2.3372858025569053e-07
16,2.449115861265162e-07
17,2.565611315703001e-07
18,2.6871865722380277e-07
19,2.813903072913378e-07
20,2.9458255379368356e-07
21,3.083133377258278e-07
22,3.226010853356588e-07
23,3.3746471728587083e-07
24,3.529236579008771e-07
25,3.689978444979077e-07
26,3.857077368002221e-07
27,4.030862688663389e-07
28,4.212307970171004e-07
29,4.401546352259219e-07
30,4.5988941627223864e-07
31,4.80345053641148e-07
32,5.015437206224826e-07
33,5.235082173278093e-07
34,5.464010623690203e-07
35,5.70235489992771e-07
36,5.949241954414703e-07
37,6.205168872026304e-07
38,6.469821991296917e-07
39,6.746253917629469e-07
40,7.033132208018879e-07
41,7.32972914924886e-07
42,7.63630717317777e-07
43,7.954646749699829e-07
44,8.286353285656743e-07
45,8.629146302162998e-07
46,8.983323488971133e-07
47,9.349189669981574e-07
48,9.731147045829736e-07
49,1.0126265047841777e-06
50,1.0534331322159924e-06
51,1.0955707931829227e-06
52,1.1392172373567546e-06
53,1.1846451468372433e-06
54,1.2315366948378178e-06
55,1.2799306368297371e-06
56,1.3298666904021624e-06
57,1.381743304407191e-06
58,1.4354799461637075e-06
59,1.4909165061391331e-06
60,1.54813281023307e-06
61,1.6071095073026859e-06
62,1.6686239305151298e-06
63,1.7319899499417939e-06
64,1.7972519923360104e-06
65,1.8644555285878819e-06
66,1.9344044981778393e-06
67,2.0065470065844708e-06
68,2.080823231709124e-06
69,2.157284265058074e-06
70,2.2365215864900804e-06
71,2.3188058424909174e-06
72,2.4031910487602263e-06
73,2.490020776544091e-06
74,2.5804657352502135e-06
75,2.6732159650603493e-06
76,2.768309490306527e-06
77,2.867503559548451e-06
78,2.9693326015349188e-06
79,3.0737303644826562e-06
80,3.1819682523688183e-06
81,3.2936373721046977e-06
82,3.408117902554967e-06
83,3.526034230908441e-06
84,3.6485704359446655e-06
85,3.7739600398002053e-06
86,3.902731888622943e-06
87,4.036605654771781e-06
88,4.173585828333004e-06
89,4.31399108680325e-06
90,4.460106299770277e-06
91,4.609599921685012e-06
92,4.762513861136781e-06
93,4.921773704838693e-06
94,5.084761937070954e-06
95,5.251467882032963e-06
96,5.424466904764802e-06
97,5.602171856867818e-06
98,5.783630097863637e-06
99,5.971875043581291e-06
100,6.1649536835272925e-06
101,6.362112931089083e-06
102,6.566610418841066e-06
103,6.7762290894735765e-06
104,6.990279496767557e-06
105,7.212079987083434e-06
106,7.43947436992681e-06
107,7.671676449833917e-06
108,7.911875088058881e-06
109,8.158654577652732e-06
110,8.41016673588641e-06
111,8.670860290013553e-06
112,8.937635110447926e-06
113,9.209526350733031e-06
114,9.492021360020176e-06
115,9.780220240665448e-06
116,1.0074381124108304e-05
117,1.037960375388632e-05
118,1.0690737559118973e-05
119,1.1008781471262796e-05
120,1.1338072873975706e-05
121,1.167373736962511e-05
122,1.2017107789413382e-05
123,1.2372120488023317e-05
124,1.273399909894706e-05
125,1.310419537347223e-05
126,1.3486960322880823e-05
127,1.3876788776334615e-05
128,1.427603797339359e-05
129,1.4687784431153063e-05
130,1.5107113322653908e-05
131,1.55371265983935e-05
132,1.5979753764319716e-05
133,1.643051590542856e-05
134,1.689306933472174e-05
135,1.7368575430951983e-05
136,1.7852803992774664e-05
137,1.8349739494279803e-05
138,1.886092744934142e-05
139,1.938047030573384e-05
140,1.9915583051615802e-05
141,2.0462922893321736e-05
142,2.101919992285216e-05
143,2.159465951357463e-05
144,2.218040360090163e-05
145,2.277739881301967e-05
146,2.339375910291127e-05
147,2.4020275178806615e-05
148,2.4661054701423546e-05
149,2.5319982223513945e-05
150,2.5989756917190202e-05
151,2.6676686483069558e-05
152,2.7380747307940683e-05
153,2.8096389604565274e-05
154,2.883191412703916e-05
155,2.9583798572757256e-05
156,3.0348407730031966e-05
157,3.11381465334213e-05
158,3.1940317623401426e-05
159,3.276055426085286e-05
160,3.360174010347033e-05
161,3.445334459580368e-05
162,3.5335035871194395e-05
163,3.622721707956571e-05
164,3.7142619690233546e-05
165,3.8077545176641944e-05
166,3.902696093785945e-05
167,4.0006223083073996e-05
168,4.099735231075788e-05
169,4.201581483456146e-05
170,4.305368447542919e-05
171,4.410894059116808e-05
172,4.51952480838304e-05
173,4.6294950829503315e-05
174,4.7424760625767515e-05
175,4.857547590042343e-05
176,4.9744997185909316e-05
177,5.094853075101555e-05
178,5.216714638260741e-05
179,5.3416990390114915e-05
180,5.4691175760890056e-05
181,5.598378884897672e-05
182,5.7315461209756166e-05
183,5.8664068529713614e-05
184,6.004303919993469e-05
185,6.14534095243016e-05
186,6.288034561824024e-05
187,6.435259235743682e-05
188,6.584106993688478e-05
189,6.7364954309524e-05
190,6.891840255110852e-05
191,7.049390022325311e-05
192,7.211450826311314e-05
193,7.375326843691711e-05
194,7.543290865558038e-05
195,7.714212649567495e-05
196,7.887719446887403e-05
197,8.065918824578767e-05
198,8.246144317526275e-05
199,8.430816398817027e-05
200,8.619009636281982e-05
201,8.810251337999508e-05
202,9.006015090167328e-05
203,9.203994740472962e-05
204,9.407583232875035e-05
205,9.61254670915664e-05
206,9.824145115059062e-05
207,0.00010037296392990067
208,0.00010256140347332322
209,0.00010477749370187896
210,0.00010704017162748563
211,0.00010934359969647527
212,0.00011168232478067092
213,0.0001140759125503774
214,0.00011649251954066019
215,0.00011897915084272082
216,0.00012148467084558476
217,0.00012405812168248017
218,0.00012666087431023688
219,0.00012931772129191112
220,0.00013202075629529505
221,0.00013476293555491755
222,0.0001375693665344899
223,0.00014039884059045368
224,0.00014331184546758136
225,0.00014624865516144137
226,0.00014925342477180656
227,0.00015230437668042304
228,0.00015540861836862302
229,0.00015857110068021163
230,0.00016177871158986948
231,0.00016505400056284337
232,0.00016836736746311226
233,0.0001717589704693995
234,0.0001751805103601872
235,0.00017869201007225996
236,0.00018222417025718713
237,0.00018585922511816662
238,0.000189512570161298
239,0.0001932668279477681
240,0.00019704894306845432
241,0.00020092113799870942
242,0.00020483588557101908
243,0.00020882858229483733
244,0.0002128799021892663
245,0.00021699569592234592
246,0.00022118760590859047
247,0.00022542912249306688
248,0.00022976571863068964
249,0.0002341356145951397
250,0.00023862107161215742
251,0.00024313400006868968
252,0.00024776060589044917
253,0.0002524329596471825
254,0.00025721211474825684
255,0.00026202958703940607
256,0.0002669648059636419
257,0.0002719319506284258
258,0.0002770288443199024
259,0.00028214733560022633
260,0.0002874095808985141
261,0.00029268379898627836
262,0.0002981151172117307
263,0.00030355599303587337
264,0.00030916022758792214
265,0.00031478107053036885
266,0.0003205457718623879
267,0.000326350856176157
268,0.0003322803189257758
269,0.000338273980925169
270,0.00034437259730927644
271,0.0003505592357976913
272,0.0003568314966387302
273,0.00036321557332676384
274,0.00036966606906793176
275,0.0003762521089855364
276,0.00038288553069246726
277,0.00038967812259999804
278,0.00039649926294957046
279,0.0004035030597487723
280,0.0004105191812684173
281,0.00041773653315090086
282,0.0004249689569798404
283,0.00043238832404179407
284,0.00043984184101571216
285,0.00044746838353727916
286,0.0004551478499847783
287,0.00046298683398588787
288,0.000470897172142582
289,0.00047895397030936856
290,0.0004871001687324203
291,0.0004953839376389029
292,0.0005037775771539888
293,0.0005122823219834384
294,0.0005209285025765733
295,0.0005296600761269459
296,0.0005385639497672412
297,0.0005475283334150326
298,0.0005566951039075046
299,0.0005658984082947147
300,0.0005753333311334786
301,0.0005847848567933932
302,0.0005944901790316098
303,0.0006042156452797996
304,0.0006141773770893119
305,0.0006241821517646387
306,0.0006344068371038885
307,0.0006446963393568723
308,0.0006551906535522635
