,0
0,1.006271147774299e-89
1,1.006271147672282e-89
2,1.0062711475700856e-89
3,1.0062711474677093e-89
4,1.0062711473651528e-89
5,1.0062711472624156e-89
6,1.0062711471594982e-89
7,1.0062711470563992e-89
8,1.0062711469531189e-89
9,1.0062711468496569e-89
10,1.006271146746013e-89
11,1.0062711466421864e-89
12,1.0062711465381771e-89
13,1.006271146433985e-89
14,1.0062711463296094e-89
15,1.0062711462250502e-89
16,1.0062711461203072e-89
17,1.0062711460153795e-89
18,1.0062711459102674e-89
19,1.0062711458049701e-89
20,1.0062711456994878e-89
21,1.0062711455938197e-89
22,1.0062711454879657e-89
23,1.0062711453819252e-89
24,1.0062711452756985e-89
25,1.0062711451692849e-89
26,1.0062711450626835e-89
27,1.006271144955895e-89
28,1.0062711448489184e-89
29,1.0062711447417536e-89
30,1.0062711446344e-89
31,1.0062711445268578e-89
32,1.0062711444191263e-89
33,1.0062711443112051e-89
34,1.0062711442030943e-89
35,1.0062711440947928e-89
36,1.006271143986301e-89
37,1.006271143877618e-89
38,1.006271143768744e-89
39,1.0062711436596784e-89
40,1.0062711435504209e-89
41,1.0062711434409711e-89
42,1.0062711433313289e-89
43,1.0062711432214933e-89
44,1.0062711431114648e-89
45,1.0062711430012426e-89
46,1.0062711428908261e-89
47,1.0062711427802157e-89
48,1.0062711426694105e-89
49,1.0062711425584105e-89
50,1.006271142447215e-89
51,1.006271142335824e-89
52,1.0062711422242368e-89
53,1.0062711421124532e-89
54,1.0062711420004728e-89
55,1.0062711418882956e-89
56,1.006271141775921e-89
57,1.0062711416633486e-89
58,1.006271141550578e-89
59,1.006271141437609e-89
60,1.0062711413244412e-89
61,1.0062711412110743e-89
62,1.006271141097508e-89
63,1.0062711409837416e-89
64,1.0062711408697752e-89
65,1.0062711407556083e-89
66,1.0062711406412405e-89
67,1.0062711405266712e-89
68,1.0062711404119004e-89
69,1.0062711402969277e-89
70,1.0062711401817526e-89
71,1.0062711400663748e-89
72,1.0062711399507942e-89
73,1.00627113983501e-89
74,1.006271139719022e-89
75,1.00627113960283e-89
76,1.0062711394864336e-89
