Epsilon_alpha,Time [Days]
6.379099444757532e-21,1.1581089442440045e-05
6.87228763254773e-21,1.1601469808485028e-05
7.409976984384023e-21,1.162188603983631e-05
7.996345193232032e-21,1.1642338199609547e-05
8.638070213824542e-21,1.166282635103147e-05
9.34867137047983e-21,1.1683350557440069e-05
1.0126392890942728e-20,1.1703910882284804e-05
1.0979306620063599e-20,1.1724507389126785e-05
1.192997711873797e-20,1.1745140141638987e-05
1.2972201836258859e-20,1.1765809203606422e-05
1.4133543333884353e-20,1.1786514638926367e-05
1.5416146004318648e-20,1.1807256511608535e-05
1.6850185575711654e-20,1.182803488577528e-05
1.8436876841761735e-20,1.1848849825661811e-05
2.022629991969208e-20,1.1869701395616369e-05
2.222316904003468e-20,1.1890589660100436e-05
2.4460856537257088e-20,1.1911514683688931e-05
2.698345659968781e-20,1.1932476531070416e-05
2.9841552845558185e-20,1.1953475267047294e-05
3.307804668192981e-20,1.1974510956535995e-05
3.675601784448188e-20,1.1995583664567206e-05
4.0954522837140926e-20,1.2016693456286041e-05
4.5780405976629387e-20,1.203784039695226e-05
5.1325851679493335e-20,1.205902455194047e-05
5.771703135605321e-20,1.208024598674032e-05
6.517930616272307e-20,1.2101504766956713e-05
7.386089400782702e-20,1.2122800958309995e-05
8.409702002293158e-20,1.2144134626636175e-05
9.613665302684072e-20,1.2165505837887115e-05
1.1051972861567163e-19,1.2186914658130738e-05
1.2772788755943733e-19,1.2208361153551234e-05
1.4847916982645195e-19,1.222984539044927e-05
1.7374914612992372e-19,1.2251367435242182e-05
2.0483675352079432e-19,1.2272927354464187e-05
2.434556919189269e-19,1.2294525214766592e-05
2.918226474845483e-19,1.231616108291799e-05
3.5336472755387333e-19,1.233783502580449e-05
4.324564447245791e-19,1.2359547110429882e-05
5.357211440134044e-19,1.2381297403915889e-05
6.724591263961291e-19,1.2403085973502348e-05
8.572016180973717e-19,1.2424912886547422e-05
1.1109913501797356e-18,1.2446778210527814e-05
1.4670071421340465e-18,1.2468682013038975e-05
1.9790522266114566e-18,1.2490624361795301e-05
2.7370937875113913e-18,1.251260532463036e-05
3.889586598824531e-18,1.253462496949709e-05
5.7074460220073234e-18,1.2556683364468014e-05
8.701351207849892e-18,1.2578780577735448e-05
1.3867976413077064e-17,1.260091667761171e-05
2.338262413546781e-17,1.2623091732529336e-05
4.221065333104975e-17,1.2645305811041292e-05
8.336964265426397e-17,1.266755898182118e-05
1.8510703361949995e-16,1.2689851313663452e-05
4.816070377411146e-16,1.2712182875483631e-05
1.5504406603815902e-15,1.2734553736318512e-05
6.5962584757914735e-15,1.2756963965326378e-05
3.752895373592939e-14,1.2779413631787224e-05
2.432056912852075e-13,1.280190280510296e-05
1.2271889319651499e-12,1.282443155479763e-05
4.099311210719518e-12,1.2846999950517622e-05
1.0273839724851036e-11,1.2869608062031892e-05
2.1578763645019268e-11,1.2892255959232175e-05
4.02646212596178e-11,1.2914943712133201e-05
6.899637855671353e-11,1.2937671390872912e-05
1.1087945241413777e-10,1.2960439065712678e-05
1.6931780381905806e-10,1.2983246807037509e-05
2.4821733955350557e-10,1.300609468535629e-05
3.515472714645752e-10,1.3028982771301977e-05
4.836113049593491e-10,1.3051911135631833e-05
6.49200814790979e-10,1.3074879849227633e-05
8.52747926836307e-10,1.3097888983095898e-05
1.0991275662988815e-09,1.3120938608368095e-05
1.3933735305178787e-09,1.3144028796300876e-05
1.7404992385951492e-09,1.316715961827629e-05
2.145474317021733e-09,1.3190331145801998e-05
2.6142463028913844e-09,1.3213543450511506e-05
3.1517750328297e-09,1.3236796604164377e-05
3.7634912609190825e-09,1.3260090678646461e-05
4.453898060725237e-09,1.3283425745970105e-05
5.228804521578734e-09,1.3306801878274391e-05
6.094101743718614e-09,1.333021914782534e-05
7.054445448053533e-09,1.3353677627016162e-05
8.115048685581928e-09,1.3377177388367452e-05
9.282467214639509e-09,1.3400718504527433e-05
1.0560505946708584e-08,1.3424301048272168e-05
1.1955939019736266e-08,1.34479250925058e-05
1.3472654894110788e-08,1.347159071026076e-05
1.5116442133906555e-08,1.3495297974698003e-05
1.6892180229896324e-08,1.3519046959107239e-05
2.5106557902782795e-08,1.3542837736907144e-05
3.5465140305426097e-08,1.3566670381645602e-05
4.805710403381422e-08,1.3590544966999923e-05
6.478188444961364e-08,1.3614461566777079e-05
8.791360442875075e-08,1.3638420254913918e-05
1.2021433199291378e-07,1.366242110547741e-05
1.6535335703957654e-07,1.3686464192664869e-05
2.2871984205493438e-07,1.3710549590804174e-05
3.1658713571081013e-07,1.373467737435401e-05
4.3751533169494603e-07,1.3758847617904094e-05
6.027766438931078e-07,1.3783060396175405e-05
8.276017879701823e-07,1.3807315784020418e-05
1.1317604258948658e-06,1.383161385642333e-05
1.5392601470883358e-06,1.3855954688500296e-05
2.0818984182412434e-06,1.3880338355499664e-05
2.800459026993773e-06,1.3904764932802195e-05
3.7460978658106455e-06,1.3929234495921314e-05
4.97874657141606e-06,1.3953747120503329e-05
6.577407584225104e-06,1.3978302882327675e-05
8.640711684308984e-06,1.4002901857307135e-05
1.1295821158413052e-05,1.402754412148809e-05
1.4685422953356097e-05,1.4052229751050748e-05
1.8959998375840465e-05,1.4076958822309375e-05
2.4401772115850757e-05,1.4101731411712533e-05
3.118594235106109e-05,1.4126547595843322e-05
3.9720159744845674e-05,1.4151407451419611e-05
5.025998042651866e-05,1.4176311055294282e-05
6.339979255197263e-05,1.420125848445545e-05
8.593722867761126e-05,1.4226249816026727e-05
0.00011375891603068543,1.4251285127267438e-05
0.0001464432611642608,1.4276364495572873e-05
0.00018528986363198713,1.4301487998474518e-05
0.00023221681914323272,1.4326655713640308e-05
0.00028852835950713595,1.4351867718874843e-05
0.000356003346107642,1.437712409211966e-05
0.00043743272739353844,1.440242491145344e-05
0.0009145449223686069,1.4427770255092282e-05
0.001283918668311001,1.4453160201389921e-05
0.0016023352792174633,1.4478594828837979e-05
0.0019620160393071244,1.450407421606621e-05
0.002388043999684841,1.452959844184274e-05
0.0028950639110194155,1.455516758507431e-05
0.0034981484357855803,1.4580781724806522e-05
0.004212859825984769,1.4606440940224079e-05
0.005057609912294591,1.4632145310651034e-05
0.006053395879846918,1.4657894915551039e-05
0.00722413191874546,1.468368983452758e-05
0.00859699771605707,1.4709530147324235e-05
0.010209934227984463,1.4735415933824906e-05
0.012100391166153633,1.4761347274054082e-05
0.014295459471531801,1.4787324248177076e-05
0.016836683420643928,1.4813346936500274e-05
0.019789425772153917,1.4839415419471388e-05
0.02321305965833897,1.48655297776797e-05
0.027153247502411312,1.4891690091856315e-05
0.03167937414252368,1.4917896442874406e-05
0.036887869792319866,1.4944148911749464e-05
0.042880371602199874,1.4970447579639559e-05
0.04971443229700993,1.499679252784557e-05
0.0574903798839365,1.5023183837811461e-05
0.06640990322889109,1.504962159112452e-05
0.07655365040651377,1.5076105869515599e-05
0.08801891728187035,1.5102636754859396e-05
0.10106444568777406,1.5129214329174687e-05
0.11735965209327605,1.5155838674624575e-05
0.1366331088741853,1.5182509873516766e-05
0.15608037788113066,1.5209228008303803e-05
0.177854163008045,1.523599316158333e-05
0.2022246508726443,1.526280541609835e-05
0.2298192393478645,1.528966485473748e-05
0.26045129499476466,1.5316571560535185e-05
0.29508319628304497,1.5343525616672076e-05
0.3333378978816477,1.5370527106475133e-05
0.37644554385166173,1.539757611341798e-05
0.42396479837560413,1.5424672721121135e-05
0.4773018100330128,1.545181701335227e-05
0.5360206514758847,1.5479009074026475e-05
0.6016354672191654,1.5506248987206507e-05
0.6738426197359795,1.5533536837103066e-05
0.7541351377958053,1.5560872708075036e-05
0.8425427127086963,1.5588256684629763e-05
0.9408452511038238,1.5615688851423303e-05
1.0483727350904122,1.564316929326069e-05
1.1674452295858546,1.5670698095096206e-05
1.29811591052609,1.5698275342033622e-05
1.4409924469229571,1.5725901119326482e-05
1.5990326445379441,1.5753575512378364e-05
1.77097178131017,1.578129860674313e-05
1.9599515058344326,1.5809070488125205e-05
2.166499585909059,1.5836891242379826e-05
2.3910545115482265,1.5864760955513333e-05
2.638638869490979,1.589267971368341e-05
2.9072321585580765,1.5920647603199365e-05
3.1983208839893167,1.5948664710522387e-05
3.51843164426816,1.5976731122265832e-05
3.8650204470389067,1.600484692519546e-05
4.239896288067471,1.6033012206229734e-05
4.648561476645682,1.6061227052440076e-05
5.092131492568479,1.6089491551051125e-05
5.57070144085872,1.6117805789441036e-05
6.087744973736148,1.614616985514171e-05
6.650873071845742,1.6174583835839098e-05
7.256990603032416,1.620304781937347e-05
7.9087957071593955,1.6231561893739654e-05
8.615921369917023,1.6260126147087354e-05
9.377851449121,1.6288740667721383e-05
10.195410705533266,1.6317405544101962e-05
11.07572147188029,1.634612086484498e-05
12.029010657693856,1.6374886718722272e-05
13.052828954168966,1.6403703194661895e-05
14.151125728229518,1.64325703817484e-05
15.328440262770695,1.6461488369223107e-05
16.5895165953428,1.6490457246484392e-05
17.939319043372976,1.6519477103087942e-05
19.392298246688267,1.6548548028747052e-05
20.947419067712087,1.6577670113332883e-05
22.608882872021347,1.660684344687477e-05
24.382721236236883,1.6636068119560463e-05
26.2752372519481,1.6665344221736432e-05
28.293014589005946,1.6694671843908136e-05
30.447071635384503,1.6724051076740315e-05
32.75374017595753,1.6753482011057245e-05
35.20897172280566,1.6782964737843048e-05
37.82067552740799,1.681249934824195e-05
40.60287305879423,1.6842085933558574e-05
43.56102254166119,1.6871724585258223e-05
46.704446571509656,1.6901415394967162e-05
50.042837584340134,1.6931158454472902e-05
53.59497540588,1.6960953855724465e-05
57.373608210465875,1.6990801690832705e-05
61.38083432099884,1.7020702052070564e-05
65.62815037123859,1.7050655031873358e-05
70.12751083260379,1.7080660722839087e-05
74.89134147191636,1.7110719217728688e-05
79.93255299580255,1.7140830609466354e-05
85.2645549280554,1.7170994991139793e-05
90.90126974014632,1.720121245600053e-05
96.88839747266387,1.72314830974642e-05
103.2226316265857,1.726180700911083e-05
109.91729557904965,1.729218428468512e-05
116.99376489292204,1.7322615018096757e-05
124.62979372602372,1.7353099303420675e-05
132.56214411125782,1.7383637234897366e-05
140.9097020585115,1.7414228906933162e-05
149.7077350969397,1.744487441410055e-05
158.97696735112984,1.747557385113842e-05
168.73886859731633,1.7506327312952395e-05
179.01573148742176,1.753713489461512e-05
189.8306980455012,1.756799669136653e-05
201.20778626072521,1.759891279861418e-05
213.17380725749214,1.7629883311933512e-05
225.75137674627834,1.7660908327068173e-05
238.96721933469703,1.7691987939930287e-05
252.86409718621445,1.772312224660077e-05
267.5026012909854,1.7754311343329617e-05
282.8693013000336,1.778555532653621e-05
298.99510210467463,1.7816854292809606e-05
315.91201681496983,1.7848208338908834e-05
333.6531996860118,1.7879617561763215e-05
352.25297965876825,1.7911082058472625e-05
371.74689458747355,1.794260192630783e-05
392.17172619360207,1.797417726271077e-05
413.5655357700989,1.800580816529486e-05
435.9677006510176,1.8037494731845298e-05
459.41895145682685,1.8069237060319362e-05
483.96141012349995,1.810103524884672e-05
509.63862872300336,1.813288939572972e-05
536.4956290814182,1.8164799599443706e-05
564.578943202266,1.819676595863732e-05
593.9594685091212,1.8228788572132807e-05
624.7131508513199,1.8260867538926315e-05
656.9920982499851,1.8293002958188205e-05
690.6765389681342,1.8325194929263362e-05
725.8185457385124,1.8357443551671494e-05
762.4762511236132,1.8389748925107446e-05
800.6973581297841,1.8422111149441502e-05
840.5388540203942,1.8454530324719702e-05
882.1370105694585,1.8487006551164146e-05
925.724363312835,1.85195399291733e-05
971.1344560604095,1.8552130559322313e-05
1018.4324562087763,1.8584778542363336e-05
1067.6855786382469,1.86174839792258e-05
1118.9631420711667,1.865024697101678e-05
1172.3366265378402,1.8683067619021253e-05
1227.8797319859923,1.8715946024702453e-05
1285.878033497412,1.8748882289702168e-05
1346.3738110483862,1.8781876515841044e-05
1409.3745863722518,1.8814928805118923e-05
1474.856773731358,1.8848039259715138e-05
1542.903851091673,1.888120798198884e-05
1613.6017394435619,1.891443507447931e-05
1687.0388928005361,1.8947720639906286e-05
1763.5932524031928,1.8981064781170252e-05
1843.3756034553103,1.9014467601352798e-05
1926.2124579090864,1.9047929203716903e-05
2012.204043276033,1.9081449691707268e-05
2101.4535008129305,1.9115029168950647e-05
2194.0669616550153,1.914866773925614e-05
2290.1536239459756,1.9182365506615544e-05
2390.00363904266,1.9216122575203653e-05
2494.037673105959,1.9249939049378592e-05
2601.9267409888766,1.9283815033682127e-05
2713.793846253021,1.9317750632840006e-05
2829.7654525196267,1.935174595176227e-05
2949.971567829703,1.9385801095543574e-05
3074.6424846425307,1.9419916169463524e-05
3203.711701226053,1.9454091278987e-05
3338.5412309463463,1.9488326529764474e-05
3478.136645853519,1.9522622027632334e-05
3622.500869571836,1.9556977878613242e-05
3771.7620365616067,1.9591394188916408e-05
3926.061811378707,1.9625871064937976e-05
4087.231958878265,1.9660408613261304e-05
4253.820300345763,1.9695006940657332e-05
4426.095603189002,1.972966615408488e-05
4603.941239197509,1.9764386360691012e-05
