,0
0,3.0535968893479146e-88
1,3.053596952119271e-88
2,3.0535970150010933e-88
3,3.0535970779935757e-88
4,3.053597141096913e-88
5,3.0535972043112994e-88
6,3.053597267636932e-88
7,3.053597331074006e-88
8,3.0535973946227145e-88
9,3.053597458283259e-88
10,3.0535975220558337e-88
11,3.053597585940635e-88
12,3.053597649937862e-88
13,3.0535977140477114e-88
14,3.0535977782703826e-88
15,3.053597842606072e-88
16,3.053597907054982e-88
17,3.053597971617309e-88
18,3.0535980362932536e-88
19,3.0535981010830156e-88
20,3.053598165986795e-88
21,3.053598231004792e-88
22,3.05359829613721e-88
23,3.053598361384248e-88
24,3.0535984267461073e-88
25,3.053598492222992e-88
26,3.0535985578151035e-88
27,3.053598623522645e-88
28,3.053598689345819e-88
29,3.0535987552848287e-88
30,3.053598821339879e-88
31,3.053598887511173e-88
32,3.053598953798917e-88
33,3.053599020203315e-88
34,3.053599086724571e-88
35,3.0535991533628923e-88
36,3.0535992201184844e-88
37,3.053599286991554e-88
38,3.053599353982307e-88
39,3.053599421090952e-88
40,3.0535994883176947e-88
41,3.053599555662744e-88
42,3.0535996231263073e-88
43,3.053599690708594e-88
44,3.053599758409813e-88
45,3.0535998262301723e-88
46,3.053599894169883e-88
47,3.0535999622291555e-88
48,3.053600030408198e-88
49,3.053600098707225e-88
50,3.053600167126444e-88
51,3.0536002356660687e-88
52,3.0536003043263086e-88
53,3.053600373107378e-88
54,3.0536004420094904e-88
55,3.0536005110328564e-88
56,3.0536005801776906e-88
57,3.0536006494442066e-88
58,3.053600718832619e-88
59,3.0536007883431413e-88
60,3.053600857975989e-88
61,3.053600927731378e-88
62,3.0536009976095233e-88
63,3.053601067610641e-88
64,3.0536011377349466e-88
65,3.0536012079826586e-88
66,3.053601278353993e-88
67,3.053601348849168e-88
68,3.0536014194684e-88
69,3.0536014902119103e-88
70,3.0536015610799146e-88
71,3.0536016320726334e-88
72,3.0536017031902867e-88
73,3.053601774433093e-88
74,3.053601845801274e-88
75,3.0536019172950487e-88
76,3.05360198891464e-88
77,3.053602060660267e-88
78,3.0536021325321535e-88
79,3.0536022045305215e-88
80,3.0536022766555926e-88
81,3.0536023489075906e-88
82,3.0536024212867375e-88
83,3.0536024937932594e-88
84,3.0536025664273784e-88
85,3.0536026391893207e-88
86,3.0536027120793087e-88
87,3.053602785097571e-88
88,3.0536028582443315e-88
89,3.053602931519815e-88
90,3.053603004924251e-88
91,3.053603078457866e-88
92,3.053603152120885e-88
93,3.0536032259135376e-88
94,3.053603299836051e-88
95,3.0536033738886545e-88
96,3.0536034480715767e-88
97,3.0536035223850467e-88
98,3.0536035968292945e-88
99,3.0536036714045505e-88
100,3.0536037461110446e-88
101,3.053603820949009e-88
102,3.0536038959186733e-88
103,3.053603971020271e-88
104,3.053604046254033e-88
105,3.0536041216201927e-88
106,3.0536041971189825e-88
107,3.0536042727506356e-88
108,3.053604348515387e-88
109,3.05360442441347e-88
110,3.05360450044512e-88
111,3.05360457661057e-88
112,3.053604652910058e-88
113,3.053604729343819e-88
114,3.053604805912089e-88
115,3.053604882615105e-88
116,3.0536049594531044e-88
117,3.0536050364263233e-88
118,3.0536051135350014e-88
119,3.053605190779376e-88
120,3.0536052681596874e-88
121,3.0536053456761725e-88
122,3.053605423329073e-88
123,3.053605501118627e-88
124,3.053605579045077e-88
125,3.0536056571086633e-88
126,3.053605735309626e-88
127,3.0536058136482087e-88
128,3.0536058921246526e-88
129,3.053605970739201e-88
