,0
0,4.1026803717766485e-88
1,4.1026802716340566e-88
2,4.1026801713152375e-88
3,4.1026800708198805e-88
4,4.1026799701476746e-88
5,4.10267986929831e-88
6,4.1026797682714746e-88
7,4.1026796670668566e-88
8,4.1026795656841417e-88
9,4.102679464123017e-88
10,4.1026793623831683e-88
11,4.102679260464282e-88
12,4.1026791583660424e-88
13,4.1026790560881346e-88
14,4.1026789536302404e-88
15,4.1026788509920465e-88
16,4.102678748173232e-88
17,4.1026786451734815e-88
18,4.1026785419924764e-88
19,4.1026784386298964e-88
20,4.1026783350854236e-88
21,4.1026782313587357e-88
22,4.102678127449513e-88
23,4.102678023357436e-88
24,4.102677919082182e-88
25,4.1026778146234277e-88
26,4.1026777099808514e-88
27,4.102677605154128e-88
28,4.102677500142935e-88
29,4.1026773949469463e-88
30,4.102677289565838e-88
31,4.1026771839992846e-88
32,4.102677078246958e-88
33,4.1026769723085343e-88
34,4.102676866183683e-88
35,4.1026767598720773e-88
36,4.102676653373388e-88
37,4.102676546687287e-88
38,4.102676439813442e-88
39,4.102676332751527e-88
40,4.102676225501207e-88
41,4.1026761180621523e-88
42,4.102676010434029e-88
43,4.1026759026165087e-88
44,4.1026757946092527e-88
45,4.102675686411931e-88
46,4.102675578024207e-88
47,4.1026754694457475e-88
48,4.102675360676214e-88
49,4.102675251715274e-88
50,4.102675142562588e-88
51,4.10267503321782e-88
52,4.102674923680629e-88
53,4.102674813950679e-88
54,4.102674704027632e-88
55,4.102674593911146e-88
56,4.102674483600881e-88
57,4.102674373096497e-88
58,4.1026742623976516e-88
59,4.102674151504002e-88
60,4.102674040415206e-88
61,4.102673929130921e-88
62,4.1026738176508017e-88
63,4.102673705974503e-88
64,4.1026735941016816e-88
65,4.1026734820319917e-88
66,4.102673369765085e-88
67,4.102673257300616e-88
68,4.1026731446382345e-88
69,4.102673031777597e-88
70,4.10267291871835e-88
71,4.1026728054601456e-88
72,4.1026726920026346e-88
73,4.102672578345466e-88
74,4.102672464488287e-88
75,4.102672350430746e-88
76,4.102672236172493e-88
77,4.1026721217131705e-88
78,4.102672007052428e-88
79,4.1026718921899115e-88
80,4.102671777125263e-88
81,4.1026716618581285e-88
82,4.102671546388152e-88
83,4.102671430714975e-88
84,4.1026713148382414e-88
85,4.1026711987575933e-88
86,4.1026710824726697e-88
87,4.102670965983115e-88
88,4.102670849288565e-88
89,4.10267073238866e-88
90,4.1026706152830396e-88
91,4.102670497971343e-88
92,4.1026703804532033e-88
93,4.102670262728261e-88
94,4.1026701447961533e-88
95,4.1026700266565105e-88
