,0
0,2.164763802650441e-121
1,2.1647638024311153e-121
2,2.164763802211404e-121
3,2.164763801991306e-121
4,2.164763801770821e-121
5,2.1647638015499475e-121
6,2.1647638013286854e-121
7,2.164763801107034e-121
8,2.1647638008849926e-121
9,2.1647638006625606e-121
10,2.164763800439737e-121
11,2.164763800216521e-121
12,2.1647637999929124e-121
13,2.1647637997689107e-121
14,2.1647637995445143e-121
15,2.164763799319723e-121
16,2.1647637990945365e-121
17,2.1647637988689535e-121
18,2.1647637986429736e-121
19,2.1647637984165955e-121
20,2.16476379818982e-121
21,2.1647637979626447e-121
22,2.1647637977350693e-121
23,2.1647637975070944e-121
24,2.164763797278718e-121
25,2.164763797049939e-121
26,2.1647637968207584e-121
27,2.164763796591174e-121
28,2.1647637963611856e-121
29,2.1647637961307923e-121
30,2.1647637958999936e-121
31,2.164763795668789e-121
32,2.1647637954371773e-121
33,2.1647637952051584e-121
34,2.1647637949727306e-121
35,2.164763794739894e-121
36,2.164763794506648e-121
37,2.164763794272991e-121
38,2.164763794038923e-121
39,2.1647637938044436e-121
40,2.164763793569551e-121
41,2.164763793334245e-121
42,2.1647637930985253e-121
43,2.1647637928623906e-121
44,2.1647637926258405e-121
45,2.164763792388874e-121
46,2.16476379215149e-121
47,2.164763791913689e-121
48,2.164763791675469e-121
49,2.1647637914368298e-121
50,2.1647637911977714e-121
51,2.1647637909582917e-121
52,2.1647637907183906e-121
53,2.164763790478067e-121
54,2.1647637902373206e-121
55,3.148476874461535e-44
56,2.0852290197360744e-42
57,2.1298524077332626e-40
58,1.2274654319013335e-38
59,2.45301969507655e-37
60,2.316949402545029e-36
61,1.3787739806490406e-35
62,6.055446475774261e-35
63,2.1390956033655084e-34
64,6.447357051240074e-34
65,1.7133283242966054e-33
66,4.1242794058790554e-33
67,9.130711641701878e-33
68,1.8816123434077715e-32
69,3.654753850285771e-32
70,6.726713444727992e-32
71,1.182190123620405e-31
72,1.9932569783510946e-31
73,3.2431228248609994e-31
74,5.106601242797296e-31
75,7.820567734361094e-31
76,1.1678101231448542e-30
77,1.7039466832062276e-30
78,2.4311723787056692e-30
79,3.4029740099751486e-30
80,4.680387138958557e-30
81,6.33214301068217e-30
82,8.437203286560722e-30
83,1.1091433971402499e-29
84,1.4394349901797726e-29
85,1.8463344206905006e-29
86,2.3416815566025962e-29
87,2.9395156308705636e-29
88,3.6545206362415e-29
89,4.501633654235393e-29
90,5.499695144455355e-29
91,6.664186655635471e-29
92,8.013699681937246e-29
93,9.569613694344669e-29
94,1.1353429129161633e-28
95,1.3385832191435187e-28
96,1.5693811499603348e-28
97,1.8296014136414423e-28
98,2.1214866095512245e-28
99,2.44741161756456e-28
100,2.8103967638204194e-28
