,0
0,3.797874558469813e-97
1,3.797874558085029e-97
2,3.7978745576995663e-97
3,3.7978745573134257e-97
4,3.797874556926606e-97
5,3.797874556539105e-97
6,3.797874556150922e-97
7,3.7978745557620564e-97
8,3.7978745553725055e-97
9,3.797874554982271e-97
10,3.7978745545913477e-97
11,3.797874554199737e-97
12,3.7978745538074376e-97
13,3.7978745534144475e-97
14,3.797874553020765e-97
15,3.7978745526263917e-97
16,3.7978745522313235e-97
17,3.7978745518355594e-97
18,3.797874551439099e-97
19,3.797874551041942e-97
20,3.797874550644086e-97
21,3.7978745502455284e-97
22,3.7978745498462704e-97
23,3.7978745494463096e-97
24,3.7978745490456455e-97
25,3.797874548644275e-97
26,3.7978745482422e-97
27,3.7978745478394157e-97
28,3.797874547435924e-97
29,3.797874547031721e-97
30,3.7978745466268073e-97
31,3.797874546221181e-97
32,3.79787454581484e-97
33,3.7978745454077854e-97
34,3.797874545000014e-97
35,3.797874544591525e-97
36,3.7978745441823163e-97
37,3.7978745437723884e-97
38,3.797874543361739e-97
39,3.7978745429503677e-97
40,3.797874542538271e-97
41,3.7978745421254493e-97
42,3.797874541711902e-97
43,3.797874541297627e-97
44,3.797874540882622e-97
45,3.7978745404668866e-97
46,3.79787454005042e-97
47,3.7978745396332215e-97
48,3.797874539215287e-97
49,3.7978745387966177e-97
50,3.7978745383772123e-97
51,3.7978745379570693e-97
52,3.7978745375361857e-97
53,3.797874537114561e-97
54,3.797874536692195e-97
55,3.7978745362690866e-97
56,3.7978745358452325e-97
57,3.797874535420633e-97
58,3.7978745349952856e-97
59,3.79787453456919e-97
60,3.7978745341423453e-97
61,3.79787453371475e-97
62,3.7978745332864003e-97
63,3.797874532857297e-97
64,3.7978745324274395e-97
65,3.797874531996827e-97
66,3.797874531565454e-97
67,3.797874531133322e-97
68,3.7978745307004303e-97
69,3.7978745302667775e-97
70,3.7978745298323616e-97
71,3.7978745293971796e-97
72,3.797874528961232e-97
73,3.797874528524519e-97
74,3.797874528087037e-97
75,3.797874527648784e-97
76,3.7978745272097604e-97
77,3.7978745267699633e-97
78,3.797874526329394e-97
79,3.797874525888049e-97
80,3.797874525445927e-97
81,3.7978745250030275e-97
82,3.7978745245593467e-97
83,3.7978745241148863e-97
