,0
0,3.819147985506111e-130
1,3.819147985148936e-130
2,3.8191479847911306e-130
3,3.819147984432696e-130
4,3.8191479840736304e-130
5,3.819147983713934e-130
6,3.819147983353604e-130
7,3.819147982992639e-130
8,3.81914798263104e-130
9,3.819147982268804e-130
10,3.819147981905931e-130
11,3.8191479815424184e-130
12,3.819147981178267e-130
13,3.819147980813475e-130
14,3.8191479804480405e-130
15,3.819147980081963e-130
16,3.819147979715241e-130
17,3.819147979347874e-130
18,3.819147978979861e-130
19,3.8191479786112e-130
20,3.81914797824189e-130
21,3.81914797787193e-130
22,3.819147977501319e-130
23,3.8191479771300555e-130
24,3.81914797675814e-130
25,3.819147976385569e-130
26,3.819147976012342e-130
27,3.819147975638459e-130
28,3.819147975263918e-130
29,3.819147974888717e-130
30,3.819147974512856e-130
31,3.819147974136334e-130
32,3.81914797375915e-130
33,3.8191479733813015e-130
34,3.819147973002788e-130
35,3.819147972623608e-130
36,3.819147972243762e-130
37,3.819147971863246e-130
38,3.819147971482061e-130
39,3.819147971100206e-130
40,3.819147970717678e-130
41,3.819147970334478e-130
42,3.819147969950602e-130
43,3.819147969566052e-130
44,3.819147969180825e-130
45,3.819147968794919e-130
46,3.8191479684083345e-130
47,3.819147968021069e-130
48,3.819147967633123e-130
49,3.819147967244495e-130
50,3.819147966855181e-130
51,3.819147966465183e-130
52,3.819147966074499e-130
53,3.819147965683127e-130
54,3.819147965291066e-130
55,3.819147964898316e-130
56,3.819147964504875e-130
57,3.8191479641107406e-130
58,3.819147963715913e-130
59,3.81914796332039e-130
60,3.8191479629241716e-130
61,3.819147962527256e-130
62,3.819147962129642e-130
63,3.819147961731328e-130
64,3.819147961332314e-130
65,3.819147960932596e-130
66,3.819147960532176e-130
67,3.819147960131051e-130
68,3.819147959729219e-130
69,3.819147959326681e-130
70,3.8191479589234346e-130
71,3.819147958519478e-130
72,3.819147958114811e-130
73,3.819147957709432e-130
74,3.819147957303339e-130
75,3.819147956896532e-130
76,3.81914795648901e-130
77,3.819147956080769e-130
78,3.8191479556718106e-130
79,3.819147955262132e-130
80,3.8191479548517325e-130
81,3.819147954440611e-130
82,3.819147954028767e-130
83,3.8191479536161966e-130
84,3.819147953202901e-130
85,3.819147952788877e-130
86,3.819147952374126e-130
87,3.819147951958644e-130
88,3.819147951542431e-130
89,3.819147951125487e-130
90,3.819147950707807e-130
91,3.8191479502893936e-130
92,3.819147949870243e-130
93,3.819147949450356e-130
94,3.8191479490297285e-130
95,3.819147948608362e-130
96,3.819147948186253e-130
97,3.819147947763402e-130
98,3.819147947339806e-130
99,3.8191479469154655e-130
100,3.819147946490378e-130
101,3.819147946064542e-130
102,3.819147945637957e-130
103,3.819147945210621e-130
104,3.819147944782533e-130
105,3.819147944353693e-130
106,3.819147943924096e-130
107,3.8191479434937445e-130
108,3.819147943062635e-130
109,3.8191479426307674e-130
110,3.81914794219814e-130
111,3.81914794176475e-130
112,3.819147941330599e-130
113,3.819147940895683e-130
114,3.819147940460002e-130
115,3.819147940023554e-130
116,3.8191479395863374e-130
117,3.819147939148352e-130
118,3.819147938709596e-130
119,3.819147938270068e-130
120,3.819147937829766e-130
121,3.81914793738869e-130
122,3.819147936946837e-130
123,3.8191479365042066e-130
124,3.819147936060797e-130
125,3.819147935616608e-130
126,3.819147935171637e-130
127,3.819147934725882e-130
128,3.819147934279344e-130
129,3.819147933832019e-130
130,3.819147933383907e-130
131,3.8191479329350065e-130
132,3.819147932485317e-130
133,3.819147932034835e-130
134,3.819147931583561e-130
135,3.819147931131492e-130
136,3.819147930678628e-130
137,3.819147930224967e-130
138,3.819147929770507e-130
139,3.819147929315248e-130
140,3.819147928859188e-130
141,3.819147928402326e-130
142,3.819147927944658e-130
143,3.819147927486186e-130
144,3.8191479270269066e-130
145,3.81914792656682e-130
146,3.819147926105923e-130
147,3.819147925644214e-130
148,3.819147925181695e-130
149,3.819147924718359e-130
150,3.81914792425421e-130
151,3.819147923789243e-130
152,3.819147923323458e-130
153,3.819147922856853e-130
154,3.819147922389428e-130
155,3.819147921921179e-130
156,3.819147921452108e-130
157,3.81914792098221e-130
158,3.819147920511485e-130
159,3.819147920039932e-130
160,3.8191479195675486e-130
161,3.819147919094335e-130
162,3.819147918620288e-130
163,3.8191479181454065e-130
164,3.81914791766969e-130
165,3.819147917193136e-130
166,3.819147916715743e-130
167,3.81914791623751e-130
168,3.819147915758436e-130
169,3.819147915278519e-130
170,3.819147914797756e-130
171,3.819147914316149e-130
172,3.819147913833693e-130
173,3.8191479133503895e-130
174,3.819147912866234e-130
175,3.819147912381226e-130
176,3.819147911895366e-130
177,3.81914791140865e-130
178,3.819147910921079e-130
179,3.819147910432648e-130
180,3.819147909943358e-130
181,3.819147909453207e-130
182,3.819147908962195e-130
183,3.819147908470317e-130
184,3.8191479079775744e-130
185,3.819147907483964e-130
186,3.8191479069894856e-130
187,3.819147906494136e-130
188,3.8191479059979155e-130
189,3.8191479055008215e-130
190,3.819147905002853e-130
191,3.819147904504008e-130
192,3.819147904004286e-130
193,3.819147903503683e-130
194,3.8191479030022e-130
195,3.819147902499834e-130
196,3.819147901996585e-130
197,3.819147901492449e-130
198,3.819147900987426e-130
199,3.819147900481515e-130
200,3.819147899974714e-130
201,3.81914789946702e-130
202,3.8191478989584335e-130
203,3.819147898448952e-130
204,3.819147897938573e-130
205,3.819147897427297e-130
206,3.81914789691512e-130
207,3.8191478964020425e-130
208,3.819147895888062e-130
209,3.819147895373178e-130
210,3.8191478948573866e-130
211,3.8191478943406865e-130
212,3.819147893823079e-130
213,3.8191478933045605e-130
214,3.819147892785129e-130
215,3.819147892264783e-130
216,3.819147891743522e-130
217,3.819147891221343e-130
218,3.8191478906982455e-130
219,3.819147890174228e-130
220,3.819147889649287e-130
221,3.819147889123424e-130
222,3.819147888596634e-130
223,3.819147888068918e-130
224,3.8191478875402726e-130
225,3.8191478870106976e-130
226,3.81914788648019e-130
227,3.8191478859487494e-130
228,3.819147885416373e-130
229,3.81914788488306e-130
230,3.819147884348809e-130
231,3.819147883813617e-130
232,3.819147883277484e-130
233,3.819147882740406e-130
234,3.819147882202384e-130
235,3.819147881663415e-130
236,3.819147881123498e-130
237,3.81914788058263e-130
238,3.819147880040811e-130
239,3.8191478794980385e-130
240,3.8191478789543096e-130
241,3.819147878409625e-130
242,3.8191478778639815e-130
243,3.819147877317378e-130
244,3.819147876769813e-130
245,3.8191478762212836e-130
246,3.819147875671789e-130
247,3.819147875121328e-130
248,3.819147874569898e-130
249,3.819147874017498e-130
250,3.8191478734641244e-130
251,3.819147872909778e-130
252,3.819147872354456e-130
253,3.819147871798157e-130
254,3.819147871240879e-130
255,3.81914787068262e-130
256,3.819147870123379e-130
257,3.819147869563153e-130
258,3.8191478690019425e-130
259,3.819147868439743e-130
260,3.819147867876555e-130
261,3.819147867312376e-130
262,3.819147866747203e-130
263,3.819147866181036e-130
264,3.819147865613873e-130
265,3.819147865045712e-130
266,3.8191478644765516e-130
267,3.819147863906389e-130
268,3.819147863335223e-130
269,3.819147862763051e-130
270,3.819147862189874e-130
271,3.819147861615686e-130
272,3.819147861040489e-130
273,3.81914786046428e-130
274,3.819147859887056e-130
275,3.819147859308817e-130
276,3.819147858729561e-130
277,3.819147858149284e-130
278,3.819147857567987e-130
279,3.819147856985667e-130
280,3.819147856402323e-130
281,3.819147855817951e-130
282,3.819147855232551e-130
283,3.819147854646121e-130
284,3.8191478540586586e-130
285,3.819147853470163e-130
286,3.819147852880631e-130
287,3.8191478522900616e-130
288,3.819147851698453e-130
289,3.819147851105804e-130
290,3.8191478505121125e-130
291,3.819147849917375e-130
292,3.819147849321591e-130
293,3.819147848724759e-130
294,3.819147848126876e-130
295,3.819147847527943e-130
296,3.819147846927954e-130
297,3.819147846326909e-130
298,3.819147845724807e-130
299,3.819147845121645e-130
300,3.819147844517422e-130
301,3.819147843912135e-130
302,3.819147843305784e-130
303,3.819147842698365e-130
304,3.8191478420898775e-130
305,3.819147841480319e-130
306,3.819147840869688e-130
307,3.819147840257983e-130
308,3.8191478396452e-130
309,3.81914783903134e-130
310,3.819147838416399e-130
311,3.819147837800375e-130
312,3.819147837183269e-130
313,3.819147836565076e-130
314,3.819147835945795e-130
315,3.819147835325424e-130
316,3.8191478347039615e-130
317,3.819147834081406e-130
318,3.819147833457754e-130
319,3.819147832833005e-130
320,3.8191478322071565e-130
321,3.8191478315802065e-130
322,3.819147830952154e-130
323,3.819147830322995e-130
324,3.819147829692729e-130
325,3.8191478290613546e-130
326,3.819147828428869e-130
327,3.81914782779527e-130
328,3.819147827160555e-130
329,3.819147826524725e-130
330,3.819147825887775e-130
331,3.819147825249705e-130
332,3.819147824610512e-130
333,3.8191478239701926e-130
334,3.8191478233287476e-130
335,3.8191478226861734e-130
336,3.8191478220424685e-130
337,3.819147821397631e-130
338,3.819147820751658e-130
339,3.819147820104549e-130
340,3.819147819456302e-130
341,3.819147818806913e-130
342,3.819147818156381e-130
343,3.8191478175047055e-130
344,3.819147816851882e-130
345,3.81914781619791e-130
346,3.819147815542787e-130
347,3.819147814886511e-130
348,3.8191478142290805e-130
349,3.819147813570493e-130
350,3.819147812910747e-130
351,3.8191478122498396e-130
352,3.819147811587768e-130
353,3.8191478109245335e-130
354,3.819147810260131e-130
355,3.8191478095945585e-130
356,3.819147808927816e-130
357,3.8191478082598986e-130
358,3.819147807590807e-130
359,3.819147806920538e-130
360,3.819147806249088e-130
361,3.819147805576458e-130
362,3.819147804902644e-130
363,3.819147804227643e-130
364,3.819147803551456e-130
365,3.819147802874077e-130
366,3.819147802195508e-130
367,3.819147801515744e-130
368,3.8191478008347834e-130
369,3.819147800152625e-130
370,3.819147799469266e-130
