,0
0,7.593793156517039e-93
1,7.593793155377269e-93
2,7.593793154235505e-93
3,7.593793153091744e-93
4,7.593793151945981e-93
5,7.593793150798213e-93
6,7.593793149648436e-93
7,7.59379314849665e-93
8,7.593793147342849e-93
9,7.593793146187025e-93
10,7.593793145029184e-93
11,7.593793143869314e-93
12,7.593793142707415e-93
13,7.593793141543484e-93
14,7.593793140377518e-93
15,7.593793139209509e-93
16,7.593793138039459e-93
17,7.59379313686736e-93
18,7.593793135693212e-93
19,7.5937931345170085e-93
20,7.593793133338748e-93
21,7.593793132158425e-93
22,7.593793130976039e-93
23,7.593793129791581e-93
24,7.593793128605052e-93
25,7.593793127416447e-93
26,7.593793126225764e-93
27,7.593793125032998e-93
28,7.593793123838143e-93
29,7.593793122641199e-93
30,7.593793121442161e-93
31,7.593793120241024e-93
32,7.593793119037788e-93
33,7.593793117832443e-93
34,7.5937931166249915e-93
35,7.593793115415425e-93
36,7.593793114203746e-93
37,7.593793112989944e-93
38,7.593793111774021e-93
39,7.593793110555969e-93
40,7.593793109335787e-93
41,7.593793108113467e-93
42,7.593793106889013e-93
43,7.593793105662413e-93
44,7.59379310443367e-93
45,7.5937931032027745e-93
46,7.593793101969726e-93
47,7.593793100734522e-93
48,7.593793099497156e-93
49,7.593793098257624e-93
50,7.593793097015924e-93
51,7.593793095772051e-93
52,7.593793094526003e-93
53,7.5937930932777725e-93
54,7.593793092027363e-93
55,7.593793090774762e-93
56,7.593793089519968e-93
57,7.593793088262982e-93
58,7.593793087003795e-93
59,7.593793085742406e-93
60,7.59379308447881e-93
61,7.593793083213001e-93
62,7.5937930819449816e-93
63,7.593793080674742e-93
64,7.593793079402278e-93
65,7.59379307812759e-93
66,7.59379307685067e-93
67,7.593793075571516e-93
68,7.593793074290126e-93
69,7.593793073006494e-93
70,7.5937930717206126e-93
71,7.593793070432484e-93
72,7.593793069142102e-93
73,7.593793067849461e-93
74,7.593793066554563e-93
75,7.593793065257394e-93
76,7.593793063957957e-93
77,7.5937930626562455e-93
78,7.593793061352257e-93
79,7.59379306004599e-93
80,7.5937930587374364e-93
81,7.593793057426594e-93
82,7.593793056113453e-93
83,7.59379305479802e-93
84,7.5937930534802824e-93
85,7.593793052160241e-93
86,7.59379305083789e-93
87,7.5937930495132256e-93
88,7.593793048186243e-93
89,7.593793046856939e-93
90,7.593793045525309e-93
91,7.593793044191348e-93
92,7.5937930428550555e-93
93,7.593793041516424e-93
94,7.593793040175451e-93
95,7.59379303883213e-93
96,7.5937930374864605e-93
97,7.593793036138436e-93
98,7.5937930347880525e-93
99,7.593793033435308e-93
100,7.593793032080198e-93
101,7.593793030722713e-93
102,7.593793029362854e-93
103,7.593793028000619e-93
104,7.593793026635996e-93
105,7.59379302526899e-93
106,7.593793023899591e-93
107,7.593793022527793e-93
108,7.593793021153597e-93
109,7.5937930197769974e-93
110,7.593793018397987e-93
111,7.593793017016567e-93
112,7.593793015632729e-93
113,7.5937930142464705e-93
114,7.593793012857785e-93
115,7.593793011466672e-93
116,7.5937930100731214e-93
117,7.593793008677136e-93
118,7.5937930072787076e-93
119,7.593793005877832e-93
120,7.5937930044745055e-93
121,7.593793003068724e-93
122,7.593793001660484e-93
123,7.593793000249778e-93
124,7.593792998836603e-93
125,7.593792997420961e-93
126,7.593792996002836e-93
127,7.59379299458223e-93
128,7.593792993159142e-93
129,7.5937929917335655e-93
130,7.593792990305492e-93
131,7.5937929888749195e-93
132,7.593792987441844e-93
133,7.593792986006263e-93
134,7.593792984568169e-93
135,7.593792983127561e-93
136,7.5937929816844295e-93
137,7.593792980238775e-93
138,7.593792978790591e-93
139,7.593792977339875e-93
140,7.5937929758866185e-93
141,7.593792974430819e-93
142,7.5937929729724725e-93
143,7.593792971511577e-93
144,7.593792970048122e-93
145,7.5937929685821105e-93
146,7.593792967113532e-93
147,7.593792965642384e-93
148,7.593792964168661e-93
149,7.593792962692362e-93
150,7.5937929612134785e-93
151,7.5937929597320065e-93
152,7.593792958247944e-93
153,7.593792956761287e-93
154,7.593792955272024e-93
155,7.593792953780159e-93
156,7.5937929522856855e-93
157,7.593792950788594e-93
158,7.593792949288885e-93
159,7.593792947786551e-93
160,7.593792946281588e-93
161,7.593792944773994e-93
162,7.59379294326376e-93
163,7.593792941750883e-93
164,7.593792940235362e-93
165,7.593792938717188e-93
166,7.59379293719636e-93
167,7.5937929356728694e-93
168,7.593792934146713e-93
169,7.593792932617886e-93
170,7.593792931086386e-93
171,7.593792929552205e-93
172,7.593792928015338e-93
173,7.593792926475786e-93
174,7.5937929249335385e-93
175,7.593792923388593e-93
176,7.593792921840945e-93
177,7.593792920290588e-93
178,7.59379291873752e-93
179,7.593792917181734e-93
180,7.593792915623224e-93
181,7.593792914061989e-93
182,7.593792912498025e-93
183,7.593792910931323e-93
184,7.593792909361879e-93
185,7.593792907789689e-93
186,7.59379290621475e-93
187,7.593792904637053e-93
188,7.593792903056599e-93
189,7.593792901473376e-93
190,7.593792899887384e-93
191,7.593792898298621e-93
192,7.593792896707075e-93
193,7.593792895112745e-93
194,7.593792893515624e-93
195,7.593792891915712e-93
196,7.593792890312996e-93
197,7.593792888707479e-93
198,7.5937928870991545e-93
199,7.593792885488014e-93
200,7.593792883874055e-93
201,7.5937928822572725e-93
202,7.593792880637661e-93
203,7.593792879015216e-93
204,7.593792877389932e-93
205,7.593792875761806e-93
206,7.593792874130831e-93
207,7.593792872496999e-93
208,7.5937928708603124e-93
209,7.593792869220763e-93
210,7.593792867578343e-93
211,7.593792865933048e-93
212,7.593792864284876e-93
213,7.593792862633821e-93
214,7.593792860979875e-93
215,7.59379285932304e-93
216,7.5937928576633e-93
217,7.593792856000661e-93
218,7.593792854335111e-93
