,0
0,2.384201174706212e-89
1,2.384201147536576e-89
2,2.384201120319128e-89
3,2.3842010930537834e-89
4,2.3842010657404575e-89
5,2.3842010383790667e-89
6,2.384201010969525e-89
7,2.3842009835117495e-89
8,2.3842009560056547e-89
9,2.384200928451154e-89
10,2.384200900848165e-89
11,2.3842008731965998e-89
12,2.384200845496375e-89
13,2.3842008177474037e-89
14,2.3842007899496e-89
15,2.384200762102878e-89
16,2.384200734207153e-89
17,2.384200706262337e-89
18,2.3842006782683447e-89
19,2.3842006502250894e-89
20,2.3842006221324835e-89
21,2.384200593990442e-89
22,2.384200565798876e-89
23,2.384200537557699e-89
24,2.384200509266824e-89
25,2.384200480926164e-89
26,2.3842004525356304e-89
27,2.3842004240951357e-89
28,2.3842003956045924e-89
29,2.3842003670639112e-89
30,2.3842003384730056e-89
31,2.384200309831786e-89
32,2.384200281140164e-89
33,2.3842002523980522e-89
34,2.3842002236053596e-89
35,2.384200194761999e-89
36,2.3842001658678806e-89
37,2.3842001369229148e-89
38,2.3842001079270122e-89
39,2.3842000788800837e-89
40,2.3842000497820388e-89
41,2.3842000206327883e-89
42,2.3841999914322402e-89
43,2.3841999621803075e-89
44,2.3841999328768974e-89
45,2.3841999035219193e-89
46,2.3841998741152836e-89
47,2.384199844656898e-89
48,2.3841998151466728e-89
49,2.3841997855845164e-89
50,2.3841997559703364e-89
51,2.384199726304043e-89
52,2.3841996965855433e-89
53,2.3841996668147453e-89
54,2.3841996369915585e-89
55,2.3841996071158884e-89
56,2.3841995771876444e-89
57,2.384199547206733e-89
58,2.3841995171730616e-89
59,2.384199487086539e-89
60,2.3841994569470695e-89
61,2.3841994267545626e-89
62,2.384199396508923e-89
63,2.3841993662100573e-89
64,2.3841993358578726e-89
65,2.3841993054522753e-89
66,2.3841992749931706e-89
67,2.3841992444804654e-89
68,2.3841992139140637e-89
69,2.3841991832938728e-89
70,2.3841991526197966e-89
71,2.3841991218917414e-89
72,2.384199091109611e-89
73,2.384199060273312e-89
74,2.384199029382748e-89
75,2.3841989984378226e-89
76,2.384198967438442e-89
77,2.3841989363845083e-89
78,2.384198905275928e-89
79,2.3841988741126033e-89
80,2.384198842894437e-89
81,2.3841988116213345e-89
82,2.3841987802931988e-89
83,2.3841987489099322e-89
84,2.3841987174714383e-89
85,2.3841986859776196e-89
86,2.3841986544283788e-89
87,2.384198622823618e-89
88,2.384198591163241e-89
89,2.384198559447148e-89
90,2.384198527675242e-89
91,2.3841984958474252e-89
92,2.3841984639635973e-89
93,2.384198432023662e-89
94,2.384198400027519e-89
95,2.384198367975071e-89
96,2.3841983358662172e-89
97,2.384198303700859e-89
98,2.384198271478897e-89
99,2.3841982392002324e-89
100,2.384198206864763e-89
101,2.3841981744723918e-89
102,2.3841981420230164e-89
103,2.3841981095165383e-89
104,2.3841980769528555e-89
105,2.3841980443318687e-89
106,2.384198011653476e-89
107,2.3841979789175757e-89
108,2.384197946124069e-89
109,2.3841979132728523e-89
110,2.3841978803638256e-89
111,2.3841978473968852e-89
112,2.3841978143719315e-89
113,2.384197781288861e-89
114,2.3841977481475717e-89
115,2.3841977149479612e-89
116,2.384197681689927e-89
117,2.3841976483733658e-89
118,2.3841976149981748e-89
119,2.3841975815642522e-89
120,2.384197548071492e-89
121,2.384197514519793e-89
122,2.38419748090905e-89
123,2.3841974472391604e-89
124,2.3841974135100193e-89
125,2.384197379721522e-89
126,2.384197345873565e-89
127,2.3841973119660432e-89
128,2.3841972779988515e-89
129,2.384197243971885e-89
130,2.3841972098850398e-89
131,2.3841971757382085e-89
132,2.3841971415312866e-89
133,2.3841971072641684e-89
134,8.468195867598505e-13
135,1.6143897679922525e-12
136,2.3711956370559467e-12
137,3.1611794974706616e-12
138,4.053938247663019e-12
139,5.102512392414082e-12
140,6.358042272981918e-12
141,7.881851656073682e-12
142,9.746674244187489e-12
143,1.2006672398846585e-11
144,1.474227087966064e-11
145,1.8054415632497856e-11
146,2.2087680820848855e-11
147,2.6931056226441297e-11
148,3.2729731496235995e-11
149,3.9737768758015564e-11
150,4.815400867449679e-11
151,5.815189573258087e-11
152,7.011488328397489e-11
153,8.44357158675974e-11
154,1.0130419990499484e-10
155,1.2143374511266673e-10
156,1.452544861521202e-10
157,1.7318331781497767e-10
158,2.0676584116258325e-10
159,2.4587260569900626e-10
160,2.924298082282246e-10
161,3.4629053004566723e-10
162,4.101089262771208e-10
163,4.837624409875509e-10
164,5.70623108441347e-10
165,6.707553901735023e-10
166,7.881847238165297e-10
167,9.235176905704957e-10
168,1.0812148189532127e-09
169,1.2633764731358736e-09
170,1.4757950389580064e-09
171,1.7181779358045117e-09
172,2.0006059984117435e-09
173,2.323800877638471e-09
174,2.6935349544958873e-09
175,3.121856769840065e-09
176,3.607219611488e-09
177,4.167165104255889e-09
178,4.804891698351933e-09
179,5.5291120003344e-09
180,6.3653446026958065e-09
181,7.310010445196459e-09
182,8.378172863751522e-09
183,9.607411306508188e-09
184,1.0992703447346059e-08
185,1.2551414504663708e-08
186,1.4331000148020125e-08
187,1.6340352763077267e-08
188,1.859390835071597e-08
189,2.1133038587675476e-08
190,2.401644323516998e-08
191,2.724032297505556e-08
192,3.0839953129969594e-08
193,3.492395222319184e-08
194,3.94899006590236e-08
195,4.457333140471154e-08
196,5.027927008049674e-08
197,5.6710182564911725e-08
198,6.388602998695572e-08
199,7.187791683292055e-08
200,8.076833629956214e-08
201,9.064722437314583e-08
202,1.016196978818337e-07
203,1.1392343657972387e-07
204,1.275624536054506e-07
205,1.4266575790895022e-07
206,1.5937334531077667e-07
207,1.7783700016054494e-07
208,1.9822114805606757e-07
209,2.2082483168749174e-07
210,2.459041258945632e-07
211,2.7353294495282527e-07
212,3.039415369525347e-07
213,3.3749665619096717e-07
214,3.7440979450883654e-07
215,4.1498158988142214e-07
216,4.5953655623277826e-07
217,5.087287052607759e-07
218,5.627896116583862e-07
219,6.220459590648202e-07
220,6.869441174399013e-07
221,7.579642953684353e-07
222,8.35622743812743e-07
223,9.204740818975613e-07
224,1.0131137504055359e-06
225,1.1142382752638866e-06
226,1.2255630837108394e-06
227,1.3470498178255344e-06
228,1.4796346461828629e-06
229,1.6240125305857933e-06
230,1.7824373180675783e-06
231,1.954856047077592e-06
232,2.1423370053128246e-06
233,2.3460642191259608e-06
234,2.567310903238588e-06
235,2.8074414804619596e-06
236,3.067917453905014e-06
237,3.3503036174546634e-06
238,3.6562746249265692e-06
239,3.987720539840914e-06
240,4.34640409670764e-06
241,4.734361105996337e-06
242,5.153766485502699e-06
243,5.609794156569464e-06
244,6.102721377414854e-06
245,6.634970834513999e-06
246,7.209396365328132e-06
247,7.82904057308652e-06
248,8.497146156676497e-06
249,9.217167852438625e-06
250,9.992785016624068e-06
251,1.0827914878249796e-05
252,1.1726726493097972e-05
253,1.2693655430680121e-05
254,1.3733419227084961e-05
255,1.4851033637736752e-05
256,1.6051829725299365e-05
257,1.7341471819093603e-05
258,1.8725976383642775e-05
259,2.0216158865956422e-05
260,2.1828684168379423e-05
261,2.355566485243499e-05
262,2.540434506400588e-05
263,2.738281902111188e-05
264,2.9498486668093524e-05
265,3.175986972475005e-05
266,3.4177995074573394e-05
267,3.6790655324008314e-05
268,3.9581629169124826e-05
269,4.2561850525390895e-05
270,4.5742867122576715e-05
271,4.91368726611941e-05
272,5.275674054780665e-05
273,5.6616059279217367e-05
274,6.074516937899973e-05
275,6.517398226604913e-05
276,6.990335065315729e-05
277,7.493717005086767e-05
278,8.029291880650977e-05
279,8.598899011613829e-05
280,9.20447373625994e-05
281,9.850721020638633e-05
282,0.00010543019597197542
283,0.00011278699746328986
284,0.0001206020025769609
285,0.00012890085282210305
286,0.00013771050386547474
287,0.00014705928882178675
288,0.00015698636856190603
289,0.0001676164150369376
290,0.00017889167053590328
291,0.00019084746291463142
292,0.00020352089180973593
293,0.0002169509114321843
294,0.00023119982847891911
295,0.00024625798430686323
296,0.00026241352563703116
297,0.0002795298778071719
298,0.00029760462141433186
299,0.00031668177421242277
300,0.00033680685158307894
301,0.0003583696031628669
302,0.00038116529961449797
303,0.00040523965460416574
304,0.00043058566292277926
305,0.0004573640263813491
306,0.00048601409242821216
307,0.00051617400441958
308,0.0005479087396209974
309,0.0005812855393975239
310,0.0006168363695626245
311,0.0006545979779562757
312,0.0006942066171112196
313,0.0007357287660089455
314,0.0007800129920088064
315,0.000826790257240509
