,0
0,7.011074211333177e-09
1,7.363383003559861e-09
2,7.737649811551184e-09
3,8.135326682174492e-09
4,8.558960889235212e-09
5,9.013895257482606e-09
6,9.498464448205839e-09
7,1.001541737590811e-08
8,1.0572877097830243e-08
9,1.1167263023155855e-08
10,1.1808341925575896e-08
11,1.249528244196617e-08
12,1.3237978668538648e-08
13,1.403508183603732e-08
14,1.4901667011895687e-08
15,1.583746813259456e-08
16,1.685082796832173e-08
17,1.7952420628025752e-08
18,1.9155056453931233e-08
19,2.0467227336037042e-08
20,2.1902701967177892e-08
21,2.3479045454961046e-08
22,2.5217249558986576e-08
23,2.7134815663619432e-08
24,2.9256441842919523e-08
25,3.1623836201001944e-08
26,3.426283690091526e-08
27,3.7230580706877876e-08
28,4.0567081698875435e-08
29,4.4357144090538416e-08
30,4.867442905380875e-08
31,5.362016911387037e-08
32,5.93290752279711e-08
33,6.597081684782957e-08
34,7.375629836407355e-08
35,8.294156970605088e-08
36,9.391844508148643e-08
37,1.07129088755727e-07
38,1.2321929416058937e-07
39,1.4302629557759006e-07
40,1.6779862174854444e-07
41,1.9914298613854854e-07
42,2.394202193422581e-07
43,2.922065884547807e-07
44,3.626972497595381e-07
45,4.588541750258721e-07
46,5.9368531929047e-07
47,7.88443278824516e-07
48,1.0801260557563121e-06
49,1.5377159756294322e-06
50,2.2974673037582826e-06
51,3.6531871519323936e-06
52,6.318226636548954e-06
53,1.2259745913378058e-05
54,2.807327389350284e-05
55,8.107967982723825e-05
56,0.0003147558012441015
57,0.0015263304397711216
58,0.006382301372402138
59,0.018419713140554298
60,0.04122644895857692
61,0.07960442521935324
62,0.13982907384213264
63,0.22956660852731833
64,0.35828714207804313
65,0.5370334266058572
66,0.7788026225981268
67,1.098265885246886
68,1.5120282481958696
69,2.0386955942352074
70,2.698264384475012
71,3.5128182107032306
72,4.505984128317848
73,5.704386564792005
74,7.134124120920362
75,8.826524832706571
76,10.810826368204996
77,13.119916320463512
78,15.783647901069221
79,18.84113075295391
80,22.32830122589923
81,26.27978076180836
82,30.73360702376768
83,35.73347245449403
84,41.31547894847747
85,47.523746243746565
86,54.394554437362736
87,61.9730327540681
88,70.29986296740182
89,79.41335186058846
90,89.36811168065564
91,100.19463652394761
92,111.93604552808274
93,124.64363325985147
94,138.3638876368694
95,153.1349192859035
96,169.01544465746565
97,186.03040174673157
98,204.21883423892183
99,223.62367894366807
100,244.30673549488137
101,266.2988248194667
102,289.63803698013515
103,314.3710458936726
104,340.53328099100435
105,368.1865275156863
106,397.3431926743288
107,428.04290862716687
108,460.32975768328674
109,494.25844014568196
110,529.8716914372735
111,567.1415878575646
112,606.2100178569743
113,646.9993440428547
114,689.6403057698872
115,734.0798105827554
116,780.4368006585521
117,828.6598680258994
118,878.8985283687572
119,931.0675490597077
120,985.2078001619942
121,1041.4483173083838
122,1099.710376747745
123,1160.019289018886
124,1222.5115431268707
125,1287.160151784814
126,1353.9662459582883
127,1422.9545538976809
128,1494.1609065744185
129,1567.610386443526
130,1643.3211833304883
131,1721.3280609406318
132,1801.635947608284
133,1884.2654958293563
134,1969.2365697600762
135,2056.568249789605
136,2146.2788393967307
137,2238.4508277034124
138,2333.102070388155
139,2430.1385444962357
140,2529.5708938595653
141,2631.4762936032844
142,2735.9236084633367
143,2842.812764038199
144,2952.1674611278713
145,3064.0341387612675
146,3178.5096038251445
147,3295.4562792581182
148,3414.885226545063
149,3536.9521171025785
150,3661.5994831197645
151,3788.728763391858
152,3918.477201864597
153,4050.8716167646176
154,4185.733597518487
155,4323.280813313628
156,4463.414436234374
157,4606.047566202831
158,4751.513134422248
159,4899.400376096211
160,5050.091152069681
161,5203.194215056837
162,5359.102925464881
163,5517.439279993521
164,5678.565523069841
165,5842.148394784911
166,6008.488488941591
167,6177.327123594182
168,6348.874375784421
169,6523.001695358874
170,6699.892395720603
171,6879.2166060406325
172,7061.336414112725
173,7245.980549427355
174,7433.163397781698
175,7623.120284495837
176,7815.497771163612
177,8010.617415436912
178,8208.28456165174
179,8408.465238444183
180,8611.46718260483
181,8816.924710222233
182,9024.878213966353
183,9235.653398859637
184,9448.892579122894
185,9664.59228202985
186,9883.027019857449
187,10104.01362817627
188,10327.447913864984
189,10553.431158028563
190,10782.122985009724
191,11013.249044281147
192,11246.805495366414
193,11483.101195492483
194,11721.87446725157
195,11963.064258283226
196,12206.837113580516
197,12453.282195861442
198,12702.215487804044
199,12953.618729257161
200,13207.486381350669
201,13463.812914770506
202,13722.60486695289
203,13984.055707295092
204,14247.948983700882
205,14514.2792355084
206,14783.041038462048
207,15054.229007819298
208,15327.837801240505
209,15603.965064061147
210,15882.63101980047
211,16163.70181930995
212,16447.172299225454
213,16733.10452130054
214,17021.44882799489
215,17312.20006083967
216,17605.353109507185
217,17901.025741570244
218,18199.13004904825
219,18499.622487219618
220,18802.49812138235
221,19107.75207976388
222,19415.379554434985
223,19725.375802042956
224,20037.736144397168
225,20352.467516451015
226,20669.751991403577
227,20989.409717935094
228,21311.450954810054
229,21635.84219450147
230,21962.75011267747
231,22292.003528648667
232,22623.594744164173
233,22957.521223770556
234,23293.780898144276
235,23632.371709798404
236,23973.291614542377
237,24316.5385825755
238,24662.11059933261
239,25010.011585088203
240,25360.229759823447
241,25712.76341601875
242,26067.61085501497
243,26424.903801261225
244,26784.514543387068
245,27146.42868183852
246,27510.64466997168
247,27877.16096827515
248,28245.97604440961
249,28617.088373151946
250,28990.496436257297
251,29366.198722249734
252,29744.193726142734
253,30124.479949096884
254,30507.055898021303
255,30891.92008511441
256,31279.07102736145
257,31668.50724598192
258,32060.227265839374
259,32454.295825632154
260,32850.83418112419
261,33249.606148069004
262,33650.61227875409
263,34053.85777347139
264,34459.33499552871
265,34867.044625632145
266,35277.00607337312
267,35689.45971526295
268,36104.13932017831
269,36521.04547808883
270,36940.178713635825
271,37361.539487693415
272,37785.12819880896
273,38210.94518453433
274,38639.07946518002
275,39069.58915487396
276,39502.370304850985
277,39937.35346050176
278,40374.53959547671
279,40813.92960932133
280,41255.52432862389
281,41699.42011592316
282,42145.70603246886
283,42594.19087695682
284,43044.87533612068
285,43497.76002665464
286,43952.84549822254
287,44410.132235488534
288,44869.64279400438
289,45331.57899354166
290,45795.71041391101
291,46262.037411114165
292,46730.56027856196
293,47201.27924845618
294,47674.22815221429
295,48149.32322961891
296,48626.92872886619
297,49106.73149056016
298,49588.66183381438
299,50072.720342159526
300,50558.90756206553
301,51047.599866407785
302,51538.4627514589
303,52031.47950598948
304,52526.58839092282
305,53023.88698414739
306,53523.675422049244
307,54025.553542720736
308,54529.52448884075
309,55035.59128259861
310,55544.06655855886
311,56054.86929569902
312,56567.69837187749
313,57082.56003693013
314,57599.879813318075
315,58119.40797104468
316,58640.969771599724
317,59164.57092815542
318,59690.666516912795
319,60218.9132572039
320,60749.199853501676
321,61281.53153839135
322,61816.33815445186
323,62353.294875367494
324,62892.29673871212
325,63433.34854884075
326,63976.805314293175
327,64522.46212371316
328,65070.16858462357
329,65619.92912154153
330,66171.97904614617
331,66726.32518437144
332,67282.72484080512
333,67841.18210445554
334,68401.77204430324
335,68964.79625608551
336,69529.87733080963
337,70097.0190621328
338,70666.22510420717
339,71237.79051246544
340,71811.54115920803
341,72387.35513154595
342,72965.2358368949
343,73545.22688744926
344,74127.63544712024
345,74712.18909555055
346,75298.73815842181
347,75887.33681962262
348,76478.43526973053
349,77071.5341838883
350,77666.64107746026
351,78263.89523910204
352,78863.5366312432
353,79465.19012139468
354,80068.86243284021
355,80674.7097122448
356,81282.90222463169
357,81893.1488470441
358,82505.38416555768
359,83119.88150897219
360,83736.64110062517
361,84355.39331174317
362,84976.15926684902
363,85599.50421236127
364,86224.79820413083
365,86851.93964564482
366,87481.75593358508
367,88113.40865501577
368,88747.02629158284
369,89383.19743758609
370,90021.21960648234
371,90661.28793354944
372,91303.82472034353
373,91948.22625703167
374,92594.72162556047
375,93243.63408106628
376,93894.42423257181
377,94547.32476930368
378,95202.6222858673
379,95859.815815383
380,96519.11855018782
381,97180.81627965743
382,97844.39841544445
383,98510.10277157232
384,99178.18637058814
385,99848.20181898803
386,100520.39715160604
387,101194.90014053593
388,101871.19643568376
389,102549.96872789666
390,103230.75538079179
391,103913.41218981656
392,104598.68245508795
393,105285.76302325145
394,105974.97496698181
395,106666.5415600914
396,107359.93883988936
397,108055.68120655458
398,108753.56667471862
399,109453.30190482983
400,110155.55215191837
401,110859.77757463387
402,111565.89444569033
403,112274.6677091206
404,112985.24272490808
405,113697.96470255476
406,114413.02223524406
407,115129.89889294928
408,115849.21035411952
409,116570.57321994664
410,117293.80940581101
411,118019.65779566407
412,118747.3467977829
413,119477.15486884711
414,120209.33407274676
415,120943.3718055489
416,121679.73686365859
417,122418.26952853004
418,123158.6778293112
419,123901.58673249107
420,124646.57546227082
421,125393.56051447125
422,126143.00310968743
423,126894.14958943655
424,127647.96594832971
425,128403.58124241946
426,129161.48191189342
427,129921.56207574654
428,130683.54928797795
429,131448.09825500599
430,132214.38129009382
431,132983.19639607734
432,133753.96084886906
433,134526.8635665774
434,135302.1241532555
435,136079.13223271107
436,136858.8760107677
437,137640.37622322002
438,138424.22426208915
439,139210.221855038
440,139998.1772166394
