,0
0,9.984339727596766e-95
1,9.984339726583341e-95
2,9.984339725568137e-95
3,9.984339724551143e-95
4,9.98433972353236e-95
5,9.984339722511786e-95
6,9.98433972148942e-95
7,9.984339720465248e-95
8,9.984339719439278e-95
9,9.984339718411498e-95
10,9.984339717381911e-95
11,9.984339716350515e-95
12,9.984339715317304e-95
13,9.984339714282272e-95
14,9.98433971324542e-95
15,9.98433971220675e-95
16,9.984339711166241e-95
17,9.984339710123909e-95
18,9.984339709079739e-95
19,9.984339708033735e-95
20,9.984339706985887e-95
21,9.984339705936199e-95
22,9.984339704884661e-95
23,9.984339703831275e-95
24,9.984339702776033e-95
25,9.984339701718934e-95
26,9.984339700659976e-95
27,9.984339699599155e-95
28,9.984339698536467e-95
29,9.984339697471912e-95
30,9.984339696405478e-95
31,9.984339695337172e-95
32,9.984339694266983e-95
33,9.984339693194915e-95
34,9.984339692120958e-95
35,9.984339691045111e-95
36,9.984339689967371e-95
37,9.984339688887736e-95
38,9.9843396878062e-95
39,9.984339686722762e-95
40,9.984339685637417e-95
41,9.984339684550163e-95
42,9.984339683460994e-95
43,9.984339682369909e-95
44,9.984339681276903e-95
45,9.984339680181975e-95
46,9.98433967908512e-95
47,9.984339677986337e-95
48,9.984339676885621e-95
49,9.984339675782968e-95
50,9.984339674678369e-95
51,9.984339673571832e-95
52,9.984339672463345e-95
53,9.984339671352909e-95
54,9.98433967024052e-95
55,9.98433966912617e-95
56,9.984339668009862e-95
57,9.984339666891592e-95
58,9.984339665771352e-95
59,9.98433966464914e-95
60,1.4350187438928505e-18
61,3.004235208266454e-18
62,4.645087012543324e-18
63,6.34607488882951e-18
64,8.092232806786506e-18
65,9.938300265968978e-18
66,1.182536277632719e-17
67,1.3803435968140872e-17
68,1.585662789191409e-17
69,1.7965445653414452e-17
70,2.0200795069366643e-17
71,2.2489491527867507e-17
72,2.488447414442727e-17
73,2.7380603416688253e-17
74,2.993662311563287e-17
75,3.2658591151378605e-17
76,3.545021266120255e-17
77,3.835485151466184e-17
78,4.140326132717146e-17
79,4.452924869730563e-17
80,4.783057625417436e-17
81,5.1247070024049514e-17
82,5.4769121991373314e-17
83,5.850123645071808e-17
84,6.234429468688215e-17
85,6.637903681970152e-17
86,7.056592995148354e-17
87,7.490537557801376e-17
88,7.946610261529105e-17
89,8.413168313766261e-17
