,0
0,1.556581509822871e-10
1,1.6350571132671925e-10
2,1.7162068164949311e-10
3,1.8001628721893403e-10
4,1.8896598825756554e-10
5,1.982194711564379e-10
6,2.077945051989538e-10
7,2.1798718737539175e-10
8,2.2852470029161002e-10
9,2.394193202492597e-10
10,2.510118716258979e-10
11,2.6299550069527103e-10
12,2.753751019271427e-10
13,2.88530378728686e-10
14,3.021403700472681e-10
15,3.1619956894189853e-10
16,3.3108508910988815e-10
17,3.465313629901248e-10
18,3.62470566671972e-10
19,3.7931351987256215e-10
20,3.9679372033308905e-10
21,4.148314597170734e-10
22,4.338476846605465e-10
23,4.5360559583623966e-10
24,4.740086816140456e-10
25,4.955326750872338e-10
26,5.178576091105111e-10
27,5.408194882249505e-10
28,5.652052902759966e-10
29,5.902483079219045e-10
30,6.162870973794562e-10
31,6.436231005251523e-10
32,6.716912538023085e-10
33,7.011496802714194e-10
34,7.317660549029241e-10
35,7.631986114315617e-10
36,7.964499622138471e-10
37,8.307110128896428e-10
38,8.660399444961502e-10
39,9.033325023995136e-10
40,9.416397117127583e-10
41,9.813870774020857e-10
42,1.0230519450760987e-09
43,1.0658472203472116e-09
44,1.110472041077338e-09
45,1.1569817635371586e-09
46,1.204750892613999e-09
47,1.2547501467820934e-09
48,1.3068163050063133e-09
49,1.3600456721604002e-09
50,1.4164585316289063e-09
51,1.4740412706201016e-09
52,1.5341564408478846e-09
53,1.5965282734880592e-09
54,1.6604137542508243e-09
55,1.72790640987005e-09
56,1.796822316711935e-09
57,1.8687236985779534e-09
58,1.943318175511266e-09
59,2.019674862739309e-09
60,2.100270885183116e-09
61,2.182484956998212e-09
62,2.2683213305083937e-09
63,2.3571187467410687e-09
64,2.4481426285494516e-09
65,2.5439538284834785e-09
66,2.641704060790165e-09
67,2.7437104338193992e-09
68,2.849152038717073e-09
69,2.9571430183117754e-09
70,3.0707760401809517e-09
71,3.186763011721985e-09
72,3.3073915983122924e-09
73,3.4323477031187506e-09
74,3.5598792670123996e-09
75,3.6943457602949924e-09
76,3.831689913223056e-09
77,3.973677438274563e-09
78,4.121448634872643e-09
79,4.272341398999859e-09
80,4.430146822801685e-09
81,4.592429114134321e-09
82,4.7588194321378066e-09
83,4.9331861753127045e-09
84,5.111728164809998e-09
85,5.2974133751445854e-09
86,5.488674327236537e-09
87,5.685525672958333e-09
88,5.8903022110929524e-09
89,6.098873940625091e-09
90,6.318004109484827e-09
91,6.539884857107011e-09
92,6.773237099302839e-09
93,7.0106807280008486e-09
94,7.257525307455222e-09
95,7.511481490405113e-09
96,7.772462229604568e-09
97,8.043928162676237e-09
98,8.319713101723828e-09
99,8.60973527349531e-09
100,8.903735837784446e-09
101,9.210693328800277e-09
102,9.524783403089058e-09
103,9.84867133254189e-09
104,1.0184030778337417e-08
105,1.0525619361621722e-08
106,1.0883484186830697e-08
107,1.1246490497172908e-08
108,1.1625235528318438e-08
109,1.2012576031470247e-08
110,1.24114651072436e-08
111,1.2824528101048947e-08
112,1.3244444416694573e-08
113,1.3684681813091643e-08
114,1.41315419744663e-08
115,1.4595468443996052e-08
116,1.5073196954567792e-08
117,1.5563897096833415e-08
118,1.6070859555226504e-08
119,1.6589599736366484e-08
120,1.7127434826073456e-08
121,1.767552799847916e-08
122,1.824595389199437e-08
123,1.8824760770677263e-08
124,1.9429578092756706e-08
125,2.0040508349375414e-08
126,2.0681603209272965e-08
127,2.1327049593561473e-08
128,2.200546377425914e-08
129,2.268972936472382e-08
130,2.340473746726243e-08
131,2.412993265415703e-08
132,2.4883149594070614e-08
133,2.5651481889723918e-08
134,2.6444577650493176e-08
135,2.7258355051118093e-08
136,2.8093055970517814e-08
137,2.8954690386943444e-08
138,2.983278045882513e-08
139,3.074479121615933e-08
140,3.166811340761897e-08
141,3.2633130813892505e-08
142,3.360659034456157e-08
143,3.462435738157318e-08
144,3.565449360998113e-08
145,3.6723299101330595e-08
146,3.781303666644864e-08
147,3.893496927457534e-08
148,4.0088624911114174e-08
149,4.1268123144527384e-08
150,4.24860414507262e-08
151,4.372547501152457e-08
152,4.501092896514089e-08
153,4.631274120382869e-08
154,4.76691436556769e-08
155,4.903585310110961e-08
156,5.0466761106051157e-08
157,5.190835675929208e-08
158,5.341008223502859e-08
159,5.493112251856484e-08
160,5.65056393395721e-08
161,5.8110064147993976e-08
162,5.976020222859773e-08
163,6.145211224861137e-08
164,6.318078444742529e-08
165,6.496444584179867e-08
166,6.677464959314758e-08
167,6.865449875822036e-08
168,7.0550842864663e-08
169,7.252996611782617e-08
170,7.452879968889628e-08
171,7.659881090116098e-08
172,7.870942392209799e-08
173,8.08854158598896e-08
174,8.3098794584091e-08
175,8.538520963464376e-08
176,8.770607818530038e-08
177,9.010750340429801e-08
178,9.254078500047887e-08
179,9.50619553384436e-08
180,9.76127792183249e-08
181,1.002585807846561e-07
182,1.0293228929229269e-07
183,1.057077626527714e-07
184,1.0851084977014147e-07
185,1.1142653753362044e-07
186,1.1435796307890845e-07
187,1.17419634038305e-07
188,1.2048669232231256e-07
189,1.2369865143141736e-07
190,1.2691791158345363e-07
191,1.3027561126080649e-07
192,1.3365322183270877e-07
193,1.371629695809616e-07
194,1.4070526981276116e-07
195,1.4437362940513967e-07
196,1.4808715319830155e-07
197,1.5192280862874948e-07
198,1.5581697784362472e-07
199,1.5982209515449623e-07
200,1.639038744056901e-07
201,1.6808585484842138e-07
202,1.723624064668017e-07
203,1.7672895540707836e-07
204,1.8120764296802876e-07
205,1.8576677945110412e-07
206,1.9045517133058413e-07
207,1.952185477120043e-07
208,2.0013490841645706e-07
209,2.0509541317816606e-07
210,2.1024853410185317e-07
211,2.154144075112113e-07
212,2.2081332966118813e-07
213,2.262217517693079e-07
214,2.3184717415614305e-07
215,2.3751114140476385e-07
216,2.433685603520014e-07
217,2.4929764309736095e-07
218,2.553966108621403e-07
219,2.6160064291514854e-07
220,2.6795109451753836e-07
221,2.7444017767530604e-07
222,2.810524429599052e-07
223,2.878369515685168e-07
224,2.9472176745721694e-07
225,3.01812353005897e-07
226,3.089808759406514e-07
227,3.163884716869856e-07
228,3.2385229026131784e-07
229,3.315881158875234e-07
230,3.3935926366559157e-07
231,3.4743482996588785e-07
232,3.555257984879509e-07
233,3.6395291208676974e-07
234,3.72394854057572e-07
235,3.812178603036487e-07
236,3.900775234684529e-07
237,3.991856375945099e-07
238,4.084794525059985e-07
239,4.178817950109152e-07
240,4.2762667782422107e-07
241,4.3738870775976414e-07
242,4.4754610898009984e-07
243,4.577774426508106e-07
244,4.682655536492992e-07
245,4.789841392846402e-07
246,4.89814155235966e-07
247,5.010405487227353e-07
248,5.122866962018994e-07
249,5.239730769547696e-07
250,5.357470480081761e-07
251,5.478128730741482e-07
252,5.601343263632921e-07
253,5.725921057164048e-07
254,5.854812466096874e-07
255,5.983930672701553e-07
256,6.11821581911065e-07
257,6.253228880561203e-07
258,6.391901917684182e-07
259,6.533023509545301e-07
260,6.676230510031802e-07
261,6.823680100384588e-07
262,6.97157279209982e-07
263,7.125575749730074e-07
264,7.279849691380431e-07
265,7.439099410913532e-07
266,7.600170037485065e-07
267,7.764652199494454e-07
268,7.932757429718462e-07
269,8.102647703625078e-07
270,8.278031701657777e-07
271,8.453724305846293e-07
272,8.636425589322306e-07
273,8.819660734095767e-07
274,9.00838505293274e-07
275,9.199420191068694e-07
276,9.394369603635871e-07
277,9.593468793843717e-07
278,9.794868921747099e-07
279,1.0002367221392041e-06
280,1.0210324262308674e-06
281,1.0426495577425619e-06
282,1.0643047268170149e-06
283,1.0866366597371918e-06
284,1.1091887312227351e-06
285,1.1322508366894347e-06
286,1.1557285301818723e-06
287,1.1795464666100421e-06
288,1.2039791554805903e-06
289,1.2285795317191904e-06
290,1.2539972521081152e-06
291,1.2794596975860727e-06
292,1.305841113419622e-06
293,1.3323210856733396e-06
294,1.3595707166390886e-06
295,1.3870996597868347e-06
296,1.4152477587004486e-06
297,1.4438578081671902e-06
298,1.472935692425231e-06
299,1.5026596841826613e-06
300,1.5326997630349205e-06
301,1.563571242901002e-06
302,1.5946070449970167e-06
303,1.6266602779950151e-06
304,1.6587699119475975e-06
305,1.692128619628142e-06
306,1.725594957154164e-06
307,1.759849085153611e-06
308,1.7947161459235916e-06
309,1.8298928297816623e-06
310,1.8662056352786192e-06
311,1.902582336885175e-06
312,1.9401377484179083e-06
313,1.978008856026514e-06
314,2.0165890265223856e-06
315,2.0560016872399638e-06
316,2.0956382810778315e-06
317,2.136640684962637e-06
318,2.177715236786717e-06
319,2.220008040002344e-06
320,2.2627244652072254e-06
321,2.3061883329225574e-06
322,2.350597035756651e-06
323,2.3952893188148086e-06
324,2.4416199459390447e-06
325,2.4880320965581885e-06
326,2.5355376555364328e-06
327,2.5839401609352425e-06
328,2.632432547544804e-06
329,2.6828920830216315e-06
330,2.7334404072313354e-06
331,2.784974282326519e-06
332,2.8376517087220517e-06
333,2.890421826457126e-06
334,2.9451523173462115e-06
335,3.000125550745446e-06
336,3.05603536609351e-06
337,3.113283708385475e-06
338,3.1706327850125547e-06
339,3.2299938047360093e-06
340,3.289695875499674e-06
341,3.350356050076039e-06
342,3.412486792716893e-06
343,3.4747268607772844e-06
344,3.539110340982781e-06
345,3.603860998952616e-06
346,3.6696741825009246e-06
347,3.7370149441694565e-06
348,3.804474198820603e-06
349,3.874301181988623e-06
350,3.944436660805006e-06
351,4.015835212654213e-06
352,4.0887304254603404e-06
353,4.16175390487578e-06
354,4.2374760539223655e-06
355,4.313349769317005e-06
356,4.390797282845252e-06
357,4.469608909345172e-06
358,4.548821085828846e-06
359,4.630660368910173e-06
360,4.712643656610138e-06
361,4.796825821537611e-06
362,4.882221926947502e-06
363,4.967768295569836e-06
364,5.056654000790204e-06
365,5.145727249281072e-06
366,5.236092815911017e-06
367,5.328879877923717e-06
368,5.42183020829528e-06
369,5.517187991366996e-06
370,5.6140242207602715e-06
371,5.711030843437805e-06
372,5.811532816752314e-06
373,5.912558960378363e-06
374,6.014482062024051e-06
375,6.119657562709314e-06
376,6.2250181304822066e-06
377,6.332459156802511e-06
378,6.442109558153074e-06
379,6.551952900638017e-06
380,6.665175734314332e-06
381,6.7794523246898595e-06
382,6.8943603121712265e-06
383,7.013203702220619e-06
384,7.132256209411045e-06
385,7.253369152394287e-06
386,7.377132997629844e-06
387,7.501114618052042e-06
388,7.628730191563262e-06
389,7.75757093293424e-06
390,7.887222744399305e-06
391,8.021064879004702e-06
392,8.15514252258067e-06
393,8.291779469483205e-06
394,8.431012643298686e-06
395,8.570490812171155e-06
396,8.714440011683102e-06
397,8.859231223282872e-06
398,9.005621464501426e-06
399,9.155877037875153e-06
400,9.306397001348417e-06
401,9.460915459335256e-06
402,9.61748004265875e-06
403,9.774320117431828e-06
404,9.936501131103117e-06
405,1.0099581588046188e-05
406,1.0263664178734084e-05
407,1.0433380997621418e-05
408,1.0603396450665779e-05
409,1.0775342823373465e-05
410,1.0952206257342873e-05
411,1.1129380900671474e-05
412,1.130956875666854e-05
413,1.1493807646641519e-05
414,1.1678370723844832e-05
415,1.186719213826669e-05
416,1.2059040432353997e-05
417,1.2251226303198515e-05
418,1.2449088040128272e-05
419,1.2648784860705075e-05
420,1.2848833068326309e-05
421,1.3056156896971066e-05
422,1.3263946608166787e-05
423,1.3473572321880204e-05
424,1.3689324958584313e-05
425,1.3905457234187817e-05
426,1.4125209592902773e-05
427,1.4349544743978915e-05
428,1.45742746357685e-05
429,1.4804617790950268e-05
430,1.5037795497352574e-05
431,1.527138350385106e-05
432,1.5512797836914475e-05
433,1.5755083645842196e-05
434,1.599955524285093e-05
435,1.625077822464123e-05
436,1.6502443259040077e-05
437,1.6758753466715948e-05
438,1.701961548174671e-05
439,1.728093651025316e-05
440,1.7550093928391045e-05
441,1.7821474547780067e-05
442,1.8093332689207622e-05
443,1.8374507892478292e-05
444,1.865673246971994e-05
445,1.894029958030372e-05
446,1.9233185273405108e-05
447,1.952658632892708e-05
448,1.9822968047058324e-05
449,2.012734977763915e-05
450,2.0432267099096994e-05
451,2.0742035213669527e-05
452,2.1058259528010848e-05
453,2.137504027146935e-05
454,2.169878679095402e-05
455,2.2027207692715166e-05
456,2.2356206484739308e-05
457,2.2694646371009132e-05
458,2.3035751805630116e-05
459,2.3377457450249985e-05
460,2.3730918388239638e-05
461,2.4085076860403005e-05
462,2.4442059826246314e-05
463,2.480900153271315e-05
464,2.5176588910747693e-05
465,2.5549601785034855e-05
466,2.5930331454798806e-05
467,2.6311731057465113e-05
468,2.6701473537368233e-05
469,2.7096381340442625e-05
470,2.749198402429808e-05
471,2.7899178769376962e-05
472,2.830866248811097e-05
473,2.8720540230490475e-05
474,2.9144259769945586e-05
475,2.956872488738513e-05
476,2.999921084044967e-05
477,3.0438298010378475e-05
478,3.087815779921248e-05
479,3.1328039513192295e-05
480,3.178291472570347e-05
481,3.223859033779872e-05
482,3.2709183970481706e-05
483,3.3180787052972224e-05
484,3.3656204079382934e-05
485,3.4144146123183374e-05
486,3.463294675104655e-05
487,3.512912414515256e-05
488,3.5634711605483216e-05
489,3.6141188698795235e-05
490,3.665899139049625e-05
491,3.718271168668986e-05
492,3.770735352244754e-05
493,3.824767398154556e-05
494,3.879002398652502e-05
495,3.9336587142189005e-05
496,3.9897087039612755e-05
497,4.045857319407795e-05
498,4.102914148958581e-05
499,4.160939558854262e-05
500,4.2190670704082646e-05
501,4.278595734332755e-05
502,4.338649702003748e-05
