,0
0,5.5038060129394006e-89
1,5.5038059909758214e-89
2,5.50380596897359e-89
3,5.5038059469326384e-89
4,5.5038059248529035e-89
5,5.503805902734313e-89
6,5.5038058805768005e-89
7,5.503805858380298e-89
8,5.5038058361447325e-89
9,5.5038058138700416e-89
10,5.5038057915561526e-89
11,5.5038057692029964e-89
12,5.503805746810505e-89
13,5.503805724378609e-89
14,5.503805701907238e-89
15,5.5038056793963235e-89
16,5.503805656845798e-89
17,5.503805634255587e-89
18,5.503805611625625e-89
19,5.503805588955841e-89
20,5.503805566246163e-89
21,5.503805543496522e-89
22,5.503805520706848e-89
23,5.50380549787707e-89
24,5.50380547500712e-89
25,5.5038054520969236e-89
26,5.503805429146409e-89
27,5.503805406155511e-89
28,5.503805383124154e-89
29,5.503805360052269e-89
30,5.503805336939784e-89
31,5.503805313786626e-89
32,5.503805290592724e-89
33,5.503805267358009e-89
34,5.5038052440824054e-89
35,5.5038052207658456e-89
36,5.503805197408252e-89
37,5.5038051740095584e-89
38,5.5038051505696865e-89
39,5.503805127088568e-89
40,5.50380510356613e-89
41,5.503805080002299e-89
42,5.503805056396999e-89
43,5.503805032750164e-89
44,5.503805009061714e-89
45,5.50380498533158e-89
46,5.503804961559687e-89
47,5.5038049377459624e-89
48,5.5038049138903324e-89
49,5.503804889992722e-89
50,5.5038048660530584e-89
51,5.503804842071268e-89
52,5.5038048180472754e-89
53,5.5038047939810076e-89
54,5.503804769872391e-89
55,5.503804745721347e-89
56,5.503804721527807e-89
57,5.50380469729169e-89
58,5.503804673012926e-89
59,5.503804648691437e-89
60,5.50380462432715e-89
61,5.5038045999199865e-89
62,5.503804575469874e-89
63,5.5038045509767356e-89
64,5.503804526440495e-89
65,5.503804501861079e-89
66,5.5038044772384095e-89
67,5.503804452572411e-89
68,5.503804427863007e-89
69,5.50380440311012e-89
70,5.503804378313677e-89
71,5.503804353473596e-89
72,5.5038043285898046e-89
73,5.5038043036622256e-89
74,5.50380427869078e-89
75,5.50380425367539e-89
76,5.503804228615981e-89
77,5.503804203512475e-89
78,5.5038041783647924e-89
79,5.503804153172857e-89
80,5.5038041279365905e-89
81,5.503804102655916e-89
82,5.503804077330753e-89
83,5.503804051961024e-89
84,5.5038040265466536e-89
85,5.50380400108756e-89
86,5.5038039755836656e-89
87,5.5038039500348906e-89
88,5.5038039244411566e-89
89,5.5038038988023847e-89
90,5.503803873118494e-89
91,5.503803847389408e-89
92,5.5038038216150474e-89
93,5.503803795795328e-89
94,5.503803769930175e-89
95,5.503803744019506e-89
96,5.503803718063241e-89
97,5.5038036920613005e-89
98,5.503803666013602e-89
99,5.503803639920068e-89
100,5.503803613780616e-89
101,5.503803587595167e-89
102,5.503803561363636e-89
103,5.5038035350859466e-89
104,5.503803508762015e-89
105,5.503803482391761e-89
106,5.503803455975101e-89
107,5.503803429511959e-89
108,5.503803403002245e-89
109,5.503803376445882e-89
110,5.503803349842788e-89
111,5.503803323192878e-89
112,5.5038032964960734e-89
113,5.503803269752288e-89
114,5.503803242961441e-89
115,5.50380321612345e-89
116,5.50380318923823e-89
117,5.503803162305701e-89
118,5.5038031353257787e-89
119,5.503803108298378e-89
120,5.5038030812234165e-89
121,5.5038030541008105e-89
122,5.503803026930476e-89
123,5.503802999712328e-89
124,5.5038029724462845e-89
125,5.5038029451322596e-89
126,5.503802917770172e-89
127,5.503802890359932e-89
128,5.5038028629014576e-89
129,5.5038028353946645e-89
130,5.503802807839467e-89
131,5.503802780235778e-89
132,5.5038027525835174e-89
133,5.5038027248825936e-89
134,5.503802697132924e-89
135,5.5038026693344235e-89
136,5.503802641487005e-89
137,5.503802613590581e-89
138,5.5038025856450695e-89
139,5.5038025576503804e-89
140,5.5038025296064285e-89
141,5.503802501513126e-89
142,5.503802473370388e-89
143,5.503802445178125e-89
144,5.503802416936252e-89
145,5.5038023886446824e-89
146,5.503802360303325e-89
147,5.503802331912096e-89
148,5.503802303470905e-89
149,5.503802274979665e-89
150,5.5038022464382904e-89
151,5.50380221784669e-89
152,5.503802189204775e-89
153,5.503802160512458e-89
154,5.5038021317696515e-89
155,5.503802102976266e-89
156,5.50380207413221e-89
157,5.503802045237398e-89
158,5.503802016291739e-89
159,5.5038019872951404e-89
160,5.5038019582475194e-89
161,5.503801929148782e-89
162,5.503801899998836e-89
163,5.503801870797596e-89
164,5.5038018415449705e-89
165,5.503801812240868e-89
166,5.503801782885198e-89
167,5.50380175347787e-89
168,5.5038017240187926e-89
169,5.5038016945078746e-89
170,5.503801664945027e-89
171,5.5038016353301566e-89
172,5.503801605663171e-89
173,5.5038015759439815e-89
174,5.503801546172492e-89
175,5.503801516348615e-89
176,5.503801486472255e-89
177,5.5038014565433196e-89
178,5.503801426561718e-89
179,5.5038013965273594e-89
180,5.503801366440146e-89
181,5.5038013362999884e-89
182,5.503801306106791e-89
183,5.503801275860463e-89
184,5.503801245560909e-89
185,5.5038012152080366e-89
186,5.50380118480175e-89
187,5.503801154341959e-89
188,5.5038011238285666e-89
189,5.503801093261478e-89
190,5.503801062640599e-89
191,5.503801031965836e-89
192,5.503801001237096e-89
193,5.503800970454279e-89
194,5.503800939617293e-89
195,5.5038009087260434e-89
196,5.5038008777804334e-89
197,5.5038008467803655e-89
198,5.50380081572575e-89
199,5.503800784616484e-89
200,5.5038007534524746e-89
201,5.503800722233626e-89
202,5.50380069095984e-89
203,5.5038006596310194e-89
204,5.503800628247072e-89
205,5.5038005968078936e-89
206,5.5038005653133916e-89
207,5.503800533763471e-89
208,5.503800502158027e-89
