,0
0,5.103460777245501e-89
1,5.103460757841907e-89
2,5.10346073840417e-89
3,5.103460718932225e-89
4,5.103460699426017e-89
5,5.103460679885481e-89
6,5.103460660310562e-89
7,5.103460640701195e-89
8,5.1034606210573204e-89
9,5.103460601378879e-89
10,5.103460581665807e-89
11,5.1034605619180485e-89
12,5.103460542135537e-89
13,5.103460522318212e-89
14,5.103460502466016e-89
15,5.103460482578887e-89
16,5.103460462656761e-89
17,5.103460442699576e-89
18,5.103460422707271e-89
19,5.103460402679789e-89
20,5.1034603826170604e-89
21,5.103460362519027e-89
22,5.103460342385629e-89
23,5.1034603222168e-89
24,5.103460302012481e-89
25,5.103460281772604e-89
26,5.103460261497113e-89
27,5.103460241185942e-89
28,5.1034602208390296e-89
29,5.1034602004563135e-89
30,5.103460180037727e-89
31,5.103460159583209e-89
32,5.103460139092697e-89
33,5.103460118566128e-89
34,5.1034600980034374e-89
35,5.103460077404563e-89
36,5.1034600567694396e-89
37,5.103460036098002e-89
38,5.1034600153901916e-89
39,5.1034599946459395e-89
40,5.103459973865183e-89
41,5.103459953047857e-89
42,5.1034599321939e-89
43,5.1034599113032454e-89
44,5.103459890375828e-89
45,5.1034598694115834e-89
46,5.103459848410449e-89
47,5.103459827372358e-89
48,5.103459806297245e-89
49,5.103459785185046e-89
50,5.103459764035696e-89
51,5.103459742849128e-89
52,5.103459721625277e-89
53,5.1034597003640775e-89
54,5.103459679065466e-89
55,5.103459657729372e-89
56,5.103459636355735e-89
57,5.1034596149444845e-89
58,5.1034595934955566e-89
59,5.103459572008884e-89
60,5.1034595504844004e-89
61,5.10345952892204e-89
62,5.103459507321735e-89
63,5.103459485683421e-89
64,5.103459464007027e-89
65,5.103459442292492e-89
66,5.1034594205397426e-89
67,5.1034593987487145e-89
68,5.10345937691934e-89
69,5.103459355051553e-89
70,5.1034593331452845e-89
71,5.1034593112004644e-89
72,5.1034592892170295e-89
73,5.1034592671949106e-89
74,5.1034592451340366e-89
75,5.103459223034343e-89
76,5.1034592008957595e-89
77,5.103459178718218e-89
78,5.10345915650165e-89
79,5.103459134245986e-89
80,5.1034591119511596e-89
81,5.103459089617099e-89
82,5.103459067243737e-89
83,5.103459044831004e-89
84,5.103459022378831e-89
85,5.10345899988715e-89
86,5.103458977355887e-89
87,5.1034589547849756e-89
88,5.103458932174346e-89
89,5.103458909523928e-89
90,5.10345888683365e-89
91,5.103458864103444e-89
92,5.10345884133324e-89
93,5.103458818522965e-89
94,5.103458795672552e-89
95,5.103458772781928e-89
96,5.103458749851022e-89
97,5.103458726879764e-89
98,5.1034587038680824e-89
99,5.103458680815907e-89
100,5.103458657723166e-89
101,5.103458634589788e-89
102,5.103458611415702e-89
103,5.1034585882008356e-89
104,5.103458564945116e-89
105,5.103458541648475e-89
106,5.103458518310836e-89
107,5.103458494932131e-89
108,5.1034584715122845e-89
109,5.1034584480512266e-89
110,5.103458424548883e-89
111,5.1034584010051805e-89
112,5.10345837742005e-89
113,5.103458353793414e-89
114,5.103458330125202e-89
115,5.1034583064153404e-89
116,5.103458282663757e-89
117,5.103458258870375e-89
118,5.103458235035125e-89
119,5.103458211157932e-89
120,5.103458187238719e-89
121,5.103458163277417e-89
122,5.103458139273949e-89
123,5.103458115228241e-89
124,5.103458091140219e-89
125,5.103458067009808e-89
126,5.1034580428369354e-89
127,5.103458018621526e-89
128,5.1034579943635015e-89
129,5.103457970062791e-89
130,5.103457945719318e-89
131,5.103457921333006e-89
132,5.10345789690378e-89
133,5.103457872431567e-89
134,5.103457847916289e-89
135,5.103457823357872e-89
136,5.103457798756238e-89
137,5.1034577741113094e-89
138,5.103457749423017e-89
139,5.1034577246912756e-89
140,5.103457699916016e-89
141,5.103457675097158e-89
142,5.103457650234624e-89
143,5.10345762532834e-89
144,5.1034576003782264e-89
145,5.103457575384211e-89
146,5.103457550346209e-89
147,5.1034575252641485e-89
148,5.10345750013795e-89
149,5.103457474967537e-89
150,5.103457449752831e-89
151,5.103457424493752e-89
152,5.1034573991902255e-89
153,5.1034573738421716e-89
154,5.103457348449512e-89
155,5.103457323012169e-89
156,5.103457297530061e-89
157,5.103457272003114e-89
158,5.103457246431245e-89
159,5.1034572208143756e-89
160,5.1034571951524286e-89
161,5.103457169445325e-89
162,5.103457143692981e-89
163,5.1034571178953205e-89
164,5.103457092052265e-89
165,5.1034570661637314e-89
166,5.103457040229642e-89
167,5.1034570142499145e-89
168,5.10345698822447e-89
169,5.103456962153227e-89
170,5.103456936036107e-89
171,5.103456909873027e-89
172,5.103456883663908e-89
173,5.103456857408669e-89
174,5.103456831107226e-89
175,5.1034568047595e-89
176,5.1034567783654096e-89
177,5.103456751924873e-89
178,5.1034567254378074e-89
179,5.103456698904133e-89
180,5.103456672323766e-89
181,5.103456645696624e-89
182,5.103456619022627e-89
183,5.1034565923016894e-89
184,5.1034565655337304e-89
185,5.1034565387186686e-89
186,5.103456511856418e-89
187,5.103456484946897e-89
188,5.103456457990025e-89
189,5.103456430985713e-89
190,5.103456403933883e-89
191,5.103456376834449e-89
192,5.103456349687328e-89
193,5.103456322492433e-89
194,5.103456295249685e-89
195,5.103456267958993e-89
196,5.103456240620283e-89
197,5.103456213233459e-89
198,5.103456185798445e-89
199,5.10345615831515e-89
200,5.103456130783494e-89
201,5.10345610320339e-89
202,5.103456075574751e-89
203,5.103456047897493e-89
204,5.103456020171533e-89
205,5.10345599239678e-89
206,5.103455964573153e-89
207,5.103455936700563e-89
208,5.1034559087789245e-89
209,5.103455880808153e-89
210,5.10345585278816e-89
211,5.103455824718858e-89
212,5.103455796600162e-89
213,5.1034557684319855e-89
214,5.103455740214242e-89
215,5.103455711946842e-89
216,5.103455683629698e-89
217,5.103455655262725e-89
218,5.103455626845833e-89
219,5.103455598378935e-89
220,5.103455569861943e-89
221,5.103455541294769e-89
222,5.1034555126773235e-89
223,5.10345548400952e-89
224,5.10345545529127e-89
225,5.103455426522484e-89
226,5.103455397703071e-89
