,0
0,1.7920497242295734e-96
1,1.7920497240479154e-96
2,1.7920497238659378e-96
3,1.792049723683639e-96
4,1.7920497235010202e-96
5,1.7920497233180797e-96
6,1.7920497231348178e-96
7,1.7920497229512324e-96
8,1.7920497227673249e-96
9,1.7920497225830937e-96
10,1.792049722398538e-96
11,1.7920497222136579e-96
12,1.7920497220284518e-96
13,1.79204972184292e-96
14,1.792049721657062e-96
15,1.7920497214708767e-96
16,1.792049721284364e-96
17,1.7920497210975229e-96
18,1.7920497209103527e-96
19,1.7920497207228536e-96
20,1.7920497205350246e-96
21,1.7920497203468645e-96
22,1.7920497201583741e-96
23,1.792049719969551e-96
24,1.7920497197803968e-96
25,1.7920497195909089e-96
26,1.7920497194010879e-96
27,1.7920497192109325e-96
28,1.792049719020443e-96
29,1.7920497188296179e-96
30,1.7920497186384575e-96
31,1.7920497184469604e-96
32,1.792049718255126e-96
33,1.7920497180629545e-96
34,1.7920497178704444e-96
35,1.7920497176775957e-96
36,1.7920497174844078e-96
37,1.79204971729088e-96
38,1.7920497170970116e-96
39,1.7920497169028014e-96
40,1.7920497167082501e-96
41,1.7920497165133565e-96
42,1.7920497163181197e-96
43,1.7920497161225392e-96
44,1.7920497159266147e-96
45,1.7920497157303454e-96
46,1.792049715533731e-96
47,1.7920497153367702e-96
48,1.792049715139463e-96
49,1.7920497149418084e-96
50,1.792049714743806e-96
51,1.7920497145454554e-96
52,1.7920497143467556e-96
53,1.7920497141477064e-96
54,1.7920497139483067e-96
55,1.7920497137485555e-96
56,1.792049713548454e-96
57,1.7920497133479996e-96
58,1.7920497131471931e-96
59,1.7920497129460326e-96
60,1.7920497127445184e-96
61,1.7920497125426495e-96
62,1.792049712340425e-96
63,1.7920497121378452e-96
64,1.7920497119349083e-96
65,1.7920497117316153e-96
66,1.7920497115279634e-96
67,1.792049711323954e-96
68,1.7920497111195849e-96
69,1.7920497109148564e-96
70,1.792049710709768e-96
71,1.7920497105043184e-96
72,1.7920497102985074e-96
73,1.7920497100923342e-96
74,1.7920497098857982e-96
75,1.7920497096788988e-96
76,1.7920497094716353e-96
77,1.792049709264007e-96
78,1.7920497090560133e-96
79,1.7920497088476535e-96
80,1.792049708638927e-96
81,1.7920497084298337e-96
82,1.7920497082203716e-96
83,1.7920497080105413e-96
84,1.792049707800342e-96
85,1.7920497075897728e-96
86,1.7920497073788326e-96
87,1.7920497071675218e-96
88,1.7920497069558388e-96
89,1.7920497067437837e-96
90,1.7920497065313548e-96
91,1.7920497063185522e-96
92,1.7920497061053754e-96
93,1.7920497058918233e-96
94,1.7920497056778956e-96
95,1.7920497054635917e-96
96,1.7920497052489097e-96
97,1.7920497050338507e-96
98,1.792049704818413e-96
99,1.7920497046025965e-96
100,1.7920497043863994e-96
101,1.792049704169823e-96
102,1.7920497039528649e-96
103,1.7920497037355251e-96
104,1.7920497035178026e-96
105,1.7920497032996971e-96
106,1.7920497030812075e-96
107,1.7920497028623342e-96
108,1.7920497026430752e-96
109,1.7920497024234304e-96
110,1.792049702203399e-96
111,1.7920497019829806e-96
112,1.7920497017621745e-96
113,1.792049701540979e-96
114,1.792049701319395e-96
115,1.7920497010974213e-96
116,1.7920497008750564e-96
117,1.7920497006523006e-96
118,1.7920497004291523e-96
119,1.792049700205612e-96
120,1.7920496999816782e-96
121,1.7920496997573498e-96
122,1.7920496995326268e-96
123,1.7920496993075086e-96
124,1.7920496990819937e-96
125,1.7920496988560826e-96
126,1.7920496986297732e-96
127,1.7920496984030668e-96
128,1.7920496981759606e-96
129,1.7920496979484552e-96
130,1.7920496977205491e-96
131,1.7920496974922416e-96
132,1.792049697263533e-96
133,1.7920496970344217e-96
134,1.792049696804907e-96
135,1.7920496965749889e-96
136,1.792049696344666e-96
137,1.7920496961139373e-96
138,1.7920496958828037e-96
139,1.792049695651262e-96
140,1.7920496954193135e-96
141,1.7920496951869572e-96
142,1.7920496949541915e-96
143,1.7920496947210166e-96
144,1.792049694487431e-96
145,1.7920496942534346e-96
146,1.792049694019026e-96
147,1.7920496937842056e-96
148,1.7920496935489714e-96
149,1.7920496933133235e-96
150,1.7920496930772608e-96
151,1.7920496928407829e-96
152,1.7920496926038883e-96
153,1.7920496923665775e-96
