,0
0,3.9348599587417635e-93
1,3.934859958368511e-93
2,3.9348599579946005e-93
3,3.934859957620031e-93
4,3.9348599572448044e-93
5,3.934859956868915e-93
6,3.934859956492366e-93
7,3.934859956115155e-93
8,3.934859955737279e-93
9,3.9348599553587386e-93
10,3.934859954979532e-93
11,3.934859954599658e-93
12,3.934859954219114e-93
13,3.934859953837903e-93
14,3.934859953456019e-93
15,3.934859953073465e-93
16,3.934859952690237e-93
17,3.934859952306334e-93
18,3.934859951921756e-93
19,3.934859951536501e-93
20,3.934859951150567e-93
21,3.934859950763955e-93
22,3.934859950376663e-93
23,3.934859949988689e-93
24,3.934859949600033e-93
25,3.934859949210692e-93
26,3.934859948820666e-93
27,3.934859948429954e-93
28,3.934859948038555e-93
29,3.934859947646466e-93
30,3.934859947253688e-93
31,3.934859946860219e-93
32,3.934859946466057e-93
33,3.934859946071202e-93
34,3.934859945675651e-93
35,3.934859945279404e-93
36,3.93485994488246e-93
37,3.934859944484819e-93
38,3.9348599440864754e-93
39,3.934859943687434e-93
40,3.934859943287689e-93
41,3.934859942887239e-93
42,3.934859942486087e-93
43,3.934859942084227e-93
44,3.934859941681661e-93
45,3.934859941278386e-93
46,3.934859940874402e-93
47,3.934859940469706e-93
48,3.934859940064299e-93
49,3.934859939658177e-93
50,3.9348599392513415e-93
51,3.93485993884379e-93
52,3.9348599384355215e-93
53,3.934859938026536e-93
54,3.934859937616827e-93
55,3.934859937206399e-93
56,3.93485993679525e-93
57,3.9348599363833764e-93
58,3.9348599359707776e-93
59,3.934859935557453e-93
60,3.934859935143401e-93
61,3.934859934728621e-93
62,3.934859934313111e-93
63,3.934859933896868e-93
64,3.934859933479896e-93
65,3.934859933062188e-93
66,3.934859932643744e-93
67,3.934859932224567e-93
68,3.934859931804649e-93
69,3.934859931383994e-93
70,3.934859930962597e-93
71,3.93485993054046e-93
72,3.934859930117579e-93
73,3.9348599296939555e-93
74,3.934859929269586e-93
75,1.3114274664150212e-16
76,6.251238396847853e-16
77,2.251803282789715e-15
78,6.717963793255675e-15
79,1.7491279917757962e-14
80,4.100317340421877e-14
81,8.842005463091784e-14
82,1.7808443152994603e-13
83,3.3830231675156017e-13
84,6.122627558586369e-13
85,1.062016958666036e-12
86,1.7750768645024095e-12
87,2.8701126574893657e-12
88,4.506865026513416e-12
89,6.893816260657676e-12
90,1.0304991570026933e-11
91,1.509017696855498e-11
92,2.167640256800512e-11
93,3.057117623529289e-11
94,4.245889656355368e-11
95,5.809777313363567e-11
96,7.845021063909374e-11
97,1.04605967707923e-10
98,1.3784563048084223e-10
99,1.798093147822405e-10
100,2.3213423358205284e-10
101,2.970723025276451e-10
102,3.7686239090860034e-10
103,4.741463846300456e-10
104,5.921579173511153e-10
105,7.343610988850996e-10
106,9.04239404532165e-10
107,1.1067480737804354e-09
108,1.3465563352573893e-09
109,1.628866573344832e-09
110,1.9606251050848916e-09
111,2.347204787563945e-09
112,2.798900423575034e-09
113,3.3218327774579634e-09
114,3.925044474181967e-09
115,4.61907332237827e-09
116,5.416074683076728e-09
117,6.326986775840604e-09
118,7.365334839371498e-09
119,8.546016603033784e-09
120,9.885090760602515e-09
121,1.1396636199756823e-08
122,1.3105150469306304e-08
123,1.5026034438535843e-08
124,1.7178389017177277e-08
125,1.9597152188286483e-08
126,2.2290923253815563e-08
127,2.5306073765469933e-08
