,0
0,1.6283778467237284e-89
1,1.62837784059925e-89
2,1.628377834463994e-89
3,1.6283778283179417e-89
4,1.6283778221610738e-89
5,1.6283778159933715e-89
6,1.628377809814816e-89
7,1.6283778036253874e-89
8,1.6283777974250676e-89
9,1.628377791213837e-89
10,1.6283777849916757e-89
11,1.6283777787585655e-89
12,1.6283777725144865e-89
13,1.62837776625942e-89
14,1.628377759993346e-89
15,1.6283777537162454e-89
16,1.6283777474280986e-89
17,1.6283777411288868e-89
18,1.6283777348185897e-89
19,1.6283777284971886e-89
20,1.628377722164663e-89
21,1.628377715820994e-89
22,1.628377709466162e-89
23,1.6283777031001476e-89
24,1.6283776967229302e-89
25,1.6283776903344912e-89
26,1.6283776839348096e-89
27,1.6283776775238663e-89
28,1.6283776711016424e-89
29,1.6283776646681163e-89
30,1.6283776582232692e-89
31,1.628377651767081e-89
32,1.6283776452995316e-89
33,1.6283776388206006e-89
34,1.6283776323302687e-89
35,1.6283776258285157e-89
36,1.6283776193153216e-89
37,1.628377612790666e-89
38,1.628377606254528e-89
39,1.628377599706889e-89
40,1.628377593147728e-89
41,1.6283775865770237e-89
42,1.6283775799947575e-89
43,1.6283775734009084e-89
44,1.6283775667954556e-89
45,1.628377560178379e-89
46,1.6283775535496584e-89
47,1.6283775469092727e-89
48,1.628377540257202e-89
49,1.6283775335934253e-89
50,1.628377526917922e-89
51,1.6283775202306718e-89
52,1.6283775135316537e-89
53,1.6283775068208474e-89
54,1.628377500098232e-89
55,1.6283774933637862e-89
56,1.6283774866174898e-89
57,1.628377479859322e-89
58,1.628377473089261e-89
59,1.6283774663072875e-89
60,1.628377459513379e-89
61,1.6283774527075147e-89
62,1.6283774458896745e-89
63,1.6283774390598365e-89
64,1.62837743221798e-89
65,1.628377425364084e-89
66,1.6283774184981257e-89
67,1.6283774116200868e-89
68,1.6283774047299437e-89
69,1.6283773978276756e-89
70,1.6283773909132615e-89
71,1.6283773839866797e-89
72,1.628377377047909e-89
73,1.628377370096929e-89
74,1.628377363133716e-89
75,1.6283773561582505e-89
76,1.6283773491705094e-89
77,1.6283773421704717e-89
78,1.628377335158116e-89
79,1.6283773281334205e-89
80,1.6283773210963633e-89
81,1.6283773140469234e-89
82,1.628377306985078e-89
83,1.6283772999108053e-89
84,1.628377292824084e-89
85,1.6283772857248926e-89
86,1.628377278613208e-89
87,1.6283772714890087e-89
88,1.628377264352273e-89
89,1.6283772572029785e-89
90,1.6283772500411032e-89
91,1.628377242866625e-89
92,1.6283772356795214e-89
93,1.6283772284797706e-89
94,1.6283772212673503e-89
95,3.615897550658827e-13
96,5.371971114256579e-13
97,7.885381647291855e-13
98,1.1454146147976189e-12
99,1.6499689961926776e-12
100,2.3542753351304245e-12
101,3.335363580869688e-12
102,4.687854917521647e-12
103,6.5374139461578825e-12
104,9.05738890532872e-12
105,1.2466603328805271e-11
106,1.7029310107698312e-11
107,2.313069344780793e-11
108,3.122139232979147e-11
109,4.186571012748002e-11
110,5.585889588327979e-11
111,7.401950222144584e-11
112,9.77197494406493e-11
113,1.2822989637084781e-10
114,1.6730941266713537e-10
115,2.1718094977596934e-10
116,2.806414382619523e-10
117,3.608352091481422e-10
118,4.6177135104720685e-10
119,5.883300295524588e-10
120,7.463109963268568e-10
121,9.419518637672688e-10
122,1.1850007292664813e-09
123,1.4842509473978341e-09
124,1.8503629096267568e-09
125,2.300885114914784e-09
126,2.846542483380411e-09
127,3.513472140831534e-09
128,4.316228522204728e-09
129,5.291177065438122e-09
130,6.456547865395656e-09
131,7.861765356344042e-09
132,9.536843403120012e-09
133,1.1537332928551713e-08
134,1.3922345857889515e-08
135,1.674797396916311e-08
136,2.0089910880002554e-08
137,2.402903985512914e-08
138,2.8670730566887844e-08
139,3.413210162228215e-08
140,4.053049251196922e-08
141,4.8006749780038554e-08
142,5.67249884225434e-08
143,6.68748457409798e-08
144,7.866545606935079e-08
145,9.232932709554205e-08
146,1.0814300596322397e-07
147,1.2640407371662846e-07
148,1.4744245074861544e-07
149,1.7164868210887077e-07
150,1.9945022377378357e-07
151,2.3127052300906508e-07
152,2.6797167959223203e-07
153,3.0980140988442914e-07
154,3.572969412843933e-07
155,4.115468932828379e-07
156,4.7335294541490705e-07
157,5.432041419002232e-07
158,6.223417206492516e-07
159,7.123482754620036e-07
160,8.136852538297884e-07
161,9.275859017273357e-07
162,1.0569085864192659e-06
163,1.2020644419847982e-06
164,1.3646438193959081e-06
165,1.547602756663936e-06
166,1.7532231000191145e-06
167,1.9822290607744734e-06
168,2.2388577863191987e-06
169,2.5258548456904015e-06
170,2.8445967746273717e-06
171,3.201119131756892e-06
172,3.5975529823230287e-06
173,4.03590242602332e-06
174,4.5267352066899314e-06
175,5.066478393111392e-06
176,5.668909757313144e-06
177,6.330642322685788e-06
178,7.065517705555568e-06
179,7.873541245178263e-06
180,8.765898818205839e-06
181,9.748513991838843e-06
182,1.0829592096615826e-05
183,1.2020225147209394e-05
184,1.332819160519764e-05
185,1.4756384859987145e-05
186,1.6332538568425583e-05
187,1.8044307809950226e-05
188,1.993355044179869e-05
189,2.1994026943426826e-05
190,2.4231314109019403e-05
191,2.6683694748470442e-05
192,2.935622241592275e-05
193,3.2250466711247e-05
194,3.5411562783069763e-05
195,3.884945906160449e-05
196,4.258404254757869e-05
197,4.6626384023565176e-05
198,5.102101678143538e-05
199,5.579346408805086e-05
200,6.094902351833652e-05
201,6.651359329907924e-05
202,7.251440123853744e-05
203,7.898007049464099e-05
204,8.598625709842061e-05
205,9.35475863744172e-05
206,0.00010167980008742562
207,0.00011041755900308694
208,0.00011979844092398343
209,0.0001298618017509373
210,0.00014073577342671722
211,0.00015239608777544076
212,0.00016487965549086104
213,0.0001782343616563703
214,0.00019251023877254103
215,0.00020779977833066752
216,0.0002242234803582688
217,0.00024174944273072915
218,0.0002604383464039459
219,0.00028035336980905063
220,0.00030156027266079507
221,0.00032426230404755435
222,0.0003484639884466022
223,0.0003741903779382259
224,0.00040151940796194637
225,0.00043053202065977697
226,0.00046142340843381707
227,0.0004943291718251294
228,0.0005292043856258285
