,0
0,2.6250171317753543e-88
1,2.6250170871916745e-88
2,2.625017042529538e-88
3,2.625016997788805e-88
4,2.62501695296934e-88
5,2.625016908071003e-88
6,2.625016863093655e-88
7,2.625016818037157e-88
8,2.62501677290137e-88
9,2.625016727686154e-88
10,2.62501668239137e-88
11,2.6250166370168773e-88
12,2.625016591562536e-88
13,2.625016546028206e-88
14,2.625016500413745e-88
15,2.6250164547190127e-88
16,2.6250164089438695e-88
17,2.625016363088172e-88
18,2.625016317151778e-88
19,2.6250162711345484e-88
20,2.625016225036338e-88
21,2.625016178857005e-88
22,2.6250161325964075e-88
23,2.625016086254402e-88
24,2.6250160398308454e-88
25,2.6250159933255934e-88
26,2.625015946738503e-88
27,2.62501590006943e-88
28,2.62501585331823e-88
29,2.625015806484759e-88
30,2.6250157595688715e-88
31,2.625015712570423e-88
32,2.625015665489268e-88
33,2.625015618325261e-88
34,2.625015571078256e-88
35,2.625015523748108e-88
36,2.625015476334669e-88
37,2.6250154288377926e-88
38,2.625015381257334e-88
39,2.625015333593144e-88
40,2.625015285845076e-88
41,2.625015238012982e-88
42,2.625015190096716e-88
43,2.625015142096127e-88
44,2.6250150940110685e-88
45,2.625015045841391e-88
46,2.6250149975869466e-88
47,2.625014949247585e-88
48,2.625014900823157e-88
49,2.6250148523135137e-88
50,2.6250148037185045e-88
51,2.6250147550379795e-88
52,2.6250147062717873e-88
53,2.625014657419779e-88
54,2.625014608481801e-88
55,2.625014559457704e-88
56,2.6250145103473364e-88
57,2.6250144611505455e-88
58,2.62501441186718e-88
59,2.6250143624970865e-88
60,2.6250143130401125e-88
61,2.625014263496107e-88
62,2.625014213864914e-88
63,2.625014164146383e-88
64,2.6250141143403587e-88
65,2.6250140644466865e-88
66,2.6250140144652135e-88
67,2.625013964395784e-88
68,2.625013914238244e-88
69,2.625013863992439e-88
70,2.6250138136582124e-88
71,2.6250137632354096e-88
72,2.6250137127238745e-88
73,2.6250136621234505e-88
74,2.6250136114339806e-88
75,2.62501356065531e-88
76,2.625013509787281e-88
77,2.625013458829734e-88
78,2.625013407782516e-88
79,2.6250133566454647e-88
80,2.6250133054184257e-88
81,2.6250132541012386e-88
82,2.6250132026937443e-88
83,2.6250131511957844e-88
84,2.625013099607201e-88
85,2.6250130479278335e-88
86,2.625012996157522e-88
87,2.625012944296107e-88
88,2.625012892343428e-88
89,2.625012840299324e-88
90,2.6250127881636346e-88
91,2.6250127359361987e-88
92,2.6250126836168544e-88
93,2.6250126312054394e-88
94,2.6250125787017934e-88
95,2.625012526105753e-88
96,2.6250124734171557e-88
97,2.6250124206358386e-88
98,2.625012367761639e-88
99,2.6250123147943924e-88
100,2.625012261733936e-88
101,2.625012208580106e-88
102,2.625012155332737e-88
103,2.6250121019916655e-88
104,2.6250120485567254e-88
105,2.625011995027753e-88
106,2.6250119414045813e-88
107,2.6250118876870453e-88
108,2.62501183387498e-88
109,2.6250117799682173e-88
110,2.625011725966591e-88
111,2.625011671869934e-88
112,2.62501161767808e-88
113,2.625011563390861e-88
114,2.625011509008109e-88
115,2.625011454529656e-88
116,2.6250113999553345e-88
117,2.625011345284973e-88
118,2.6250112905184055e-88
119,2.6250112356554617e-88
120,2.625011180695972e-88
121,2.625011125639766e-88
122,2.6250110704866734e-88
123,2.625011015236525e-88
124,2.6250109598891485e-88
125,2.6250109044443744e-88
126,2.62501084890203e-88
127,2.6250107932619446e-88
128,2.6250107375239446e-88
129,2.6250106816878586e-88
130,2.625010625753515e-88
131,2.6250105697207396e-88
132,2.6250105135893593e-88
133,2.6250104573592016e-88
134,2.6250104010300913e-88
135,2.625010344601855e-88
136,2.625010288074318e-88
137,2.625010231447306e-88
138,2.6250101747206444e-88
139,2.625010117894156e-88
140,2.6250100609676667e-88
141,2.625010003941e-88
142,2.62500994681398e-88
143,2.625009889586429e-88
144,2.625009832258171e-88
145,2.6250097748290304e-88
146,2.6250097172988256e-88
147,2.625009659667382e-88
148,2.625009601934521e-88
149,2.625009544100063e-88
150,2.625009486163831e-88
151,2.625009428125643e-88
152,2.6250093699853224e-88
153,2.625009311742688e-88
154,2.625009253397561e-88
155,2.62500919494976e-88
156,2.6250091363991044e-88
157,2.625009077745413e-88
158,2.625009018988505e-88
159,2.6250089601281983e-88
160,2.625008901164312e-88
