,0
0,2.0416962120118367e-89
1,2.0416962089184227e-89
2,2.0416962058195648e-89
3,2.0416962027152542e-89
4,2.0416961996054802e-89
5,2.0416961964902337e-89
6,2.0416961933695056e-89
7,2.0416961902432864e-89
8,2.0416961871115655e-89
9,2.0416961839743334e-89
10,2.0416961808315806e-89
11,2.0416961776832984e-89
12,2.0416961745294753e-89
13,2.0416961713701023e-89
14,2.0416961682051696e-89
15,2.041696165034668e-89
16,2.041696161858587e-89
17,2.0416961586769173e-89
18,2.0416961554896487e-89
19,2.041696152296771e-89
20,2.0416961490982748e-89
21,2.0416961458941503e-89
22,2.0416961426843875e-89
23,2.041696139468976e-89
24,2.041696136247907e-89
25,2.0416961330211686e-89
26,2.0416961297887537e-89
27,2.0416961265506496e-89
28,2.041696123306847e-89
29,2.0416961200573375e-89
30,2.0416961168021085e-89
31,2.041696113541152e-89
32,2.041696110274457e-89
33,2.0416961070020136e-89
34,2.0416961037238115e-89
35,2.0416961004398408e-89
36,2.0416960971500905e-89
37,2.041696093854552e-89
38,2.0416960905532147e-89
39,2.0416960872460668e-89
40,2.0416960839330992e-89
41,2.041696080614303e-89
42,2.0416960772896654e-89
43,2.0416960739591784e-89
44,2.0416960706228304e-89
45,2.0416960672806108e-89
46,2.04169606393251e-89
47,2.0416960605785182e-89
48,2.041696057218623e-89
49,2.0416960538528167e-89
50,2.041696050481087e-89
51,2.0416960471034235e-89
52,2.0416960437198166e-89
53,2.0416960403302556e-89
54,2.0416960369347305e-89
55,2.0416960335332293e-89
56,2.041696030125743e-89
57,2.0416960267122605e-89
58,2.0416960232927707e-89
59,2.0416960198672642e-89
60,2.0416960164357295e-89
61,2.041696012998156e-89
62,2.041696009554533e-89
63,2.0416960061048515e-89
64,2.041696002649098e-89
65,2.0416959991872646e-89
66,2.0416959957193388e-89
67,2.04169599224531e-89
68,2.0416959887651688e-89
69,2.0416959852789034e-89
70,2.0416959817865028e-89
71,2.0416959782879564e-89
72,2.0416959747832546e-89
73,2.0416959712723844e-89
74,2.0416959677553357e-89
75,2.0416959642320986e-89
76,2.0416959607026622e-89
77,2.041695957167014e-89
78,2.041695953625144e-89
79,2.0416959500770422e-89
80,2.0416959465226964e-89
81,2.0416959429620957e-89
82,2.0416959393952296e-89
83,2.041695935822087e-89
84,2.041695932242656e-89
85,2.041695928656927e-89
86,2.0416959250648874e-89
87,2.041695921466527e-89
88,2.0416959178618348e-89
89,2.041695914250799e-89
90,2.0416959106334092e-89
91,2.0416959070096537e-89
92,2.041695903379521e-89
93,2.041695899743001e-89
94,2.0416958961000814e-89
95,2.041695892450751e-89
96,2.0416958887949992e-89
97,2.0416958851328143e-89
98,2.0416958814641844e-89
99,2.0416958777890994e-89
100,2.041695874107547e-89
101,2.041695870419517e-89
102,2.0416958667249964e-89
103,2.0416958630239737e-89
104,2.0416958593164387e-89
105,2.0416958556023796e-89
106,2.041695851881785e-89
107,2.0416958481546436e-89
108,2.041695844420943e-89
109,2.041695840680672e-89
110,2.0416958369338187e-89
111,2.0416958331803727e-89
112,2.0416958294203216e-89
113,2.0416958256536543e-89
114,2.041695821880358e-89
115,2.0416958181004222e-89
116,2.0416958143138346e-89
117,2.0416958105205835e-89
118,2.0416958067206576e-89
119,2.041695802914045e-89
120,2.0416957991007338e-89
121,2.041695795280712e-89
122,2.0416957914539685e-89
123,2.0416957876204907e-89
124,2.0416957837802665e-89
125,2.041695779933285e-89
126,2.0416957760795344e-89
127,2.0416957722190017e-89
128,2.0416957683516763e-89
129,2.0416957644775444e-89
130,2.0416957605965958e-89
131,2.041695756708817e-89
132,2.041695752814198e-89
133,2.0416957489127253e-89
134,2.0416957450043865e-89
135,2.0416957410891705e-89
136,2.0416957371670645e-89
137,2.0416957332380572e-89
138,2.041695729302136e-89
139,2.0416957253592886e-89
140,2.0416957214095026e-89
141,2.041695717452766e-89
142,2.0416957134890674e-89
143,2.041695709518393e-89
144,2.0416957055407317e-89
145,2.0416957015560708e-89
146,2.0416956975643976e-89
147,2.0416956935657005e-89
148,2.0416956895599674e-89
149,2.041695685547185e-89
150,2.041695681527341e-89
151,2.041695677500423e-89
152,2.0416956734664193e-89
153,2.0416956694253163e-89
154,2.041695665377103e-89
155,2.0416956613217653e-89
156,2.0416956572592916e-89
157,2.0416956531896684e-89
158,2.0416956491128845e-89
159,2.0416956450289258e-89
160,2.0416956409377816e-89
161,2.0416956368394386e-89
162,2.041695632733882e-89
163,2.0416956286211014e-89
164,2.041695624501084e-89
165,2.041695620373816e-89
166,2.0416956162392852e-89
167,2.0416956120974792e-89
168,2.041695607948384e-89
169,2.0416956037919882e-89
170,2.0416955996282785e-89
171,2.0416955954572417e-89
172,2.041695591278864e-89
173,2.041695587093135e-89
174,2.0416955829000393e-89
175,2.041695578699565e-89
176,2.0416955744917004e-89
177,2.0416955702764297e-89
178,2.0416955660537414e-89
179,2.0416955618236228e-89
180,2.0416955575860602e-89
181,2.0416955533410403e-89
182,2.0416955490885513e-89
183,2.0416955448285793e-89
184,2.04169554056111e-89
185,2.041695536286131e-89
186,2.0416955320036294e-89
187,2.0416955277135925e-89
188,2.0416955234160063e-89
189,2.0416955191108572e-89
190,2.0416955147981315e-89
191,2.0416955104778178e-89
192,2.041695506149901e-89
193,2.0416955018143685e-89
194,2.0416954974712066e-89
195,2.041695493120402e-89
196,2.041695488761941e-89
197,2.0416954843958107e-89
198,2.0416954800219975e-89
199,2.0416954756404864e-89
200,2.041695471251266e-89
201,2.0416954668543223e-89
202,2.04169546244964e-89
203,2.0416954580372074e-89
204,2.04169545361701e-89
205,2.0416954491890343e-89
206,2.0416954447532662e-89
207,2.0416954403096935e-89
208,2.041695435858301e-89
209,2.0416954313990746e-89
210,2.0416954269320017e-89
211,2.0416954224570676e-89
212,2.0416954179742594e-89
213,2.0416954134835628e-89
214,2.041695408984963e-89
215,2.0416954044784483e-89
216,2.041695399964003e-89
217,2.0416953954416125e-89
218,2.0416953909112643e-89
219,2.0416953863729444e-89
220,2.041695381826638e-89
221,2.041695377272332e-89
222,2.041695372710011e-89
223,2.0416953681396617e-89
224,2.0416953635612702e-89
225,2.0416953589748216e-89
226,2.0416953543803025e-89
227,2.041695349777698e-89
228,2.0416953451669954e-89
229,2.0416953405481777e-89
230,2.0416953359212326e-89
231,2.0416953312861453e-89
232,2.0416953266429024e-89
233,2.041695321991488e-89
234,2.0416953173318884e-89
235,2.041695312664089e-89
236,2.041695307988076e-89
237,2.0416953033038345e-89
238,2.0416952986113504e-89
239,2.0416952939106083e-89
240,2.0416952892015948e-89
241,2.0416952844842938e-89
242,2.041695279758693e-89
243,2.0416952750247752e-89
244,2.041695270282528e-89
245,2.041695265531935e-89
246,2.041695260772983e-89
247,2.041695256005656e-89
248,2.0416952512299404e-89
249,2.0416952464458206e-89
250,2.041695241653282e-89
251,2.0416952368523097e-89
252,2.04169523204289e-89
253,2.041695227225006e-89
254,2.0416952223986443e-89
255,2.041695217563789e-89
256,2.041695212720426e-89
257,2.0416952078685413e-89
258,2.0416952030081175e-89
259,2.041695198139141e-89
260,2.041695193261596e-89
261,2.0416951883754686e-89
262,2.0416951834807423e-89
263,2.0416951785774035e-89
264,2.0416951736654354e-89
265,2.041695168744824e-89
266,2.0416951638155536e-89
267,2.041695158877609e-89
268,2.0416951539309754e-89
269,2.0416951489756367e-89
270,2.0416951440115784e-89
271,2.041695139038784e-89
272,2.04169513405724e-89
273,2.041695129066929e-89
274,2.0416951240678363e-89
275,2.0416951190599474e-89
276,2.0416951140432453e-89
277,2.041695109017716e-89
278,2.041695103983343e-89
279,2.041695098940111e-89
280,2.0416950938880042e-89
281,2.0416950888270062e-89
282,2.0416950837571037e-89
283,2.0416950786782785e-89
284,2.041695073590517e-89
285,2.041695068493801e-89
286,2.041695063388118e-89
287,2.041695058273449e-89
288,2.0416950531497804e-89
289,2.041695048017096e-89
290,2.0416950428753785e-89
291,2.0416950377246137e-89
292,2.0416950325647847e-89
293,2.041695027395876e-89
294,2.0416950222178714e-89
295,2.0416950170307548e-89
296,2.0416950118345105e-89
297,2.0416950066291227e-89
298,2.0416950014145745e-89
299,2.0416949961908497e-89
300,2.041694990957933e-89
301,2.0416949857158083e-89
302,2.0416949804644583e-89
303,2.0416949752038682e-89
304,2.04169496993402e-89
305,2.0416949646548986e-89
306,2.0416949593664877e-89
307,2.041694954068771e-89
308,2.041694948761731e-89
309,2.0416949434453525e-89
310,2.041694938119619e-89
311,2.0416949327845132e-89
312,2.0416949274400196e-89
313,2.0416949220861206e-89
314,2.0416949167228008e-89
315,2.0416949113500433e-89
316,2.04169490596783e-89
317,2.0416949005761467e-89
318,2.0416948951749753e-89
319,2.0416948897642994e-89
320,2.0416948843441017e-89
321,2.0416948789143668e-89
322,2.041694873475076e-89
323,2.0416948680262147e-89
324,2.0416948625677645e-89
325,2.041694857099709e-89
326,2.041694851622031e-89
327,2.0416948461347145e-89
328,2.0416948406377418e-89
329,2.041694835131095e-89
330,2.0416948296147585e-89
331,2.0416948240887152e-89
332,2.041694818552948e-89
333,2.0416948130074385e-89
334,2.0416948074521713e-89
335,2.0416948018871273e-89
336,2.0416947963122914e-89
337,2.0416947907276444e-89
338,2.0416947851331708e-89
339,2.041694779528852e-89
340,2.0416947739146717e-89
341,2.0416947682906115e-89
342,2.0416947626566554e-89
343,2.0416947570127848e-89
344,2.0416947513589824e-89
345,2.0416947456952308e-89
346,2.0416947400215126e-89
347,2.0416947343378104e-89
348,2.0416947286441066e-89
349,2.0416947229403826e-89
350,2.0416947172266225e-89
351,2.0416947115028073e-89
352,2.0416947057689204e-89
353,2.0416947000249438e-89
354,2.0416946942708583e-89
355,2.0416946885066478e-89
356,2.041694682732294e-89
357,2.0416946769477786e-89
358,2.0416946711530847e-89
359,2.0416946653481937e-89
360,2.0416946595330873e-89
361,2.0416946537077482e-89
362,2.041694647872158e-89
363,2.041694642026299e-89
364,2.041694636170153e-89
365,2.0416946303037015e-89
366,2.041694624426927e-89
367,2.041694618539811e-89
