,0
0,1.9142430819928217e-91
1,1.9142430817716187e-91
2,1.9142430815500266e-91
3,1.9142430813280445e-91
4,1.9142430811056716e-91
5,1.9142430808829074e-91
6,1.9142430806597514e-91
7,1.9142430804362024e-91
8,1.9142430802122604e-91
9,1.9142430799879238e-91
10,1.914243079763193e-91
11,1.9142430795380666e-91
12,1.9142430793125435e-91
13,1.9142430790866242e-91
14,1.914243078860307e-91
15,1.914243078633592e-91
16,1.9142430784064775e-91
17,1.9142430781789634e-91
18,1.9142430779510493e-91
19,1.9142430777227339e-91
20,1.9142430774940167e-91
21,1.914243077264897e-91
22,1.914243077035374e-91
23,1.9142430768054472e-91
24,1.9142430765751163e-91
25,1.9142430763443795e-91
26,1.914243076113237e-91
27,1.9142430758816874e-91
28,1.9142430756497304e-91
29,1.9142430754173654e-91
30,1.9142430751845917e-91
31,1.9142430749514075e-91
32,1.9142430747178138e-91
33,1.9142430744838094e-91
34,1.9142430742493922e-91
35,1.9142430740145626e-91
36,1.9142430737793202e-91
37,1.9142430735436636e-91
38,1.9142430733075928e-91
39,1.9142430730711064e-91
40,1.9142430728342036e-91
41,1.9142430725968838e-91
42,1.9142430723591463e-91
43,1.9142430721209913e-91
44,1.9142430718824167e-91
45,1.914243071643422e-91
46,1.9142430714040065e-91
47,1.91424307116417e-91
48,1.914243070923912e-91
49,1.914243070683231e-91
50,1.914243070442126e-91
51,1.9142430702005972e-91
52,1.9142430699586432e-91
53,1.9142430697162632e-91
54,1.914243069473457e-91
55,1.9142430692302233e-91
56,1.9142430689865617e-91
57,1.914243068742472e-91
58,1.9142430684979512e-91
59,1.9142430682530017e-91
60,1.91424306800762e-91
61,1.914243067761807e-91
62,1.9142430675155613e-91
63,1.9142430672688827e-91
64,1.9142430670217695e-91
65,1.9142430667742222e-91
66,1.9142430665262378e-91
67,1.9142430662778185e-91
68,1.9142430660289613e-91
69,1.914243065779667e-91
70,1.914243065529933e-91
71,1.9142430652797598e-91
72,1.9142430650291468e-91
73,1.9142430647780926e-91
74,1.9142430645265963e-91
75,1.9142430642746573e-91
76,1.9142430640222757e-91
77,1.914243063769449e-91
78,1.9142430635161783e-91
79,1.914243063262461e-91
80,1.9142430630082983e-91
81,1.9142430627536876e-91
82,1.9142430624986297e-91
83,1.914243062243122e-91
84,1.914243061987165e-91
85,1.914243061730758e-91
86,1.9142430614738988e-91
87,1.9142430612165884e-91
88,1.9142430609588252e-91
89,1.914243060700608e-91
90,1.914243060441937e-91
91,1.9142430601828108e-91
92,1.9142430599232275e-91
93,1.9142430596631887e-91
94,1.914243059402692e-91
95,1.9142430591417364e-91
96,1.9142430588803217e-91
97,1.9142430586184475e-91
98,1.914243058356112e-91
99,1.9142430580933153e-91
100,1.9142430578300554e-91
101,1.9142430575663333e-91
102,1.9142430573021463e-91
103,1.9142430570374944e-91
104,1.914243056772377e-91
105,1.914243056506793e-91
106,1.9142430562407417e-91
107,1.9142430559742228e-91
108,1.9142430557072341e-91
109,1.9142430554397754e-91
110,1.9142430551718466e-91
111,1.914243054903446e-91
112,1.9142430546345735e-91
113,1.9142430543652277e-91
114,1.914243054095408e-91
115,1.9142430538251134e-91
