,0
0,1.571371336734197e-88
1,1.5713713201403303e-88
2,1.571371303517263e-88
3,1.5713712868649444e-88
4,1.5713712701833222e-88
5,1.571371253472345e-88
6,1.5713712367319617e-88
7,1.57137121996212e-88
8,1.5713712031627684e-88
9,1.5713711863338543e-88
10,1.5713711694753266e-88
11,1.5713711525871328e-88
12,1.5713711356692203e-88
13,1.571371118721538e-88
14,1.5713711017440318e-88
15,1.571371084736651e-88
16,1.5713710676993412e-88
17,1.5713710506320517e-88
18,1.571371033534728e-88
19,1.5713710164073182e-88
20,1.5713709992497696e-88
21,1.5713709820620275e-88
22,1.5713709648440411e-88
23,1.571370947595756e-88
24,1.5713709303171178e-88
25,1.571370913008075e-88
26,1.5713708956685738e-88
27,1.5713708782985595e-88
28,1.5713708608979792e-88
29,1.571370843466779e-88
30,1.5713708260049045e-88
31,1.5713708085123026e-88
32,1.5713707909889188e-88
33,1.571370773434699e-88
34,1.571370755849589e-88
35,1.5713707382335337e-88
36,1.5713707205864798e-88
37,1.5713707029083724e-88
38,1.5713706851991565e-88
39,1.5713706674587775e-88
40,1.57137064968718e-88
41,1.5713706318843107e-88
42,1.5713706140501127e-88
43,1.5713705961845325e-88
44,1.5713705782875134e-88
45,1.571370560359001e-88
46,1.5713705423989393e-88
47,1.5713705244072736e-88
48,1.5713705063839477e-88
49,1.5713704883289062e-88
50,1.5713704702420926e-88
51,1.5713704521234512e-88
52,1.5713704339729272e-88
53,1.5713704157904626e-88
54,1.571370397576003e-88
55,1.571370379329491e-88
56,1.5713703610508705e-88
57,1.571370342740085e-88
58,1.5713703243970775e-88
59,1.5713703060217922e-88
60,1.5713702876141714e-88
61,1.5713702691741583e-88
62,1.571370250701697e-88
63,1.5713702321967288e-88
64,1.571370213659197e-88
65,1.5713701950890454e-88
66,1.5713701764862152e-88
67,1.57137015785065e-88
68,1.571370139182291e-88
69,1.5713701204810815e-88
70,1.5713701017469628e-88
71,1.571370082979878e-88
72,1.571370064179769e-88
73,1.5713700453465768e-88
74,1.5713700264802433e-88
75,1.5713700075807113e-88
76,1.5713699886479212e-88
77,1.5713699696818147e-88
78,1.5713699506823337e-88
79,1.571369931649419e-88
80,1.5713699125830125e-88
81,1.5713698934830542e-88
82,1.5713698743494857e-88
83,1.5713698551822477e-88
84,1.571369835981281e-88
85,1.571369816746526e-88
86,1.5713697974779234e-88
87,1.571369778175414e-88
88,1.5713697588389377e-88
89,1.5713697394684346e-88
90,1.571369720063845e-88
91,1.5713697006251098e-88
92,1.5713696811521673e-88
93,1.5713696616449586e-88
94,1.5713696421034226e-88
95,1.5713696225274993e-88
96,1.5713696029171282e-88
97,1.5713695832722487e-88
98,1.5713695635927996e-88
99,1.5713695438787205e-88
100,1.5713695241299503e-88
101,1.5713695043464286e-88
102,1.5713694845280932e-88
103,1.5713694646748835e-88
104,1.5713694447867377e-88
105,1.571369424863595e-88
106,1.5713694049053929e-88
107,1.5713693849120704e-88
108,1.5713693648835657e-88
109,1.5713693448198165e-88
110,1.571369324720761e-88
111,1.571369304586337e-88
112,1.5713692844164824e-88
113,1.5713692642111347e-88
114,1.5713692439702316e-88
115,1.5713692236937103e-88
116,1.5713692033815084e-88
117,1.571369183033563e-88
118,1.5713691626498113e-88
119,1.5713691422301898e-88
120,1.5713691217746358e-88
121,1.5713691012830862e-88
122,1.5713690807554772e-88
123,1.571369060191746e-88
124,1.571369039591828e-88
125,1.5713690189556608e-88
126,1.57136899828318e-88
127,1.5713689775743216e-88
128,1.5713689568290218e-88
129,1.5713689360472158e-88
130,1.5713689152288404e-88
131,1.5713688943738302e-88
132,1.571368873482122e-88
133,1.5713688525536503e-88
134,1.5713688315883502e-88
135,1.571368810586158e-88
136,1.5713687895470078e-88
137,1.571368768470835e-88
138,1.5713687473575737e-88
139,1.5713687262071602e-88
140,1.5713687050195276e-88
141,1.5713686837946106e-88
142,1.571368662532345e-88
143,1.5713686412326634e-88
144,1.571368619895501e-88
145,1.5713685985207909e-88
146,1.5713685771084675e-88
147,1.5713685556584654e-88
148,1.5713685341707168e-88
149,1.5713685126451567e-88
150,1.5713684910817176e-88
151,1.5713684694803333e-88
152,1.5713684478409372e-88
153,1.5713684261634616e-88
154,1.5713684044478403e-88
155,1.571368382694006e-88
156,1.5713683609018912e-88
157,1.5713683390714286e-88
158,1.5713683172025507e-88
159,1.57136829529519e-88
160,1.5713682733492788e-88
161,1.5713682513647496e-88
162,1.571368229341534e-88
163,1.5713682072795638e-88
164,1.5713681851787713e-88
165,1.5713681630390874e-88
166,1.5713681408604443e-88
167,1.571368118642774e-88
168,1.5713680963860062e-88
169,1.5713680740900735e-88
170,1.5713680517549064e-88
171,1.571368029380436e-88
172,1.571368006966593e-88
173,1.5713679845133083e-88
174,1.5713679620205128e-88
175,1.571367939488136e-88
176,1.5713679169161092e-88
177,1.5713678943043623e-88
178,1.571367871652825e-88
179,1.571367848961428e-88
180,1.5713678262301008e-88
181,1.571367803458773e-88
182,1.5713677806473746e-88
183,1.571367757795835e-88
184,1.571367734904083e-88
185,1.5713677119720482e-88
186,1.5713676889996598e-88
187,1.5713676659868473e-88
188,1.571367642933539e-88
189,1.5713676198396626e-88
190,1.5713675967051483e-88
191,1.5713675735299248e-88
192,1.5713675503139193e-88
193,1.5713675270570603e-88
194,1.5713675037592763e-88
195,1.5713674804204948e-88
196,1.571367457040644e-88
197,1.5713674336196518e-88
