,0
0,2.684772452774311e-91
1,2.6847724524477474e-91
2,2.684772452120607e-91
3,2.684772451792892e-91
4,2.6847724514646e-91
5,2.6847724511357295e-91
6,2.6847724508062814e-91
7,2.684772450476254e-91
8,2.684772450145645e-91
9,2.684772449814454e-91
10,2.6847724494826797e-91
11,2.684772449150323e-91
12,2.68477244881738e-91
13,2.6847724484838525e-91
14,2.6847724481497374e-91
15,2.684772447815034e-91
16,2.684772447479742e-91
17,2.684772447143861e-91
18,2.6847724468073876e-91
19,2.6847724464703223e-91
20,2.684772446132664e-91
21,2.684772445794411e-91
22,2.6847724454555637e-91
23,2.6847724451161194e-91
24,2.684772444776079e-91
25,2.684772444435439e-91
26,2.6847724440942003e-91
27,2.68477244375236e-91
28,2.6847724434099193e-91
29,2.684772443066875e-91
30,2.6847724427232277e-91
31,2.684772442378976e-91
32,2.6847724420341173e-91
33,2.6847724416886527e-91
34,2.68477244134258e-91
35,2.6847724409958983e-91
36,2.684772440648607e-91
37,2.6847724403007044e-91
38,2.684772439952189e-91
39,2.6847724396030607e-91
40,2.6847724392533177e-91
41,2.68477243890296e-91
42,2.684772438551985e-91
43,2.6847724382003925e-91
44,2.684772437848181e-91
45,2.6847724374953507e-91
46,2.6847724371418983e-91
47,2.6847724367878246e-91
48,2.684772436433128e-91
49,2.6847724360778073e-91
50,2.6847724357218615e-91
51,2.684772435365289e-91
52,2.6847724350080884e-91
53,2.68477243465026e-91
54,2.684772434291801e-91
55,2.684772433932713e-91
56,2.684772433572991e-91
57,2.684772433212638e-91
58,2.6847724328516494e-91
59,2.6847724324900266e-91
60,2.684772432127767e-91
61,2.684772431764869e-91
62,2.6847724314013335e-91
63,2.6847724310371584e-91
64,2.6847724306723413e-91
65,2.684772430306884e-91
66,2.684772429940782e-91
67,2.684772429574036e-91
68,2.684772429206645e-91
69,2.6847724288386085e-91
70,2.684772428469923e-91
71,2.684772428100589e-91
72,2.6847724277306053e-91
73,2.6847724273599707e-91
74,2.684772426988683e-91
75,2.684772426616742e-91
76,2.6847724262441475e-91
77,2.6847724258708974e-91
78,2.684772425496989e-91
79,2.684772425122423e-91
80,2.684772424747199e-91
81,2.684772424371314e-91
82,2.6847724239947686e-91
83,2.684772423617559e-91
84,2.684772423239686e-91
85,2.6847724228611485e-91
86,2.684772422481944e-91
87,2.6847724221020734e-91
88,2.684772421721534e-91
89,2.684772421340324e-91
90,2.684772420958444e-91
91,2.6847724205758925e-91
92,2.684772420192667e-91
93,2.6847724198087676e-91
94,2.6847724194241925e-91
95,2.684772419038941e-91
96,2.684772418653011e-91
97,2.684772418266402e-91
98,2.6847724178791125e-91
99,2.684772417491142e-91
100,2.684772417102488e-91
101,2.684772416713151e-91
102,2.684772416323129e-91
103,2.6847724159324196e-91
104,2.684772415541023e-91
105,2.6847724151489376e-91
106,2.684772414756162e-91
107,2.684772414362696e-91
108,2.6847724139685374e-91
109,2.684772413573685e-91
110,2.684772413178138e-91
111,2.6847724127818945e-91
112,2.684772412384954e-91
113,2.684772411987315e-91
114,2.6847724115889763e-91
115,2.684772411189937e-91
116,2.6847724107901945e-91
117,2.6847724103897495e-91
118,2.6847724099886e-91
119,2.684772409586743e-91
120,2.684772409184181e-91
121,2.6847724087809094e-91
122,2.684772408376929e-91
123,2.6847724079722366e-91
124,2.6847724075668325e-91
125,2.684772407160714e-91
126,2.6847724067538824e-91
127,2.684772406346334e-91
128,2.684772405938069e-91
129,2.6847724055290855e-91
