,0
0,8.880070779381928e-12
1,9.44436664312809e-12
2,1.0041155913254723e-11
3,1.0672111678023762e-11
4,1.1338981444439483e-11
5,1.2043589872089428e-11
6,1.2787841584215814e-11
7,1.3573724057640586e-11
8,1.4403310593154342e-11
9,1.5278763368039038e-11
10,1.6202336572317833e-11
11,1.7176379630401524e-11
12,1.820334050978655e-11
13,1.9285769118458312e-11
14,2.0426320792666165e-11
15,2.1627759876739894e-11
16,2.289296339663566e-11
17,2.4224924828886166e-11
18,2.5630457982320367e-11
19,2.7111319378491914e-11
20,2.8669308937671852e-11
21,3.030796774314868e-11
22,3.203097552455736e-11
23,3.3842155091953636e-11
24,3.574547687830859e-11
25,3.7745063592160653e-11
26,3.984519498202133e-11
27,4.205226345823803e-11
28,4.4383523619000227e-11
29,4.6842712143105017e-11
30,4.943687092278994e-11
31,5.2152196469059936e-11
32,5.499355505802992e-11
33,5.796599095705548e-11
34,6.109941319292312e-11
35,6.439829351646046e-11
36,6.78487600812084e-11
37,7.146125422258707e-11
38,7.523135116836834e-11
39,7.921741845243164e-11
40,8.339740088300305e-11
41,8.775932493781382e-11
42,9.230960757633675e-11
43,9.708442867280488e-11
44,1.0211819880398489e-10
45,1.0736873361924953e-10
46,1.1284368269184904e-10
47,1.1855092424339822e-10
48,1.2458307873022727e-10
49,1.3088387877163858e-10
50,1.3745121900936982e-10
51,1.4429483478705955e-10
52,1.5145501560954687e-10
53,1.5899452499440796e-10
54,1.6684855029615165e-10
55,1.750281066380176e-10
56,1.8354455738972574e-10
57,1.924907796387092e-10
58,2.0185398033763613e-10
59,2.116015586609743e-10
60,2.2175523915000395e-10
61,2.3231352325252844e-10
62,2.434653081300485e-10
63,2.550540043525107e-10
64,2.6709338536764196e-10
65,2.7959760597369134e-10
66,2.9277000476881267e-10
67,3.064816671484158e-10
68,3.207218263207223e-10
69,3.3550716839093267e-10
70,3.509946876877842e-10
71,3.672648132397667e-10
72,3.8407695954784533e-10
73,4.0152403439469793e-10
74,4.1992813486328843e-10
75,4.3894597787109487e-10
76,4.585895142737327e-10
77,4.793508608897714e-10
78,5.008361765342952e-10
79,5.230296159783799e-10
80,5.462984077546559e-10
81,5.705397848164841e-10
82,5.955812055476891e-10
83,6.216097142527394e-10
84,6.489897100414612e-10
85,6.772073385510776e-10
86,7.064240277190124e-10
87,7.371777149795113e-10
88,7.6887089184483e-10
89,8.016042696975977e-10
90,8.361088378617068e-10
91,8.716661039209538e-10
92,9.082909146611666e-10
93,9.469418178200977e-10
94,9.867897754681424e-10
95,1.027833783878026e-09
96,1.070942551027839e-09
97,1.1156106069216468e-09
98,1.161520805116092e-09
99,1.2097235323049494e-09
100,1.2595733374610733e-09
101,1.3108126098092619e-09
102,1.3646031093375903e-09
103,1.4201885215838886e-09
104,1.4773269312917355e-09
105,1.5372366778283343e-09
106,1.5991635536368972e-09
107,1.6628245878918024e-09
108,1.7294248249160127e-09
109,1.7984707931900358e-09
110,1.8692691819708535e-09
111,1.9435451407098697e-09
112,2.020140677952331e-09
113,2.0986813636901556e-09
114,2.1813594386460708e-09
115,2.2662692473776745e-09
116,2.3535141234688103e-09
117,2.445198067579233e-09
118,2.539256271436244e-09
119,2.6361029568633758e-09
120,2.737588686591339e-09
121,2.841703986405437e-09
122,2.949019429961734e-09
123,3.061269668253589e-09
124,3.1764307651469445e-09
125,3.295143104570339e-09
126,3.4193338610767313e-09
127,3.546599787546212e-09
128,3.67800662714145e-09
129,3.815008297389509e-09
130,3.955398619904291e-09
131,4.10062244081718e-09
132,4.251645456151695e-09
133,4.406401376514414e-09
134,4.566642826919942e-09
135,4.732999413668625e-09
136,4.903466456523735e-09
137,5.080008302560862e-09
138,5.263471657254497e-09
139,5.450965548353987e-09
140,5.646135254709179e-09
141,5.84738555358581e-09
142,6.053049330040532e-09
143,6.268460155044962e-09
144,6.489097554249899e-09
145,6.715466635990196e-09
146,6.951943320850387e-09
147,7.193699558004995e-09
148,7.4429554989243425e-09
149,7.701925557417905e-09
150,7.966673048732455e-09
151,8.24071279891192e-09
152,8.524151930960652e-09
153,8.813913309680056e-09
154,9.114756176715472e-09
155,9.424796579262827e-09
156,9.741970582542877e-09
157,1.0073596798239188e-08
158,1.0412355052866962e-08
159,1.0761585563116097e-08
160,1.1123172055365308e-08
161,1.1490775264070885e-08
162,1.1876491255938707e-08
163,1.226842248505886e-08
164,1.2674467918689349e-08
165,1.3092497943457911e-08
166,1.3519345570983728e-08
167,1.3964932521322499e-08
168,1.4417842793676171e-08
169,1.4888125436396524e-08
170,1.537081125989801e-08
171,1.5864571785250125e-08
172,1.6378663033443527e-08
173,1.69013780792226e-08
174,1.744406249224265e-08
175,1.800067598194364e-08
176,1.8569777947752012e-08
177,1.9162107323115962e-08
178,1.976457826902745e-08
179,2.0388624079864534e-08
180,2.1029605067664787e-08
181,2.1683290667686826e-08
182,2.236480350669073e-08
183,2.3058219862373393e-08
184,2.3773436865906635e-08
185,2.4511524260760057e-08
186,2.5261416065986074e-08
187,2.6045012026090156e-08
188,2.6840441373109036e-08
189,2.7662434050825334e-08
190,2.85067981033838e-08
191,2.9367683234065432e-08
192,3.026350486565403e-08
193,3.117309607731926e-08
194,3.211470415401659e-08
195,3.3079578386103525e-08
196,3.406469184063644e-08
197,3.508764610647128e-08
198,3.612661339471384e-08
199,3.720186494105405e-08
200,3.830609064617127e-08
201,3.9435283765312204e-08
202,4.0602472381261216e-08
203,4.1787814836088895e-08
204,4.302118880634782e-08
205,4.426562332602086e-08
206,4.556787786020729e-08
207,4.6883048525513904e-08
208,4.8248391237003966e-08
209,4.963787650895799e-08
210,5.1068800518599556e-08
211,5.25363286103591e-08
212,5.403540341842315e-08
213,5.558485698053975e-08
214,5.715473013919148e-08
215,5.879015103708607e-08
216,6.044243173479544e-08
217,6.215914403096508e-08
218,6.390322021779752e-08
219,6.569901973287085e-08
220,6.753936077695531e-08
221,6.941721922011098e-08
222,7.135847211238432e-08
223,7.332144780312217e-08
224,7.536844239182757e-08
225,7.7438459736365e-08
226,7.957743637645509e-08
227,8.176336565271431e-08
228,8.400375052127282e-08
229,8.630467527221146e-08
230,8.865207562523337e-08
231,9.107114730635019e-08
232,9.352965889505692e-08
233,9.60725284674243e-08
234,9.864636590416506e-08
235,1.013189138920926e-07
236,1.0401241306317534e-07
237,1.0682075645727681e-07
238,1.0964772422575295e-07
239,1.1258887623990251e-07
240,1.1556013093439602e-07
241,1.1863447012740191e-07
242,1.2175675808130785e-07
243,1.2496912158138812e-07
244,1.282494521056674e-07
245,1.316048105557497e-07
246,1.3505046343227402e-07
247,1.385539235699679e-07
248,1.421724566705432e-07
249,1.4582926393850213e-07
250,1.496285209700602e-07
251,1.5345936565040573e-07
252,1.574321805332929e-07
253,1.6146086349779764e-07
254,1.6562475935598256e-07
255,1.6983547738763832e-07
256,1.7419790394484426e-07
257,1.7859919654098061e-07
258,1.8317062617404096e-07
259,1.8776732049825063e-07
260,1.9255584533334766e-07
261,1.9735655490571037e-07
262,2.0237050623454066e-07
263,2.0739328069662459e-07
264,2.1264150069563236e-07
265,2.1790845860349807e-07
266,2.2337650070126375e-07
267,2.2889746114067435e-07
268,2.345942872781596e-07
269,2.403793866423646e-07
270,2.4631431435801713e-07
271,2.523740144652459e-07
272,2.585567291659994e-07
