,0
0,9.246997692970277e-93
1,9.246997692026717e-93
2,9.246997691081496e-93
3,9.246997690134609e-93
4,9.246997689186055e-93
5,9.246997688235836e-93
6,9.246997687283942e-93
7,9.246997686330374e-93
8,9.246997685375128e-93
9,9.2469976844182e-93
10,9.246997683459587e-93
11,9.24699768249929e-93
12,9.246997681537302e-93
13,9.24699768057362e-93
14,9.246997679608244e-93
15,9.246997678641168e-93
16,9.246997677672388e-93
17,9.246997676701905e-93
18,9.246997675729716e-93
19,9.246997674755815e-93
20,9.246997673780199e-93
21,9.246997672802868e-93
22,9.246997671823814e-93
23,9.24699767084304e-93
24,9.246997669860537e-93
25,9.24699766887631e-93
26,9.246997667890347e-93
27,9.24699766690265e-93
28,9.246997665913213e-93
29,9.24699766492204e-93
30,9.246997663929118e-93
31,9.24699766293445e-93
32,9.246997661938029e-93
33,9.24699766093986e-93
34,9.246997659939932e-93
35,9.246997658938242e-93
36,9.246997657934792e-93
37,9.246997656929577e-93
38,9.246997655922588e-93
39,9.246997654913831e-93
40,9.2469976539033e-93
41,9.246997652890989e-93
42,9.246997651876894e-93
43,9.246997650861018e-93
44,9.246997649843354e-93
45,9.246997648823896e-93
46,9.246997647802646e-93
47,9.2469976467796e-93
48,9.246997645754752e-93
49,9.246997644728101e-93
50,9.246997643699644e-93
51,9.246997642669376e-93
52,9.246997641637294e-93
53,9.246997640603397e-93
54,9.24699763956768e-93
55,9.246997638530142e-93
56,9.246997637490777e-93
57,9.246997636449582e-93
58,9.246997635406557e-93
59,9.246997634361696e-93
60,9.246997633314994e-93
61,9.246997632266453e-93
62,9.246997631216067e-93
63,9.246997630163828e-93
64,9.246997629109741e-93
65,9.2469976280538e-93
66,9.246997626996001e-93
67,9.246997625936335e-93
68,9.246997624874808e-93
69,9.246997623811412e-93
70,9.246997622746147e-93
71,9.246997621679005e-93
72,9.246997620609986e-93
73,9.246997619539084e-93
74,9.246997618466301e-93
75,9.246997617391626e-93
76,9.246997616315064e-93
77,9.246997615236605e-93
78,9.246997614156248e-93
79,9.24699761307399e-93
80,9.24699761198983e-93
81,9.246997610903761e-93
82,9.246997609815777e-93
83,9.246997608725881e-93
84,9.246997607634067e-93
85,9.246997606540331e-93
86,9.246997605444671e-93
87,9.246997604347085e-93
88,9.246997603247564e-93
89,9.246997602146108e-93
90,9.246997601042716e-93
91,9.246997599937382e-93
92,9.246997598830101e-93
93,9.246997597720872e-93
94,9.246997596609693e-93
95,9.246997595496558e-93
96,9.246997594381463e-93
97,9.246997593264408e-93
98,9.24699759214538e-93
99,9.24699759102439e-93
100,9.246997589901425e-93
101,9.246997588776484e-93
102,9.246997587649564e-93
103,9.24699758652066e-93
104,9.24699758538977e-93
105,9.246997584256888e-93
106,9.246997583122014e-93
107,9.246997581985144e-93
108,9.24699758084627e-93
109,9.246997579705396e-93
110,9.246997578562509e-93
111,9.246997577417617e-93
112,9.246997576270704e-93
113,9.246997575121777e-93
114,9.246997573970827e-93
115,9.246997572817852e-93
116,9.246997571662848e-93
117,9.246997570505807e-93
118,9.246997569346737e-93
119,9.246997568185624e-93
120,9.246997567022468e-93
121,9.246997565857266e-93
122,9.246997564690013e-93
123,9.246997563520704e-93
124,9.246997562349337e-93
125,9.24699756117591e-93
126,9.246997560000418e-93
127,9.246997558822857e-93
128,9.246997557643227e-93
129,9.246997556461517e-93
130,9.24699755527773e-93
131,9.246997554091857e-93
132,9.2469975529039e-93
133,9.246997551713851e-93
134,9.246997550521707e-93
135,9.246997549327467e-93
136,9.246997548131125e-93
137,9.246997546932675e-93
138,9.246997545732119e-93
139,9.24699754452945e-93
140,9.246997543324662e-93
141,9.246997542117758e-93
142,9.246997540908726e-93
143,9.246997539697568e-93
144,9.246997538484281e-93
145,9.246997537268855e-93
146,9.246997536051293e-93
147,9.246997534831585e-93
148,9.246997533609735e-93
149,9.246997532385733e-93
150,9.246997531159575e-93
151,9.24699752993126e-93
152,9.246997528700784e-93
153,9.246997527468144e-93
154,9.246997526233334e-93
155,9.246997524996349e-93
156,9.24699752375719e-93
157,9.246997522515849e-93
158,9.246997521272323e-93
159,9.246997520026613e-93
160,9.246997518778704e-93
161,9.246997517528604e-93
162,9.2469975162763e-93
163,9.246997515021797e-93
164,9.246997513765082e-93
165,9.246997512506156e-93
166,9.246997511245017e-93
167,9.246997509981658e-93
168,9.246997508716073e-93
169,9.246997507448264e-93
170,9.246997506178224e-93
171,9.246997504905947e-93
172,9.246997503631432e-93
173,9.246997502354673e-93
174,9.246997501075668e-93
175,9.246997499794413e-93
176,9.246997498510905e-93
177,9.246997497225136e-93
178,9.246997495937105e-93
179,9.246997494646805e-93
180,9.246997493354236e-93
181,9.24699749205939e-93
182,9.246997490762268e-93
183,9.246997489462865e-93
184,9.246997488161172e-93
185,9.24699748685719e-93
186,9.246997485550912e-93
187,9.246997484242339e-93
188,9.24699748293146e-93
189,9.246997481618272e-93
190,9.246997480302777e-93
191,9.246997478984964e-93
192,9.246997477664835e-93
193,9.246997476342382e-93
194,9.246997475017601e-93
195,9.246997473690487e-93
196,9.246997472361038e-93
197,9.246997471029254e-93
198,9.246997469695121e-93
199,9.246997468358643e-93
200,9.246997467019812e-93
201,9.246997465678627e-93
202,9.24699746433508e-93
203,9.24699746298917e-93
204,9.246997461640888e-93
205,9.246997460290236e-93
206,9.246997458937208e-93
207,9.2469974575818e-93
208,9.246997456224e-93
209,9.246997454863816e-93
210,9.246997453501238e-93
211,9.246997452136262e-93
212,9.246997450768885e-93
213,9.246997449399099e-93
214,9.246997448026902e-93
215,9.246997446652292e-93
216,9.246997445275263e-93
217,9.246997443895812e-93
218,9.246997442513932e-93
219,9.246997441129616e-93
220,9.246997439742872e-93
221,9.246997438353685e-93
222,9.24699743696205e-93
223,9.246997435567968e-93
224,9.246997434171432e-93
225,9.246997432772442e-93
226,9.246997431370987e-93
227,9.246997429967066e-93
228,9.246997428560674e-93
229,9.246997427151809e-93
230,9.246997425740462e-93
231,9.24699742432663e-93
232,9.246997422910317e-93
233,9.246997421491504e-93
234,9.246997420070198e-93
235,9.24699741864639e-93
236,9.246997417220075e-93
237,9.246997415791252e-93
238,9.246997414359915e-93
239,9.246997412926057e-93
240,9.246997411489675e-93
241,9.24699741005077e-93
242,9.246997408609329e-93
243,9.24699740716535e-93
244,9.246997405718835e-93
245,9.246997404269773e-93
246,9.24699740281816e-93
247,9.246997401363991e-93
248,9.246997399907265e-93
249,9.246997398447972e-93
250,9.246997396986115e-93
251,9.246997395521684e-93
252,9.246997394054673e-93
253,9.246997392585085e-93
254,9.246997391112909e-93
255,9.246997389638142e-93
256,9.24699738816078e-93
257,9.24699738668082e-93
258,9.246997385198252e-93
259,9.246997383713077e-93
260,9.246997382225288e-93
261,9.246997380734881e-93
262,9.246997379241851e-93
263,9.246997377746193e-93
264,9.246997376247906e-93
265,9.246997374746978e-93
266,9.246997373243411e-93
267,9.246997371737197e-93
268,9.246997370228336e-93
269,9.246997368716816e-93
270,9.246997367202637e-93
271,9.246997365685791e-93
272,9.24699736416628e-93
273,1.2489585210142818e-16
274,2.5783709686205494e-16
275,3.618378189184831e-16
276,4.631640388588864e-16
277,5.49266747314192e-16
278,6.326477167521056e-16
279,7.087782602230638e-16
280,7.830259184259684e-16
281,8.545069996429201e-16
282,9.2544757406913e-16
283,9.959643252512484e-16
284,1.0675833076207305e-15
285,1.1398297967611673e-15
286,1.2149233758732377e-15
287,1.2909123501771802e-15
288,1.3716246961797621e-15
289,1.4531976616160497e-15
290,1.5410468761599926e-15
291,1.6303795287360178e-15
292,1.7260993592491755e-15
293,1.8247392847928012e-15
294,1.9294702195676724e-15
295,2.0389089749995784e-15
296,2.1537806121123336e-15
297,2.2755243713906824e-15
298,2.401692531389457e-15
299,2.5373128678024277e-15
300,2.6759873857039065e-15
301,2.8271598580376852e-15
302,2.981009129147283e-15
303,3.150707399426847e-15
304,3.320704302664587e-15
305,3.5087896283535578e-15
306,3.698262804297196e-15
307,3.905111995005027e-15
308,4.116200144684587e-15
309,4.343753414539062e-15
310,4.578801120362335e-15
311,4.829198445336642e-15
312,5.090773827642566e-15
313,5.366376090866818e-15
314,5.657291127777163e-15
315,5.960703685606803e-15
316,6.284036533490789e-15
317,6.618135336702315e-15
318,6.977254497907188e-15
319,7.345214938342012e-15
320,7.743805306868487e-15
321,8.149134004392811e-15
322,8.59122489040077e-15
323,9.037794671324882e-15
324,9.527789936370224e-15
325,1.0019878285061293e-14
326,1.0562588737577095e-14
327,1.1106254245358133e-14
328,1.1706949936988934e-14
329,1.2310072302019993e-14
330,1.2970282368403335e-14
331,1.363888610107226e-14
332,1.4364572412957916e-14
333,1.5105249356390395e-14
334,1.5902982240409993e-14
335,1.67229364111243e-14
336,1.7599955142388656e-14
337,1.8507052653143602e-14
338,1.94713322498687e-14
339,2.047415585182952e-14
340,2.1534480563362872e-14
341,2.2642388693917274e-14
342,2.3808432661916323e-14
343,2.503162310047609e-14
344,2.6316394475478086e-14
345,2.767101172938005e-14
346,2.9077642672741895e-14
347,3.057667127292724e-14
348,3.2117014536668234e-14
349,3.377463288731343e-14
350,3.5461747248770274e-14
351,3.7293414574683884e-14
352,3.9141680625947476e-14
353,4.116423497816162e-14
354,4.319034859693315e-14
355,4.5421249958665985e-14
356,4.7656943215207765e-14
357,5.01018116655726e-14
358,5.2567046976916515e-14
359,5.524675064048803e-14
360,5.796322179096537e-14
361,6.090068205972523e-14
362,6.389194900809302e-14
363,6.714664419454267e-14
364,7.048269432505732e-14
365,7.398479153256857e-14
366,7.770193588822836e-14
367,8.14687989519405e-14
368,8.56070240257255e-14
369,8.97525314976381e-14
370,9.42605715556193e-14
371,9.887187347810476e-14
372,1.0373088909875256e-13
373,1.0885616313091372e-13
374,1.1409246759973526e-13
375,1.1978442689301863e-13
376,1.2548640282697458e-13
377,1.317427702266325e-13
378,1.3807014394794085e-13
379,1.4482499619880965e-13
380,1.5184079053047698e-13
381,1.5913327896077967e-13
382,1.669062543535478e-13
383,1.7477889628007057e-13
384,1.8338401346950977e-13
385,1.9200427383936999e-13
386,2.014019436264886e-13
387,2.1093761335216026e-13
388,2.2110537272032773e-13
389,2.316553068911071e-13
390,2.426343404412721e-13
391,2.5429709765531544e-13
392,2.661525033391443e-13
393,2.7903530054977527e-13
394,2.919407687499416e-13
395,3.0605728507853933e-13
396,3.203016803937866e-13
397,3.3556674208567287e-13
398,3.5127685042966463e-13
399,3.677850549248714e-13
400,3.850984691145234e-13
401,4.0295278117792255e-13
402,4.2201871324892204e-13
403,4.4133125204024584e-13
404,4.623113989232178e-13
405,4.833284664128368e-13
406,5.062737622440171e-13
407,5.293838246938808e-13
408,5.542283766965905e-13
409,5.796212576728506e-13
410,6.06525216327838e-13
411,6.344061952030921e-13
412,6.635438744894054e-13
413,6.941347952144017e-13
414,7.256959484563485e-13
415,7.592363966893158e-13
416,7.934276008342777e-13
417,8.301761529543015e-13
418,8.672237481540784e-13
419,9.07480035790205e-13
420,9.478071659499772e-13
421,9.916682231622692e-13
422,1.0358144471923088e-12
423,1.0833302150752095e-12
424,1.1316245168569551e-12
425,1.183375342018379e-12
426,1.2365514126712094e-12
427,1.2920771865930692e-12
428,1.3505837867802931e-12
429,1.4101485608004255e-12
430,1.4744725208017354e-12
431,1.5389096773222247e-12
432,1.6090289621987823e-12
433,1.6798221403043852e-12
434,1.7551294521381515e-12
435,1.832850668684623e-12
436,1.913720224561843e-12
437,1.9989881808361804e-12
438,2.085822694882718e-12
439,2.1793060989651895e-12
440,2.272954013999733e-12
441,2.374960277653271e-12
