,0
0,1.635026645136849e-91
1,1.6350266448086333e-91
2,1.6350266444798392e-91
3,1.6350266441504669e-91
4,1.635026643820515e-91
5,1.6350266434899822e-91
6,1.6350266431588677e-91
7,1.6350266428271711e-91
8,1.6350266424948903e-91
9,1.635026642162025e-91
10,1.6350266418285734e-91
11,1.6350266414945357e-91
12,1.6350266411599102e-91
13,1.6350266408246956e-91
14,1.6350266404888906e-91
15,1.6350266401524954e-91
16,1.6350266398155076e-91
17,1.6350266394779272e-91
18,1.6350266391397523e-91
19,1.635026638800983e-91
20,1.6350266384616175e-91
21,1.6350266381216535e-91
22,1.6350266377810922e-91
23,1.635026637439932e-91
24,1.6350266370981705e-91
25,1.635026636755808e-91
26,1.6350266364128434e-91
27,1.635026636069275e-91
28,1.6350266357251015e-91
29,1.6350266353803229e-91
30,1.635026635034937e-91
31,1.6350266346889438e-91
32,1.6350266343423418e-91
33,1.63502663399513e-91
34,1.6350266336473062e-91
35,1.6350266332988713e-91
36,1.6350266329498227e-91
37,1.6350266326001598e-91
38,1.635026632249882e-91
39,1.635026631898988e-91
40,1.6350266315474758e-91
41,1.635026631195345e-91
42,1.6350266308425947e-91
43,1.6350266304892241e-91
44,1.6350266301352308e-91
45,1.6350266297806154e-91
46,1.6350266294253757e-91
47,1.6350266290695108e-91
48,1.635026628713019e-91
49,1.6350266283559007e-91
50,1.6350266279981536e-91
51,1.6350266276397775e-91
52,1.63502662728077e-91
53,1.635026626921131e-91
54,1.6350266265608593e-91
55,1.635026626199953e-91
56,1.6350266258384123e-91
57,1.635026625476235e-91
58,1.6350266251134203e-91
59,1.6350266247499674e-91
60,1.6350266243858746e-91
61,1.635026624021141e-91
62,1.6350266236557657e-91
63,1.6350266232897474e-91
64,1.6350266229230848e-91
65,1.635026622555777e-91
66,1.6350266221878233e-91
67,1.635026621819222e-91
68,1.6350266214499716e-91
69,1.6350266210800717e-91
70,1.635026620709521e-91
71,1.6350266203383176e-91
72,1.6350266199664616e-91
73,1.6350266195939508e-91
74,1.6350266192207845e-91
75,1.635026618846962e-91
76,1.635026618472481e-91
77,1.6350266180973413e-91
78,1.6350266177215412e-91
79,1.63502661734508e-91
80,1.6350266169679564e-91
81,1.6350266165901693e-91
82,1.635026616211717e-91
83,1.6350266158325985e-91
84,1.6350266154528133e-91
85,1.6350266150723596e-91
86,1.635026614691236e-91
87,1.6350266143094422e-91
88,1.6350266139269766e-91
89,1.6350266135438376e-91
90,1.6350266131600244e-91
91,1.6350266127755362e-91
92,1.6350266123903708e-91
93,1.6350266120045283e-91
94,1.6350266116180058e-91
95,1.635026611230804e-91
96,1.6350266108429206e-91
97,1.6350266104543538e-91
98,1.6350266100651043e-91
99,1.6350266096751694e-91
100,1.6350266092845482e-91
101,1.6350266088932393e-91
102,1.6350266085012422e-91
103,1.6350266081085555e-91
104,1.6350266077151773e-91
105,1.635026607321107e-91
106,1.635026606926343e-91
107,1.6350266065308848e-91
108,1.6350266061347302e-91
109,1.6350266057378785e-91
110,1.6350266053403292e-91
111,1.6350266049420793e-91
112,1.6350266045431288e-91
113,1.6350266041434766e-91
114,1.6350266037431207e-91
115,1.6350266033420604e-91
116,1.6350266029402946e-91
117,1.6350266025378213e-91
118,1.6350266021346403e-91
119,1.6350266017307492e-91
120,1.635026601326147e-91
121,1.6350266009208337e-91
122,1.635026600514807e-91
123,1.6350266001080656e-91
124,1.6350265997006082e-91
125,1.6350265992924337e-91
126,1.6350265988835418e-91
127,1.6350265984739296e-91
128,1.6350265980635963e-91
129,1.6350265976525412e-91
130,1.6350265972407628e-91
131,1.6350265968282596e-91
132,1.6350265964150306e-91
133,1.6350265960010746e-91
134,1.63502659558639e-91
135,1.6350265951709758e-91
136,1.6350265947548302e-91
137,1.6350265943379523e-91
138,1.6350265939203414e-91
139,1.6350265935019945e-91
140,1.6350265930829123e-91
141,1.6350265926630922e-91
142,1.6350265922425336e-91
143,1.6350265918212348e-91
144,1.6350265913991943e-91
145,1.6350265909764112e-91
146,1.6350265905528844e-91
147,1.6350265901286123e-91
148,1.635026589703593e-91
149,1.635026589277826e-91
150,1.63502658885131e-91
151,1.6350265884240434e-91
152,1.6350265879960246e-91
153,1.635026587567253e-91
154,1.6350265871377264e-91
155,1.635026586707444e-91
156,1.6350265862764048e-91
157,1.6350265858446068e-91
158,1.6350265854120487e-91
159,1.63502658497873e-91
160,1.635026584544648e-91
161,1.6350265841098025e-91
162,1.635026583674192e-91
163,1.6350265832378148e-91
164,1.6350265828006694e-91
165,1.6350265823627546e-91
166,1.6350265819240698e-91
167,1.6350265814846126e-91
168,1.6350265810443818e-91
169,1.6350265806033768e-91
170,1.6350265801615957e-91
171,1.6350265797190365e-91
172,1.6350265792756994e-91
173,1.6350265788315812e-91
174,1.6350265783866818e-91
175,1.6350265779409994e-91
176,1.6350265774945333e-91
177,1.635026577047281e-91
178,1.6350265765992412e-91
179,1.635026576150414e-91
180,1.6350265757007962e-91
181,1.6350265752503877e-91
182,1.635026574799186e-91
183,1.6350265743471909e-91
184,1.6350265738943998e-91
185,1.635026573440812e-91
186,1.6350265729864265e-91
187,1.6350265725312406e-91
188,1.6350265720752539e-91
189,1.635026571618465e-91
190,1.6350265711608724e-91
191,1.6350265707024737e-91
192,1.6350265702432694e-91
193,1.6350265697832563e-91
194,1.635026569322434e-91
195,1.6350265688608005e-91
196,1.6350265683983547e-91
197,1.6350265679350955e-91
198,1.6350265674710204e-91
199,1.6350265670061288e-91
200,1.6350265665404192e-91
201,1.6350265660738901e-91
202,1.63502656560654e-91
203,1.6350265651383674e-91
204,1.635026564669371e-91
205,1.635026564199549e-91
206,1.6350265637289004e-91
207,1.6350265632574237e-91
208,1.6350265627851174e-91
209,1.6350265623119792e-91
210,1.635026561838009e-91
211,1.6350265613632047e-91
212,1.6350265608875648e-91
213,1.6350265604110878e-91
214,1.6350265599337725e-91
215,1.6350265594556169e-91
216,1.6350265589766205e-91
217,1.6350265584967804e-91
218,1.6350265580160961e-91
219,1.6350265575345663e-91
220,1.6350265570521883e-91
221,1.635026556568962e-91
222,1.6350265560848853e-91
223,1.6350265555999567e-91
224,1.6350265551141748e-91
225,1.6350265546275379e-91
226,1.6350265541400444e-91
227,1.635026553651693e-91
228,1.6350265531624825e-91
229,1.635026552672411e-91
230,1.6350265521814774e-91
231,1.635026551689679e-91
232,1.635026551197016e-91
233,1.635026550703486e-91
234,1.6350265502090869e-91
235,1.6350265497138181e-91
236,1.6350265492176782e-91
237,1.6350265487206643e-91
238,1.6350265482227763e-91
239,1.6350265477240118e-91
240,1.6350265472243696e-91
241,1.6350265467238488e-91
242,1.6350265462224467e-91
243,1.6350265457201625e-91
244,1.6350265452169937e-91
245,1.63502654471294e-91
246,1.635026544207999e-91
247,1.6350265437021696e-91
248,1.6350265431954498e-91
249,1.6350265426878386e-91
250,1.6350265421793335e-91
251,1.6350265416699347e-91
252,1.635026541159639e-91
253,1.6350265406484448e-91
254,1.6350265401363513e-91
255,1.6350265396233564e-91
256,1.6350265391094587e-91
257,1.6350265385946573e-91
258,1.6350265380789493e-91
259,1.6350265375623338e-91
260,1.6350265370448095e-91
261,1.6350265365263745e-91
262,1.635026536007027e-91
263,1.6350265354867657e-91
264,1.6350265349655887e-91
265,1.6350265344434947e-91
266,1.6350265339204815e-91
267,1.6350265333965486e-91
268,1.635026532871693e-91
269,1.6350265323459142e-91
270,1.63502653181921e-91
271,1.635026531291579e-91
272,1.6350265307630191e-91
273,1.6350265302335292e-91
274,1.635026529703108e-91
275,1.635026529171753e-91
276,1.635026528639463e-91
277,1.6350265281062362e-91
278,1.6350265275720705e-91
279,1.6350265270369658e-91
280,1.6350265265009188e-91
281,1.635026525963929e-91
282,1.6350265254259934e-91
283,1.6350265248871117e-91
284,1.6350265243472814e-91
285,1.6350265238065014e-91
286,1.63502652326477e-91
287,1.6350265227220848e-91
288,1.6350265221784443e-91
289,1.6350265216338478e-91
290,1.6350265210882926e-91
291,1.6350265205417772e-91
292,1.6350265199943008e-91
293,1.63502651944586e-91
294,1.6350265188964546e-91
295,1.6350265183460823e-91
296,1.6350265177947407e-91
297,1.6350265172424303e-91
298,1.6350265166891467e-91
299,1.6350265161348904e-91
300,1.635026515579658e-91
301,1.6350265150234492e-91
302,1.6350265144662606e-91
303,1.635026513908092e-91
304,1.6350265133489412e-91
305,1.6350265127888062e-91
306,1.6350265122276859e-91
307,1.6350265116655777e-91
308,1.6350265111024805e-91
309,1.6350265105383925e-91
310,1.6350265099733118e-91
311,1.6350265094072362e-91
312,1.635026508840165e-91
313,1.6350265082720954e-91
314,1.6350265077030265e-91
315,1.6350265071329564e-91
316,1.6350265065618824e-91
317,1.6350265059898039e-91
318,1.6350265054167184e-91
319,1.6350265048426247e-91
320,1.6350265042675205e-91
321,1.6350265036914043e-91
322,1.635026503114274e-91
323,1.6350265025361286e-91
324,1.6350265019569654e-91
325,1.6350265013767836e-91
326,1.6350265007955798e-91
327,1.635026500213354e-91
328,1.635026499630103e-91
329,1.635026499045826e-91
330,1.6350264984605206e-91
331,1.6350264978741855e-91
332,1.6350264972868184e-91
333,1.6350264966984174e-91
334,1.6350264961089815e-91
335,1.6350264955185077e-91
336,1.6350264949269952e-91
337,1.6350264943344417e-91
338,1.6350264937408456e-91
339,1.6350264931462044e-91
340,1.635026492550517e-91
341,1.6350264919537816e-91
342,1.6350264913559957e-91
343,1.6350264907571579e-91
344,1.6350264901572665e-91
345,1.6350264895563192e-91
346,1.6350264889543142e-91
347,1.6350264883512503e-91
348,1.6350264877471247e-91
349,1.6350264871419358e-91
350,1.635026486535682e-91
351,1.635026485928362e-91
352,1.635026485319973e-91
353,1.635026484710513e-91
354,1.6350264840999803e-91
355,1.6350264834883735e-91
356,1.63502648287569e-91
357,1.635026482261929e-91
358,1.6350264816470878e-91
359,1.6350264810311641e-91
360,1.6350264804141573e-91
361,1.635026479796064e-91
362,1.6350264791768835e-91
363,1.6350264785566126e-91
364,1.6350264779352513e-91
365,1.6350264773127953e-91
366,1.6350264766892452e-91
367,1.6350264760645964e-91
368,1.6350264754388493e-91
369,1.6350264748120008e-91
370,1.635026474184049e-91
371,1.6350264735549925e-91
372,1.6350264729248289e-91
373,1.635026472293556e-91
374,1.6350264716611724e-91
375,1.635026471027676e-91
376,1.6350264703930645e-91
377,1.6350264697573368e-91
378,1.6350264691204899e-91
379,1.635026468482522e-91
380,1.6350264678434322e-91
381,1.6350264672032173e-91
382,1.635026466561876e-91
383,1.6350264659194055e-91
384,1.6350264652758047e-91
385,1.6350264646310714e-91
386,1.6350264639852036e-91
387,1.6350264633381992e-91
388,1.635026462690056e-91
389,1.635026462040772e-91
390,1.6350264613903457e-91
391,1.635026460738775e-91
392,1.6350264600860575e-91
393,1.635026459432191e-91
394,1.6350264587771745e-91
395,1.635026458121005e-91
396,1.6350264574636802e-91
397,1.6350264568051996e-91
398,1.6350264561455597e-91
399,1.6350264554847592e-91
400,1.6350264548227956e-91
401,1.6350264541596674e-91
402,1.6350264534953717e-91
403,1.6350264528299072e-91
404,1.6350264521632715e-91
405,1.6350264514954634e-91
406,1.6350264508264797e-91
407,1.6350264501563186e-91
408,1.6350264494849782e-91
409,1.635026448812456e-91
410,1.635026448138751e-91
411,1.63502644746386e-91
412,1.6350264467877815e-91
413,1.6350264461105128e-91
414,1.6350264454320526e-91
415,1.6350264447523988e-91
416,1.6350264440715487e-91
417,1.6350264433894998e-91
418,1.6350264427062514e-91
419,1.6350264420218006e-91
420,1.6350264413361454e-91
421,1.6350264406492832e-91
422,1.6350264399612124e-91
423,1.6350264392719306e-91
424,1.6350264385814364e-91
425,1.6350264378897262e-91
426,1.6350264371967993e-91
427,1.6350264365026527e-91
428,1.6350264358072852e-91
429,1.6350264351106933e-91
430,1.6350264344128754e-91
431,1.6350264337138302e-91
432,1.6350264330135545e-91
433,1.6350264323120466e-91
434,1.635026431609304e-91
435,1.6350264309053248e-91
436,1.6350264302001067e-91
437,1.6350264294936475e-91
438,1.635026428785945e-91
439,1.6350264280769974e-91
440,1.635026427366802e-91
441,1.635026426655357e-91
442,1.6350264259426602e-91
443,1.635026425228709e-91
444,1.635026424513501e-91
445,1.6350264237970346e-91
446,1.6350264230793074e-91
447,1.635026422360317e-91
448,1.635026421640062e-91
449,1.635026420918539e-91
450,1.6350264201957462e-91
451,1.6350264194716816e-91
452,1.6350264187463427e-91
453,1.635026418019727e-91
454,1.635026417291833e-91
455,1.6350264165626584e-91
456,1.6350264158322004e-91
457,1.6350264151004567e-91
458,1.6350264143674251e-91
459,1.6350264136331043e-91
460,1.6350264128974902e-91
461,1.6350264121605825e-91
462,1.6350264114223779e-91
463,1.6350264106828737e-91
464,1.6350264099420685e-91
465,1.6350264091999594e-91
466,1.6350264084565446e-91
467,1.6350264077118213e-91
468,1.6350264069657878e-91
469,1.6350264062184408e-91
470,1.6350264054697792e-91
471,1.6350264047198002e-91
472,1.6350264039685013e-91
473,1.6350264032158798e-91
474,1.6350264024619348e-91
475,1.635026401706662e-91
476,1.6350264009500604e-91
477,1.6350264001921272e-91
478,1.635026399432861e-91
479,1.635026398672258e-91
480,1.6350263979103166e-91
481,1.6350263971470343e-91
482,1.6350263963824086e-91
483,1.6350263956164374e-91
484,1.6350263948491187e-91
485,1.6350263940804492e-91
486,1.6350263933104272e-91
487,1.63502639253905e-91
488,1.6350263917663157e-91
489,1.6350263909922214e-91
490,1.6350263902167647e-91
491,1.635026389439944e-91
492,1.6350263886617548e-91
493,1.6350263878821972e-91
494,1.6350263871012677e-91
495,1.6350263863189634e-91
496,1.635026385535283e-91
497,1.635026384750223e-91
498,1.6350263839637827e-91
499,1.6350263831759568e-91
500,1.6350263823867453e-91
501,1.6350263815961447e-91
502,1.6350263808041533e-91
503,1.6350263800107677e-91
