,0
0,7.82464824441825e-11
1,8.524771870597208e-11
2,9.286266833513444e-11
3,1.0112466712796123e-10
4,1.1007097538202989e-10
5,1.1974262910315227e-10
6,1.301843477596363e-10
7,1.4151919640709427e-10
8,1.5378579598453074e-10
9,1.669971469114055e-10
10,1.8121430087063023e-10
11,1.9652254126810167e-10
12,2.1317630199334074e-10
13,2.3110412817679345e-10
14,2.503963779635451e-10
15,2.711504115730544e-10
16,2.9347127713982186e-10
17,3.1747250460823323e-10
18,3.433723432234191e-10
19,3.7131687175691227e-10
20,4.013555604321278e-10
21,4.336304360126703e-10
22,4.682943885926884e-10
23,5.055101920502701e-10
24,5.454506971951916e-10
25,5.882993839674576e-10
26,6.342509416938379e-10
27,6.83565236381852e-10
28,7.367070270621548e-10
29,7.940229252699953e-10
30,8.553578076651692e-10
31,9.220973232012901e-10
32,9.933130218450402e-10
33,1.0692603047079882e-09
34,1.1502193883429829e-09
35,1.2372179868920547e-09
36,1.3312198264621772e-09
37,1.4313768375958757e-09
38,1.5380350929648956e-09
39,1.6515574891916252e-09
40,1.7739711258981703e-09
41,1.9053771619853365e-09
42,2.0452623075260184e-09
43,2.1940985880319667e-09
44,2.3523877548389115e-09
45,2.5227411230337345e-09
46,2.705171675772219e-09
47,2.8992654115699202e-09
48,3.1057877957622416e-09
49,3.3255551307247337e-09
50,3.5594374817433797e-09
51,3.809992272721295e-09
52,4.077971895897091e-09
53,4.363115631693813e-09
54,4.666522947803461e-09
55,4.989360524274861e-09
56,5.332865398493072e-09
57,5.698348187285842e-09
58,6.08719639795614e-09
59,6.5008778391919205e-09
60,6.94094414274864e-09
61,7.409193642419698e-09
62,7.908594561077555e-09
63,8.439413537832842e-09
64,9.00354599737365e-09
65,9.602989501826162e-09
66,1.0239848236756956e-08
67,1.0916337725827186e-08
68,1.1634789801316751e-08
69,1.2397657861981758e-08
70,1.3207522454262568e-08
71,1.4067097218459636e-08
72,1.4979235247892206e-08
73,1.594693591641134e-08
74,1.69749601947268e-08
75,1.8066634109750444e-08
76,1.9224471230398036e-08
77,2.0452182062557987e-08
78,2.176048191153784e-08
79,2.3142217237845657e-08
80,2.4624898058361448e-08
81,2.6193090774247172e-08
82,2.7850215321905584e-08
83,2.9607573944052464e-08
84,3.145560584964196e-08
85,3.345193417352446e-08
86,3.5551961386479055e-08
87,3.775960481050214e-08
88,4.0093463556795995e-08
89,4.259745926414833e-08
90,4.52303369325603e-08
91,4.7997026760174044e-08
92,5.093096360876446e-08
93,5.406404666371156e-08
94,5.7357070666161156e-08
95,6.081623172793283e-08
96,6.448832058378804e-08
97,6.842358652722847e-08
98,7.253838928523783e-08
99,7.686554143257657e-08
100,8.151743015153402e-08
101,8.636937506823788e-08
102,9.146507169489077e-08
103,9.694351837697517e-08
104,1.0265834562480337e-07
105,1.0864346374332529e-07
106,1.1508788940825605e-07
107,1.2181139565323836e-07
108,1.2882347045589523e-07
109,1.3639522564680364e-07
110,1.4432355371354453e-07
111,1.5257086881515062e-07
112,1.6148843910875858e-07
113,1.7073489802817896e-07
114,1.8047140311511332e-07
115,1.908653119983678e-07
