,0
0,1.0062707531676133e-89
1,1.006270752371199e-89
2,1.0062707515733836e-89
3,1.0062707507741638e-89
4,1.006270749973538e-89
5,1.0062707491715031e-89
6,1.0062707483680572e-89
7,1.006270747563197e-89
8,1.0062707467569208e-89
9,1.0062707459492254e-89
10,1.006270745140109e-89
11,1.0062707443295688e-89
12,1.006270743517602e-89
13,1.0062707427042064e-89
14,1.0062707418893799e-89
15,1.0062707410731192e-89
16,1.0062707402554222e-89
17,1.0062707394362863e-89
18,1.0062707386157087e-89
19,1.0062707377936875e-89
20,1.0062707369702195e-89
21,1.0062707361453023e-89
22,1.0062707353189337e-89
23,1.006270734491111e-89
24,1.0062707336618313e-89
25,1.0062707328310926e-89
26,1.0062707319988918e-89
27,1.0062707311652267e-89
28,1.0062707303300944e-89
29,1.0062707294934927e-89
30,1.0062707286554185e-89
31,1.00627072781587e-89
32,1.0062707269748439e-89
33,1.0062707261323379e-89
34,1.0062707252883492e-89
35,1.0062707244428755e-89
36,1.006270723595914e-89
37,1.0062707227474615e-89
38,1.0062707218975167e-89
39,1.0062707210460759e-89
40,1.0062707201931367e-89
41,1.006270719338697e-89
42,1.0062707184827535e-89
43,1.0062707176253038e-89
44,1.006270716766345e-89
45,1.0062707159058748e-89
46,1.0062707150438903e-89
47,1.0062707141803891e-89
48,1.0062707133153685e-89
49,1.0062707124488256e-89
50,1.0062707115807578e-89
51,1.0062707107111627e-89
52,1.0062707098400371e-89
53,1.0062707089673784e-89
54,1.006270708093184e-89
55,1.0062707072174517e-89
56,1.0062707063401782e-89
57,1.006270705461361e-89
58,1.0062707045809972e-89
59,1.0062707036990845e-89
60,1.0062707028156194e-89
61,1.0062707019306001e-89
62,1.0062707010440231e-89
63,1.006270700155886e-89
64,1.0062706992661859e-89
65,1.0062706983749206e-89
66,1.0062706974820866e-89
67,1.0062706965876817e-89
68,1.0062706956917026e-89
69,1.0062706947941469e-89
70,1.0062706938950118e-89
71,1.0062706929942946e-89
72,1.0062706920919924e-89
73,1.0062706911881023e-89
74,1.0062706902826215e-89
75,1.0062706893755476e-89
76,1.0062706884668773e-89
77,1.006270687556608e-89
78,1.006270686644737e-89
79,1.006270685731261e-89
80,1.0062706848161781e-89
81,1.0062706838994845e-89
82,1.0062706829811778e-89
83,1.0062706820612553e-89
84,1.0062706811397143e-89
85,1.006270680216551e-89
86,1.0062706792917632e-89
87,1.0062706783653485e-89
88,1.0062706774373035e-89
89,1.0062706765076251e-89
90,1.0062706755763109e-89
91,1.0062706746433577e-89
92,1.0062706737087632e-89
93,1.0062706727725235e-89
94,1.006270671834637e-89
95,1.0062706708950994e-89
96,1.0062706699539089e-89
97,1.0062706690110618e-89
98,1.0062706680665555e-89
99,1.0062706671203875e-89
100,1.0062706661725546e-89
101,1.0062706652230534e-89
102,1.0062706642718814e-89
103,1.0062706633190359e-89
104,1.0062706623645136e-89
105,1.0062706614083112e-89
106,1.0062706604504263e-89
107,1.0062706594908562e-89
108,1.0062706585295973e-89
109,1.0062706575666468e-89
110,1.0062706566020016e-89
111,1.0062706556356594e-89
112,1.0062706546676163e-89
113,1.0062706536978697e-89
114,1.006270652726417e-89
115,1.0062706517532545e-89
116,1.0062706507783795e-89
117,1.006270649801789e-89
118,1.0062706488234799e-89
119,1.0062706478434493e-89
120,1.0062706468616944e-89
121,1.0062706458782117e-89
122,1.0062706448929983e-89
123,1.0062706439060511e-89
124,1.006270642917367e-89
125,1.0062706419269436e-89
126,1.0062706409347772e-89
127,1.0062706399408649e-89
128,1.0062706389452033e-89
129,1.00627063794779e-89
130,1.0062706369486212e-89
131,1.0062706359476941e-89
132,1.0062706349450058e-89
133,1.0062706339405533e-89
134,1.0062706329343328e-89
135,1.0062706319263418e-89
136,1.006270630916577e-89
137,1.0062706299050355e-89
138,1.0062706288917141e-89
139,1.006270627876609e-89
140,1.0062706268597178e-89
141,1.0062706258410374e-89
142,1.0062706248205642e-89
143,1.006270623798295e-89
144,1.0062706227742273e-89
145,1.0062706217483576e-89
146,1.0062706207206825e-89
147,1.0062706196911986e-89
148,1.0062706186599035e-89
149,1.0062706176267936e-89
150,1.0062706165918656e-89
151,1.0062706155551168e-89
152,1.0062706145165433e-89
153,1.006270613476142e-89
154,1.00627061243391e-89
155,1.006270611389844e-89
156,1.006270610343941e-89
157,1.0062706092961973e-89
