,0
0,4.5633563149636624e-91
1,4.5633563121462577e-91
2,4.5633563093238966e-91
3,4.563356306496567e-91
4,4.5633563036642616e-91
5,4.5633563008269735e-91
6,4.563356297984691e-91
7,4.563356295137407e-91
8,4.5633562922851137e-91
9,4.5633562894277995e-91
10,4.5633562865654574e-91
11,4.563356283698079e-91
12,4.563356280825654e-91
13,4.5633562779481735e-91
14,4.56335627506563e-91
15,4.5633562721780136e-91
16,4.563356269285315e-91
17,4.563356266387527e-91
18,4.5633562634846385e-91
19,4.563356260576643e-91
20,4.5633562576635286e-91
21,4.5633562547452883e-91
22,4.5633562518219124e-91
23,4.5633562488933925e-91
24,4.5633562459597184e-91
25,4.563356243020882e-91
26,4.5633562400768737e-91
27,4.5633562371276845e-91
28,4.563356234173305e-91
29,4.563356231213727e-91
30,4.563356228248941e-91
31,4.5633562252789363e-91
32,4.5633562223037056e-91
33,4.56335621932324e-91
34,4.5633562163375286e-91
35,4.563356213346563e-91
36,4.5633562103503346e-91
37,4.5633562073488334e-91
38,4.56335620434205e-91
39,4.5633562013299754e-91
40,4.563356198312599e-91
41,4.563356195289914e-91
42,4.5633561922619097e-91
43,4.5633561892285756e-91
44,4.5633561861899047e-91
45,4.563356183145886e-91
46,4.5633561800965094e-91
47,4.5633561770417686e-91
48,4.5633561739816507e-91
49,4.563356170916148e-91
50,4.563356167845251e-91
51,4.56335616476895e-91
52,4.563356161687235e-91
53,4.563356158600096e-91
54,4.563356155507525e-91
55,4.5633561524095115e-91
56,4.563356149306046e-91
57,4.5633561461971206e-91
58,4.5633561430827226e-91
59,4.5633561399628444e-91
60,4.563356136837477e-91
61,4.563356133706607e-91
62,4.56335613057023e-91
63,4.563356127428331e-91
64,4.5633561242809056e-91
65,4.5633561211279393e-91
66,4.563356117969426e-91
67,4.563356114805354e-91
68,4.563356111635713e-91
69,4.5633561084604955e-91
70,4.5633561052796885e-91
71,4.563356102093286e-91
72,4.5633560989012745e-91
73,4.5633560957036456e-91
74,4.5633560925003905e-91
75,4.563356089291499e-91
76,4.5633560860769595e-91
77,4.563356082856764e-91
78,4.5633560796309e-91
79,4.563356076399359e-91
80,4.563356073162133e-91
81,4.5633560699192094e-91
82,4.5633560666705787e-91
83,4.563356063416232e-91
84,4.563356060156158e-91
85,4.563356056890346e-91
86,4.563356053618787e-91
87,4.5633560503414714e-91
88,4.563356047058387e-91
89,4.563356043769527e-91
90,4.563356040474879e-91
91,4.5633560371744327e-91
92,4.56335603386818e-91
93,4.5633560305561063e-91
94,4.563356027238205e-91
95,4.5633560239144656e-91
96,4.563356020584876e-91
97,4.563356017249428e-91
98,4.5633560139081095e-91
99,4.563356010560912e-91
100,4.563356007207824e-91
101,4.563356003848833e-91
102,4.5633560004839337e-91
103,4.563355997113112e-91
104,4.563355993736358e-91
105,4.563355990353663e-91
106,4.5633559869650134e-91
107,4.563355983570402e-91
108,4.5633559801698147e-91
109,4.563355976763244e-91
110,4.56335597335068e-91
111,4.563355969932109e-91
112,4.563355966507522e-91
113,4.563355963076909e-91
114,4.5633559596402596e-91
115,4.56335595619756e-91
116,4.5633559527488057e-91
117,4.5633559492939796e-91
118,4.5633559458330734e-91
119,4.563355942366079e-91
120,4.563355938892982e-91
121,4.563355935413773e-91
122,4.5633559319284416e-91
123,4.5633559284369766e-91
124,4.5633559249393677e-91
125,4.563355921435604e-91
126,4.5633559179256737e-91
127,4.563355914409567e-91
128,4.5633559108872724e-91
129,4.563355907358779e-91
130,4.563355903824077e-91
131,4.563355900283155e-91
132,4.5633558967360005e-91
133,4.563355893182604e-91
134,4.5633558896229555e-91
135,4.5633558860570415e-91
136,4.563355882484853e-91
137,4.563355878906378e-91
138,4.5633558753216056e-91
139,4.563355871730524e-91
140,4.5633558681331246e-91
141,4.5633558645293923e-91
142,4.563355860919319e-91
143,4.563355857302894e-91
144,4.5633558536801035e-91
145,4.563355850050938e-91
146,4.5633558464153864e-91
147,4.563355842773437e-91
148,4.5633558391250784e-91
149,4.5633558354702997e-91
150,4.563355831809089e-91
151,4.563355828141436e-91
152,4.563355824467327e-91
153,4.5633558207867536e-91
154,4.563355817099703e-91
155,4.5633558134061633e-91
156,4.5633558097061245e-91
157,4.5633558059995744e-91
158,4.563355802286502e-91
159,4.5633557985668945e-91
160,4.563355794840741e-91
161,4.563355791108032e-91
162,4.563355787368752e-91
163,4.5633557836228937e-91
164,4.5633557798704427e-91
165,4.5633557761113877e-91
166,4.563355772345718e-91
167,3.567351209276463e-15
168,1.079446433839688e-14
169,1.772348020101305e-14
170,2.456601844163566e-14
171,3.128486964649326e-14
172,3.7951644467455375e-14
173,4.4615211052860384e-14
174,5.130895845664512e-14
175,5.809196437614734e-14
176,6.495246787845383e-14
177,7.203882760986023e-14
178,7.927170436938949e-14
179,8.672042530233672e-14
180,9.448755127074278e-14
181,1.0240792466235385e-13
182,1.1085481998779027e-13
183,1.1953244286213376e-13
184,1.2862634742544787e-13
185,1.382220643669698e-13
186,1.4808084804411407e-13
187,1.5873827545547582e-13
188,1.6975614423009314e-13
189,1.813532893105449e-13
190,1.937111111747869e-13
191,2.064691712713445e-13
192,2.202449347108564e-13
193,2.346283323812447e-13
194,2.4967739506892385e-13
195,2.6590418623856845e-13
196,2.8270958556235247e-13
197,3.0065927951541765e-13
198,3.1966227454235306e-13
199,3.393531921858439e-13
200,3.610299284375247e-13
201,3.832200856584429e-13
202,4.072018076459184e-13
203,4.3220370059547556e-13
204,4.587263162494747e-13
205,4.868850413872126e-13
206,5.162046197903662e-13
207,5.479014301791714e-13
208,5.802959791883488e-13
209,6.159520725543999e-13
210,6.523976283150762e-13
211,6.918039785061447e-13
212,7.328392697754238e-13
213,7.762982797871558e-13
214,8.224605243285159e-13
215,8.703569831781205e-13
216,9.222391949403594e-13
217,9.75291049287378e-13
218,1.033246470754777e-12
219,1.0929141916618064e-12
220,1.156655074588568e-12
221,1.2236932054891873e-12
222,1.2937479940293014e-12
223,1.3690925242071967e-12
224,1.446170132875012e-12
225,1.530573380969434e-12
226,1.6168452384098001e-12
227,1.7097801463746654e-12
228,1.8064840026255558e-12
229,1.9085093378968192e-12
230,2.0167984215781755e-12
231,2.12872229940001e-12
232,2.2498638946349426e-12
233,2.373773029059437e-12
234,2.507944232703124e-12
235,2.646630533595086e-12
236,2.7935069736179e-12
237,2.9485659378121212e-12
238,3.10923978253217e-12
239,3.2824203649354833e-12
240,3.459734884486918e-12
241,3.651285623292469e-12
242,3.849401425491458e-12
243,4.058523939681384e-12
244,4.27963221704239e-12
245,4.507789054986815e-12
246,4.756118496098191e-12
247,5.0073358995158005e-12
248,5.282270787537399e-12
249,5.5612094577709894e-12
250,5.862888331490897e-12
251,6.172927221506714e-12
252,6.50549556704615e-12
253,6.847824792334488e-12
254,7.214094951565687e-12
255,7.592004780418837e-12
256,7.995012718580601e-12
257,8.412111233731578e-12
258,8.855131994303797e-12
259,9.315373150811278e-12
260,9.801937155018377e-12
261,1.030965093383305e-11
262,1.0843561176957301e-11
263,1.1403485974147754e-11
264,1.1988836166097286e-11
265,1.2606153559586201e-11
266,1.3247347256197077e-11
267,1.3927719296552895e-11
268,1.4629490068463592e-11
269,1.5379099246153537e-11
270,1.6146531932971502e-11
271,1.6972123980877044e-11
272,1.7810677079447025e-11
273,1.8719606776083675e-11
274,1.9638387577137435e-11
275,2.063541615862404e-11
276,2.164770273027709e-11
277,2.273455304342229e-11
278,2.384937183570632e-11
279,2.5033232697531475e-11
280,2.6260408032040267e-11
281,2.7548971780166938e-11
282,2.890029395639791e-11
283,3.030380531290148e-11
284,3.178844751957031e-11
285,3.3316030352163864e-11
286,3.4946505808285744e-11
287,3.6607968895796815e-11
288,3.8397841255990246e-11
289,4.020952333409443e-11
290,4.216769113391913e-11
291,4.415754477046191e-11
292,4.6283296074614267e-11
293,4.846770306339581e-11
294,5.077404838057553e-11
295,5.317075305065206e-11
296,5.567165079460806e-11
297,5.82998637599258e-11
298,6.101028646067722e-11
299,6.389079548749578e-11
300,6.682680086117297e-11
301,6.998208937846162e-11
302,7.318477012071953e-11
303,7.666208491285255e-11
304,8.014551903527728e-11
305,8.393498999550882e-11
306,8.774894697467788e-11
307,9.18502204590884e-11
308,9.602251190188579e-11
309,1.0046105219675589e-10
310,1.0502152775699236e-10
311,1.0982490181550618e-10
312,1.1480557773627649e-10
313,1.2000362512409722e-10
314,1.254388192428209e-10
315,1.310638344538529e-10
316,1.3699030799044982e-10
317,1.4307723587082504e-10
318,1.4953434229727676e-10
319,1.5612098734906635e-10
320,1.6315082863471322e-10
321,1.7027807900400848e-10
322,1.7792566953371932e-10
323,1.8563773652179104e-10
324,1.9395117498829035e-10
325,2.022958489588841e-10
326,2.1132649853637401e-10
327,2.2037304012482273e-10
328,2.3017696237659216e-10
329,2.400162471554001e-10
330,2.5059768273022283e-10
331,2.612913003512686e-10
332,2.72711339814117e-10
333,2.843250488806478e-10
334,2.9664955540010916e-10
335,3.0925352370848706e-10
336,3.225534887462741e-10
337,3.362225447301606e-10
338,3.5057446714471223e-10
339,3.653883629267344e-10
340,3.808746527356023e-10
341,3.9691833921197926e-10
342,4.136277473014297e-10
343,4.309916616828381e-10
344,4.4904711050522425e-10
345,4.67886029347768e-10
346,4.872978601319493e-10
347,5.077218183507038e-10
348,5.285929835209981e-10
349,5.50719086075095e-10
350,5.731604489987021e-10
351,5.971132525222942e-10
352,6.21244165575018e-10
353,6.471560762654378e-10
354,6.731135863715098e-10
355,7.011166835539118e-10
356,7.291776664275565e-10
357,7.592826528790356e-10
