,0
0,2.047257716770943e-07
1,2.1244062644294125e-07
2,2.203969020516059e-07
3,2.286001183582452e-07
4,2.3705587136741717e-07
5,2.457698374276188e-07
6,2.5474777576466334e-07
7,2.6401827661858646e-07
8,2.7358094790133574e-07
9,2.8342788355090746e-07
10,2.9356523031690897e-07
11,3.040043903504492e-07
12,3.147963674800618e-07
13,3.259080105438413e-07
14,3.373474614414819e-07
15,3.491231995696309e-07
16,3.6124408058923566e-07
17,3.737193791623639e-07
18,3.8657653214545645e-07
19,3.99825988551355e-07
20,4.1345998085812334e-07
21,4.274872735651698e-07
22,4.419171546949369e-07
23,4.567591401239175e-07
24,4.720229181204521e-07
25,4.877183520492024e-07
26,5.038554830391297e-07
27,5.204512284429066e-07
28,5.375449468914698e-07
29,5.551541993310521e-07
30,5.732424270796447e-07
31,5.919370023609439e-07
32,6.111143426995186e-07
33,6.30785097395383e-07
34,6.509612423593733e-07
35,6.717197235678117e-07
36,6.931178352401618e-07
37,7.150580294535677e-07
38,7.37552251938018e-07
39,7.606127084313574e-07
40,7.843701039314881e-07
41,8.087995273184898e-07
42,8.338410305481273e-07
43,8.595077119830928e-07
44,8.858133718904276e-07
45,9.128948035208179e-07
46,9.407187167617457e-07
47,9.692352825660497e-07
48,9.98464873930436e-07
49,1.028428047234537e-06
50,1.0591455532083088e-06
51,1.0907148704037943e-06
52,1.1231368179477517e-06
53,1.1563690018252817e-06
54,1.1904328097623891e-06
55,1.2253498236784267e-06
56,1.2611418158513605e-06
57,1.297830745103401e-06
58,1.3354387534276845e-06
59,1.3739881633195176e-06
60,1.4135014759864203e-06
61,1.4540065225770235e-06
62,1.495564110306432e-06
63,1.5381457109826607e-06
64,1.5817744999275093e-06
65,1.6264738499947402e-06
66,1.6722673370043824e-06
67,1.7191787467799217e-06
68,1.7672320839195362e-06
69,1.816451582455246e-06
70,1.8668617185704031e-06
71,1.918487225574662e-06
72,1.971353111359044e-06
73,2.0254846785919757e-06
74,2.080940095588673e-06
