,0
0,1307.052869798797
1,1342.9956877549846
2,1379.7315515773003
3,1417.2750845823202
4,1455.6410721726372
5,1494.844468862159
6,1534.9004013088404
7,1575.8241726234182
8,1617.6312548796113
9,1660.3372749098412
10,1703.9580250701185
11,1748.5094507233107
12,1794.0106556061153
13,1840.5238508547934
14,1888.011456366659
15,1936.4896827808884
16,1985.9748531118207
17,2036.4833928995117
18,2088.0318200462966
19,2140.6367344593473
20,2194.314807604885
21,2249.082772071921
22,2304.957411234756
23,2361.955549091532
24,2420.0940403495038
25,2479.389760817679
26,2540.309054703248
27,2602.1633463689845
28,2665.307921809834
29,2729.902126527678
30,2795.4815190509858
31,2862.3707980346553
32,2930.8118594437647
33,3000.290203636627
34,3071.0734137311592
35,3143.5383689851474
36,3217.140462337187
37,3292.089979701256
38,3368.804074767945
39,3446.5414931951077
40,3525.9501968009286
41,3606.9319666517135
42,3688.9800148523
43,3773.0250679988458
44,3858.454830458544
45,3945.0089091083364
46,4033.8605869061726
47,4123.997097771507
48,4215.522552525539
49,4309.257932555494
50,4404.080125287129
51,4500.941760661308
52,4599.607507736886
53,4699.4554801210425
54,4801.92321496641
55,4905.37169010557
56,5011.192613909364
57,5118.593645041835
58,5227.583321651681
59,5339.042717724026
60,5451.57309179392
61,5566.890266779328
62,5683.6354379294025
63,5802.309916988388
64,5923.379535843049
65,6045.614762991562
66,6170.982802060864
67,6297.7047016943725
68,6426.624964014546
69,6557.943069593119
70,6690.533175254697
71,6826.506506753378
72,6963.866430561325
73,7103.573234383886
74,7245.8197749613
75,7389.47003363265
76,7536.574101593105
77,7685.291253528078
78,7836.3117912785
79,7990.215804271216
80,8145.662563416338
81,8304.428643956251
82,8465.276676630112
83,8628.20163801728
84,8794.560143401048
85,8962.492379248039
86,9133.704236243793
87,9307.302324152937
88,9482.90694650406
89,9662.299161651368
90,9843.403258326396
91,10027.683812308323
92,10214.77805957745
93,10403.661226414777
94,10596.874877257413
95,10791.947922450065
96,10989.899137333536
97,11191.295759749288
98,11394.630928578817
99,11601.912951945174
100,11811.777132518908
101,12024.009295046926
102,12240.53938308389
103,12459.164537304652
104,12681.130178415318
105,12906.63223934776
106,13134.318183489113
107,13366.28251552183
108,13601.059853200073
109,13838.332015366845
110,14080.342671408584
111,14324.704861957467
112,14572.385852287332
113,14824.201168211861
114,15078.46397782957
115,15336.823377847022
116,15598.762452819203
117,15863.24774893293
118,16132.556683600882
119,16404.944656303785
120,16680.07225612018
121,16960.511394117515
122,17243.67934684858
123,17530.175930012818
124,17821.62641933638
125,18115.911277718897
126,18414.05183058826
127,18716.853702572156
128,19022.598131671937
129,19332.659004732166
130,19648.091041837346
131,19965.752651098996
132,20289.600134887463
133,20614.972380347386
134,20947.40597101565
135,21281.26556156814
136,21621.79110204276
137,21964.485973708495
138,22313.03998024568
139,22664.745313362637
140,23021.43892811167
141,23382.331411893392
142,23747.27611071331
143,24117.53392022757
144,24490.841508097732
145,24870.644281202527
146,25252.426887765392
147,25641.955702076633
148,26033.445179853767
149,26432.16588306634
150,26833.390402400357
151,27241.262344415827
152,27652.41307008655
153,28069.551342175128
154,28490.820825763498
155,28917.34073591216
156,29348.92287665981
157,29784.9399487298
158,30227.02996452735
159,30672.659938027424
160,31125.45433736211
161,31580.813167335335
162,32044.509721804177
163,32510.180730493765
164,32984.51129621474
165,33461.384787118994
166,33945.77566442992
167,34434.0530283428
168,34928.62083021219
169,35428.50461679229
170,35933.36617238557
171,36445.060065438214
172,36960.33242065975
173,37484.041214002675
174,38010.2675975567
175,38545.771206023775
176,39084.326520880124
177,39630.57446658987
178,40182.02917797503
179,40739.97355357791
180,41303.54994936588
181,41873.32786227896
182,42449.24109523027
183,43030.98990534433
184,43619.66713491027
185,44213.89628747856
186,44814.99369254299
187,45421.8480461403
188,46035.586745280576
189,46655.21137241746
190,47281.81411732399
191,47914.35429725279
192,48554.04543577255
193,49199.646655677156
194,49852.65209882556
195,50511.460055780924
196,51178.00724528043
197,51850.167848684025
198,52530.48572491356
199,53216.14509941676
200,53910.46406982568
201,54609.768558826516
202,55318.320466836616
203,56031.416636529015
204,56754.434730936846
205,57481.46937493769
206,58219.188279874
207,58960.308424497955
208,59712.964109979606
209,60468.31702017495
210,61236.146773290464
211,62006.23881281112
212,62789.12235606475
213,63574.72525961725
214,64372.08979767811
215,65173.55989759799
216,65985.38782817539
217,66803.06374951058
218,67629.34658205867
219,68463.54725988266
220,69304.28456959261
221,70155.31264929322
222,71010.51130942773
223,71878.65585338985
224,72751.25306717449
225,73633.86813237795
226,74524.12766239022
227,75421.23741148027
228,76329.41411767996
229,77242.82213087236
230,78167.39181420536
231,79099.19385114955
232,80038.33992069676
233,80988.7705505662
234,81945.09168672284
235,82911.82850133441
236,83887.21083531332
237,84868.87253755366
238,85863.31192092961
239,86864.44481660714
240,87873.67317715501
241,88894.49440663646
242,89922.12643673553
243,90959.30145896875
244,92007.01126892322
245,93061.85182039357
246,94127.15003645026
247,95202.44689499841
248,96285.96315254543
249,97383.3914045555
250,98485.8589445101
251,99602.40021338196
252,100724.55953426429
253,101862.60638100955
254,103002.65590878206
255,104161.22505732258
256,105323.02752601533
257,106498.74003757718
258,107682.5051048562
259,108875.63741162013
260,110081.57485056216
261,111292.40549756253
262,112520.7251995777
263,113751.20644051585
264,115001.00440117523
265,116254.7325547409
266,117522.00209730888
267,118799.17493616104
268,120084.23932581222
269,121385.05420281846
270,122688.23888354789
271,124012.8927339853
272,125339.87764761754
273,126683.21459008494
274,128034.27730077787
275,129396.54543562049
276,130771.88241697878
277,132153.41246441216
278,133553.21980028535
279,134955.490450897
280,136378.8177210642
281,137805.79783598735
282,139249.20584553824
283,140701.0911014536
284,142164.91516743763
285,143641.90087920325
286,145126.47794170256
287,146628.75907183514
288,148134.4276201737
289,149662.19878830865
290,151192.65845587163
291,152742.75428155588
292,154298.9434713448
293,155870.9608880061
294,157453.0739034376
295,159047.3549689685
296,160655.58579815546
297,162272.47385381674
298,163907.01617889313
299,165546.85578496894
300,167207.902991346
301,168871.8732300073
302,170558.7850501582
303,172249.50024987062
304,173960.20198726477
305,175677.8553069324
306,177412.69420187426
307,179157.4785307236
308,180916.80281205339
309,182688.91077872104
310,184473.0696078836
311,186272.69358945507
312,188082.03700615393
313,189909.36913716551
314,191744.2480065596
315,193599.48018791157
316,195460.24614931308
317,197343.57005718737
318,199230.5754742622
319,201142.18256893483
320,203057.15361930616
321,204998.39683005732
322,206944.60289642465
323,208909.154267092
324,210886.81044492664
325,212875.05851625826
326,214884.3793215155
327,216897.23603442597
328,218937.91368458266
329,220982.70504993587
330,223048.01871289723
331,225124.95845476005
332,227215.3005280967
333,229324.60180326385
334,231440.36611965817
335,233582.24152930072
336,235727.88610990348
337,237898.4848732878
338,240076.97334107247
339,242275.45102998024
340,244489.614542123
341,246710.3381607949
342,248960.62947068634
343,251214.88073669694
344,253490.2436733783
345,255780.94370807888
346,258079.0928267352
347,260406.49885267759
348,262738.0005375585
349,265092.18313810014
350,267460.71295336704
351,269838.63486287044
352,272244.4502704573
353,274654.4993180924
354,277089.85195181833
355,279537.5100829566
356,281997.55858355743
357,284483.0836861694
358,286972.98269816884
359,289491.8617736587
360,292019.9527939853
361,294564.48692331463
362,297131.02846006915
363,299702.0864750872
364,302306.8532498368
365,304916.68856596254
366,307548.0714737214
367,310196.9434209616
368,312855.81055196445
369,315546.958720662
370,318242.8426444603
371,320960.8696374177
372,323699.451755619
373,326442.85310093395
374,329221.88782121456
375,332009.56060128513
376,334808.1223936322
377,337640.35256189655
378,340477.56675466755
379,343335.9333671292
380,346218.05150739104
381,349105.241462644
382,352024.3296803269
383,354956.75174954935
384,357897.1915115008
385,360875.09315434936
386,363858.23516744975
387,366861.0565895841
388,369890.00444858236
389,372924.2825065394
390,375990.43342216744
391,379070.84298138897
392,382160.31545346783
393,385287.09997178183
394,388419.3868573619
395,391573.8470129753
396,394752.8327924791
397,397937.41280054883
398,401157.80466513213
399,404389.4069690641
400,407635.09741847287
401,410913.961745144
402,414198.596061904
403,417511.87179539097
404,420844.08998645796
405,424183.93281747075
406,427563.9721304457
407,430949.9594764445
408,434359.0376375015
409,437793.16651867307
410,441233.33861712075
411,444712.58765794046
412,448201.22130829206
413,451709.01793343056
414,455246.34709022014
415,458789.90107122745
416,462369.51008864795
417,465962.07831780583
418,469571.5047021484
419,473213.3189429901
420,476861.54187593533
421,480546.4642031429
422,484246.91394720867
423,487957.1885107281
424,491711.4441122369
425,495472.30627481284
426,499252.6093412341
427,503067.59878880583
428,506889.301673979
429,510740.6896756317
430,514616.8405765309
431,518499.8125440497
432,522423.3376117633
433,526361.0776584854
434,530309.7262311464
435,534302.457019263
436,538302.2140257431
437,542324.8815031841
438,546379.9475279029
439,550442.1494655709
440,554539.8758483578
441,558657.7045222542
442,562782.9258482547
443,566956.6001781111
444,571137.6191421731
445,575339.7603610315
446,579576.9411300075
447,583821.5782887988
448,588103.4143174653
449,592407.1229083993
450,596718.4049616457
451,601075.4536973587
452,605446.1460623561
453,609827.5409222378
454,614257.8769034091
455,618696.0091797538
456,623154.5654495317
457,627652.6784221844
458,632158.7069607343
459,636695.5030252329
460,641261.8487907767
461,645836.2301950393
462,650452.3399451413
463,655087.3745960738
464,659731.142214276
465,664427.0585219482
466,669131.2384804164
467,673856.2409590189
468,678621.637096995
469,683395.4191530659
