,0
0,7.316975046665773e-91
1,7.316975045924444e-91
2,7.316975045181811e-91
3,7.316975044437871e-91
4,7.316975043692622e-91
5,7.31697504294606e-91
6,7.316975042198185e-91
7,7.316975041448996e-91
8,7.316975040698487e-91
9,7.316975039946657e-91
10,7.316975039193503e-91
11,7.316975038439025e-91
12,7.316975037683219e-91
13,7.316975036926084e-91
14,7.316975036167615e-91
15,7.316975035407811e-91
16,7.316975034646672e-91
17,7.31697503388419e-91
18,7.316975033120369e-91
19,7.316975032355203e-91
20,7.316975031588692e-91
21,7.31697503082083e-91
22,7.316975030051619e-91
23,7.316975029281052e-91
24,7.31697502850913e-91
25,7.316975027735849e-91
26,7.316975026961207e-91
27,7.316975026185203e-91
28,7.316975025407834e-91
29,7.316975024629094e-91
30,7.316975023848986e-91
31,7.316975023067504e-91
32,7.316975022284648e-91
33,7.316975021500414e-91
34,7.3169750207148e-91
35,7.316975019927803e-91
36,7.31697501913942e-91
37,7.316975018349651e-91
38,7.316975017558493e-91
39,7.316975016765941e-91
40,7.316975015971994e-91
41,7.316975015176651e-91
42,7.316975014379909e-91
43,7.316975013581764e-91
44,7.316975012782214e-91
45,7.316975011981257e-91
46,7.316975011178892e-91
47,7.316975010375113e-91
48,7.31697500956992e-91
49,7.31697500876331e-91
50,7.316975007955281e-91
51,7.316975007145831e-91
52,7.316975006334955e-91
53,7.316975005522654e-91
54,7.31697500470892e-91
55,7.316975003893757e-91
56,7.316975003077158e-91
57,7.316975002259122e-91
58,7.316975001439648e-91
59,7.316975000618732e-91
60,7.31697499979637e-91
61,7.31697499897256e-91
62,7.316974998147302e-91
63,7.31697499732059e-91
64,7.316974996492425e-91
65,7.316974995662803e-91
66,7.316974994831719e-91
67,7.316974993999173e-91
68,7.316974993165162e-91
69,7.316974992329684e-91
70,7.316974991492736e-91
71,7.316974990654314e-91
72,7.316974989814416e-91
73,7.316974988973043e-91
74,7.316974988130186e-91
75,7.316974987285848e-91
76,7.316974986440023e-91
77,7.316974985592708e-91
78,7.316974984743905e-91
79,7.316974983893605e-91
80,7.316974983041812e-91
81,7.316974982188518e-91
82,7.316974981333723e-91
83,7.316974980477424e-91
