,0
0,1.814571878314532e-89
1,1.8145718781306862e-89
2,1.814571877946517e-89
3,1.8145718777620236e-89
4,1.8145718775772055e-89
5,1.8145718773920624e-89
6,1.8145718772065934e-89
7,1.8145718770207983e-89
8,1.8145718768346757e-89
9,1.814571876648226e-89
10,1.8145718764614478e-89
11,1.814571876274341e-89
12,1.814571876086905e-89
13,1.814571875899139e-89
14,1.8145718757110425e-89
15,1.8145718755226153e-89
16,1.8145718753338566e-89
17,1.814571875144766e-89
18,1.814571874955342e-89
19,1.814571874765585e-89
20,1.8145718745754935e-89
21,1.814571874385068e-89
22,1.8145718741943075e-89
23,1.8145718740032108e-89
24,1.8145718738117782e-89
25,1.814571873620009e-89
26,1.8145718734279018e-89
27,1.8145718732354566e-89
28,1.8145718730426727e-89
29,1.8145718728495498e-89
30,1.814571872656087e-89
31,1.8145718724622836e-89
32,1.814571872268139e-89
33,1.8145718720736532e-89
34,1.814571871878825e-89
35,1.8145718716836538e-89
36,1.814571871488139e-89
37,1.8145718712922804e-89
38,1.814571871096077e-89
39,1.814571870899528e-89
40,1.8145718707026334e-89
41,1.8145718705053924e-89
42,1.8145718703078047e-89
43,1.814571870109869e-89
44,1.814571869911585e-89
45,1.8145718697129517e-89
46,1.814571869513969e-89
47,1.814571869314636e-89
48,1.8145718691149525e-89
49,1.8145718689149175e-89
50,1.814571868714531e-89
51,1.814571868513791e-89
52,1.814571868312698e-89
53,1.8145718681112514e-89
54,1.81457186790945e-89
55,1.8145718677072935e-89
56,1.8145718675047812e-89
57,1.814571867301913e-89
58,1.8145718670986876e-89
59,1.814571866895104e-89
60,1.8145718666911624e-89
61,1.814571866486862e-89
62,1.8145718662822026e-89
63,1.8145718660771824e-89
64,1.8145718658718015e-89
65,1.8145718656660592e-89
66,1.814571865459955e-89
67,1.8145718652534878e-89
68,1.8145718650466576e-89
69,1.8145718648394632e-89
70,1.8145718646319043e-89
71,1.81457186442398e-89
72,1.8145718642156903e-89
73,1.8145718640070333e-89
74,1.8145718637980094e-89
75,1.814571863588618e-89
76,1.8145718633788577e-89
77,1.814571863168728e-89
78,1.814571862958229e-89
79,1.8145718627473596e-89
80,1.8145718625361193e-89
81,1.8145718623245066e-89
82,1.8145718621125223e-89
83,1.814571861900164e-89
84,1.8145718616874327e-89
85,1.8145718614743267e-89
86,1.814571861260846e-89
87,1.8145718610469893e-89
88,1.8145718608327566e-89
89,1.814571860618147e-89
90,1.8145718604031593e-89
91,1.8145718601877934e-89
92,1.8145718599720486e-89
93,1.8145718597559235e-89
94,1.814571859539419e-89
95,1.814571859322533e-89
96,1.8145718591052652e-89
97,1.8145718588876155e-89
98,1.8145718586695825e-89
99,1.814571858451166e-89
100,1.814571858232365e-89
101,1.814571858013179e-89
102,1.8145718577936073e-89
103,1.8145718575736492e-89
104,1.8145718573533036e-89
105,1.8145718571325708e-89
106,1.8145718569114494e-89
107,1.8145718566899384e-89
108,1.8145718564680384e-89
109,1.8145718562457478e-89
110,1.8145718560230655e-89
111,1.8145718557999914e-89
112,1.814571855576525e-89
113,1.814571855352665e-89
114,1.8145718551284117e-89
115,1.814571854903763e-89
116,1.8145718546787197e-89
117,1.8145718544532797e-89
118,1.8145718542274434e-89
119,1.8145718540012098e-89
120,1.814571853774578e-89
121,1.8145718535475466e-89
122,1.8145718533201162e-89
123,1.814571853092286e-89
124,1.8145718528640542e-89
125,1.814571852635421e-89
126,1.814571852406386e-89
127,1.8145718521769474e-89
128,1.8145718519471054e-89
129,1.814571851716858e-89
130,1.814571851486206e-89
131,1.8145718512551484e-89
132,1.814571851023684e-89
133,1.8145718507918123e-89
134,1.8145718505595324e-89
135,1.814571850326844e-89
136,1.814571850093746e-89
137,1.8145718498602374e-89
138,1.8145718496263185e-89
139,1.8145718493919872e-89
140,1.814571849157244e-89
141,1.814571848922088e-89
142,1.8145718486865176e-89
143,1.8145718484505326e-89
144,1.814571848214133e-89
145,1.814571847977317e-89
146,1.8145718477400844e-89
147,1.814571847502434e-89
148,1.8145718472643655e-89
149,1.8145718470258778e-89
150,1.814571846786971e-89
151,1.8145718465476435e-89
152,1.814571846307895e-89
153,1.8145718460677245e-89
154,1.814571845827131e-89
155,1.8145718455861144e-89
156,1.8145718453446737e-89
157,1.814571845102808e-89
158,1.8145718448605166e-89
159,1.814571844617799e-89
160,1.8145718443746542e-89
161,1.814571844131082e-89
162,1.8145718438870805e-89
163,1.8145718436426497e-89
164,1.8145718433977885e-89
165,1.8145718431524973e-89
166,1.8145718429067738e-89
167,1.814571842660618e-89
168,1.814571842414029e-89
169,1.8145718421670062e-89
170,1.814571841919548e-89
171,1.814571841671655e-89
172,1.814571841423326e-89
173,1.8145718411745595e-89
174,1.8145718409253552e-89
175,1.8145718406757125e-89
176,1.8145718404256303e-89
177,1.8145718401751082e-89
178,1.8145718399241456e-89
179,1.8145718396727407e-89
180,1.8145718394208935e-89
181,1.8145718391686033e-89
182,1.814571838915869e-89
183,1.81457183866269e-89
184,1.8145718384090658e-89
185,1.814571838154995e-89
186,1.814571837900477e-89
187,1.814571837645511e-89
188,1.8145718373900964e-89
189,1.8145718371342326e-89
190,1.8145718368779182e-89
191,1.8145718366211528e-89
192,1.814571836363936e-89
193,1.814571836106266e-89
194,1.8145718358481427e-89
195,1.814571835589565e-89
196,1.8145718353305324e-89
197,1.8145718350710445e-89
198,1.814571834811099e-89
199,1.8145718345506964e-89
200,1.814571834289836e-89
201,1.814571834028516e-89
202,1.8145718337667364e-89
203,1.814571833504496e-89
204,1.814571833241794e-89
205,1.81457183297863e-89
206,1.8145718327150028e-89
207,1.8145718324509116e-89
208,1.8145718321863557e-89
209,1.8145718319213343e-89
210,1.8145718316558464e-89
211,1.8145718313898915e-89
212,1.814571831123468e-89
213,1.8145718308565764e-89
214,1.8145718305892147e-89
215,1.8145718303213825e-89
216,1.814571830053079e-89
217,1.8145718297843036e-89
218,1.8145718295150545e-89
