,0
0,7.197930261131616e-89
1,7.197930260458447e-89
2,7.197930259784092e-89
3,7.197930259108551e-89
4,7.19793025843182e-89
5,7.197930257753899e-89
6,7.197930257074785e-89
7,7.197930256394476e-89
8,7.19793025571297e-89
9,7.197930255030264e-89
10,7.197930254346358e-89
11,7.197930253661248e-89
12,7.197930252974932e-89
13,7.197930252287408e-89
14,7.197930251598673e-89
15,7.197930250908727e-89
16,7.197930250217567e-89
17,7.19793024952519e-89
18,7.197930248831596e-89
19,7.19793024813678e-89
20,7.197930247440744e-89
21,7.19793024674348e-89
22,7.197930246044989e-89
23,7.197930245345271e-89
24,7.19793024464432e-89
25,7.197930243942137e-89
26,7.197930243238718e-89
27,7.197930242534059e-89
28,7.197930241828162e-89
29,7.197930241121023e-89
30,7.197930240412638e-89
31,7.197930239703007e-89
32,7.197930238992126e-89
33,7.197930238279996e-89
34,7.197930237566612e-89
35,7.197930236851973e-89
36,7.197930236136075e-89
37,7.197930235418919e-89
38,7.197930234700502e-89
39,7.197930233980817e-89
40,7.197930233259867e-89
41,7.19793023253765e-89
42,7.197930231814161e-89
43,7.197930231089398e-89
44,7.19793023036336e-89
45,7.197930229636045e-89
46,7.197930228907449e-89
47,7.197930228177572e-89
48,7.197930227446409e-89
49,7.197930226713961e-89
50,7.197930225980224e-89
51,7.197930225245196e-89
52,7.197930224508872e-89
53,7.197930223771254e-89
54,7.197930223032337e-89
55,7.197930222292122e-89
56,7.197930221550602e-89
57,7.197930220807779e-89
58,7.197930220063647e-89
59,7.197930219318206e-89
60,7.197930218571454e-89
61,7.197930217823387e-89
62,7.197930217074004e-89
63,7.197930216323301e-89
64,7.197930215571278e-89
65,7.197930214817932e-89
66,7.19793021406326e-89
67,7.19793021330726e-89
68,7.197930212549929e-89
69,7.197930211791267e-89
70,7.197930211031267e-89
71,7.197930210269932e-89
72,7.197930209507257e-89
73,7.197930208743238e-89
74,7.197930207977876e-89
75,7.197930207211168e-89
76,7.197930206443109e-89
77,7.197930205673699e-89
78,7.197930204902933e-89
79,7.197930204130813e-89
80,7.197930203357335e-89
81,7.197930202582493e-89
82,7.19793020180629e-89
83,7.197930201028721e-89
84,7.197930200249782e-89
85,7.197930199469474e-89
86,6.839028464736311e-13
87,1.769923402681168e-12
88,2.862621372958534e-12
89,3.955798674222034e-12
90,5.049176478609472e-12
91,6.143324630189326e-12
92,7.239633423172681e-12
93,8.34320018698261e-12
94,9.45664607235121e-12
95,1.0582553213787436e-11
96,1.1728183749392634e-11
97,1.290539345736087e-11
98,1.4107885514824953e-11
99,1.534146270984993e-11
100,1.6628983794946165e-11
101,1.7952855078856844e-11
102,1.9321769373644715e-11
103,2.0766610436535354e-11
104,2.226088201625172e-11
105,2.381217919063678e-11
106,2.546452784681373e-11
107,2.7180390856200563e-11
108,2.8962172699460387e-11
109,3.087516095453112e-11
110,3.2873964670104636e-11
111,3.4949580850788124e-11
112,3.7189464950899183e-11
113,3.951106292012677e-11
114,4.1954618321061584e-11
115,4.4563833662931166e-11
116,4.7269430172026325e-11
117,5.015084059119038e-11
118,5.3196348507706186e-11
119,5.635516660394177e-11
120,5.975263972444962e-11
121,6.331060931019022e-11
122,6.70017169226716e-11
123,7.1003154240256e-11
124,7.516065104016354e-11
125,7.950478692027341e-11
126,8.417935075434264e-11
127,8.903618218131506e-11
128,9.413949008688974e-11
129,9.959747608121678e-11
130,1.0526821726862851e-10
131,1.1125095701595854e-10
132,1.1761896178222828e-10
133,1.2423519020846655e-10
134,1.3123356731424467e-10
135,1.3865686795539823e-10
136,1.4636963742233084e-10
137,1.5453775851361565e-10
138,1.6318295296070154e-10
139,1.7216553865648017e-10
140,1.8167751489969417e-10
141,1.9173545445505868e-10
142,2.0218640161911546e-10
143,2.1323861968792878e-10
144,2.2494588536392556e-10
145,2.370871760159427e-10
146,2.4995230383622567e-10
147,2.635193316839471e-10
148,2.7758906286278123e-10
149,2.925289263836286e-10
150,3.0825532811949303e-10
151,3.2453351527513114e-10
152,3.419062550488862e-10
153,3.6006210148045916e-10
154,3.788534121612663e-10
155,3.9900691006515757e-10
156,4.1994784316239195e-10
