,0
0,449764056.27596873
1,466214581.5447687
2,483104884.4084409
3,500441722.2963562
4,518231670.204022
5,536481162.5619287
6,555196523.6303931
7,574422940.0989145
8,594154888.9611645
9,614374337.3485044
10,635087312.2088906
11,656308257.4068533
12,678114216.5889941
13,700445228.7074642
14,723309429.7898088
15,746715195.3676125
16,770671187.3452317
17,795186401.9298828
18,820297078.2117506
19,846012494.5398023
20,872314448.424378
21,899209970.5004215
22,926706901.1428752
23,954813145.1251531
24,983536577.3332815
25,1012885049.5237467
26,1042866395.7896888
27,1073497622.1099445
28,1104825573.096874
29,1136862171.8978994
30,1169544609.5742753
31,1203031971.2305624
32,1237156822.6909382
33,1271928114.85287
34,1307356107.1484637
35,1343530839.860657
36,1380513940.124582
37,1418177662.0949297
38,1456531042.8599331
39,1495583173.1250966
40,1535481200.608659
41,1576185065.743978
42,1617617307.741162
43,1659786727.0478573
44,1702702706.113687
45,1746510129.6293268
46,1791161103.8712049
47,1836592722.1267302
48,1882819981.762894
49,1929857480.878793
50,1977719444.2905908
51,2026498572.89254
52,2076184581.862151
53,2126724553.2340653
54,2178131640.22311
55,2230418688.3485622
56,2283598244.499645
57,2337682565.853282
58,2392683628.9265647
59,2448613138.9064646
60,2505482539.3282337
61,2563307743.1030693
62,2622133869.922393
63,2681924114.0070066
64,2742689246.7778745
65,2804439831.378788
66,2867186234.753615
67,2930938640.313479
68,2995707061.233766
69,3061501354.4397306
70,3128331235.343565
71,3196206293.414926
72,3265136008.673175
73,3335129769.2130404
74,3406222436.415225
75,3478420074.720256
76,3551714755.0586457
77,3626115430.166783
78,3701712070.0024133
79,3778359635.1101193
80,3856345480.5671325
81,3935426295.623544
82,4015602403.335362
83,4096947713.007786
84,4179329164.3933926
85,4263245656.7756805
86,4348213019.171617
87,4434241263.160786
88,4521456994.311916
89,4610148343.300092
90,4699934973.963696
91,4790827006.160218
92,4883023045.742306
93,4976667345.275598
94,5071451084.895546
95,5167384479.705917
96,5264701633.09893
97,5363594360.795817
98,5463559329.3370905
99,5564748348.128411
100,5667632054.52024
101,5771568447.441129
102,5876740802.963027
103,5983665298.880887
104,6091679309.769722
105,6200905399.7634115
106,6311975218.67139
107,6424171065.394314
108,6537518993.544972
109,6652836927.437942
110,6769390453.257526
111,6887065872.905707
112,7006788984.9402685
113,7127551191.612795
114,7249768270.258976
115,7373769463.486932
116,7498844889.130211
117,7625678737.714006
118,7754061152.312544
119,7883553043.891335
120,8015076101.104527
121,8147941749.997764
122,8281953587.135608
123,8418234510.785507
124,8555684305.331372
125,8694493846.395802
126,8835423703.932129
127,8977557454.869047
128,9121231643.524351
129,9266909170.485723
130,9413825577.310974
131,9562429421.62097
132,9712952267.247282
133,9864748902.413471
134,10018345596.560036
135,10173810302.280825
136,10330583593.407223
137,10489234622.90005
138,10649736600.568113
139,10811581811.746021
140,10975347045.316027
141,11140980554.840906
142,11307991766.54431
143,11476929535.757715
144,11647829596.414856
145,11820080246.367205
146,11994359439.321224
147,12170510302.136038
148,12348047410.559479
149,12527724633.062588
150,12709256055.378815
151,12892148555.07899
152,13077385389.47398
153,13264287937.631584
154,13452587514.260193
155,13643439493.538769
156,13835807287.206598
157,14029657405.543032
158,14226241126.023117
159,14424136132.134987
160,14623907511.456997
161,14825937812.801872
162,15029339953.257345
163,15235059184.824749
164,15442659642.673477
165,15651681599.04127
166,15863381258.499453
167,16076683485.96424
168,16291620800.222815
169,16509202409.849363
170,16728221501.049297
171,16949284638.83647
172,17172641089.086636
173,17397481264.030087
174,17624701404.815697
175,17853933794.62178
176,18084716465.771595
177,18318367324.59092
178,18553514188.334206
179,18790718662.525597
180,19030264770.829197
181,19271098206.378693
182,19515012554.056274
183,19760307176.26348
184,20007800217.752018
185,20257587122.68918
186,20508745002.09947
187,20762977743.801453
188,21018682774.61778
189,21276517181.19372
190,21536796605.58053
191,21798521739.355408
192,22063121787.901737
193,22329469182.836235
194,22597692142.95951
195,22868685304.54908
196,23141189902.80732
197,23416201231.497738
198,23693392648.36167
199,23972147308.873234
200,24254311079.650814
201,24537614550.43567
202,24823788115.534775
203,25111664207.348152
204,25401857263.133198
205,25694328287.249214
206,25988549650.587074
207,26285636435.90644
208,26583894068.00481
209,26885615983.059772
210,27188479404.181942
211,27494291992.312454
212,27801826583.212852
213,28111687321.2567
214,28423909002.138084
215,28737822690.918888
216,29054746027.83956
217,29372889518.60176
218,29694355014.357494
219,30017229766.50744
220,30342751391.340878
221,30670368804.44319
222,30999948755.75403
223,31332360017.484024
224,31666053675.99366
225,32003192649.803017
226,32341555584.09873
227,32682876417.582104
228,33025992593.642376
229,33371419522.26434
230,33719296593.39549
231,34068828748.053253
232,34421473356.16647
233,34775417065.55225
234,35132527377.52464
235,35491258034.08137
236,35852461951.77141
237,36215983708.76173
238,36581279242.08974
239,36949595410.75089
240,37319277597.88551
241,37692093434.70011
242,38066584073.61119
243,38443477103.59758
244,38822777376.781
245,39203744818.14508
246,39588080487.5342
247,39973421733.67561
248,40362335837.46154
249,40752333632.56644
250,41145541586.45383
251,41540246495.807846
252,41937906387.86676
253,42337123093.624725
254,42739222185.11744
255,43142962471.937996
256,43549487848.36912
257,43957762285.93924
258,44368700901.070244
259,44781518898.6963
260,45196857596.08069
261,45614227438.08472
262,46033952963.377045
263,46455881836.781906
264,46879980846.63204
265,47306474865.91809
266,47734933935.27196
267,48165998165.69474
268,48598803794.16355
269,49034442274.16982
270,49471580891.765335
271,49911796654.73871
272,50353254627.12358
273,50798049722.53255
274,51243923935.57289
275,51693188869.791664
276,52143664959.54252
277,52597200490.236336
278,53052277698.4869
279,53510070002.38567
280,53969746662.141396
281,54431781871.76039
282,54896079176.756226
283,55362386734.18583
284,55831241750.82925
285,56301807179.28161
286,56775217736.87301
287,57250027396.19638
288,57727989741.133865
289,58207128945.916885
290,58689539670.011055
291,59173238693.81321
292,59659848756.01489
293,60148099828.834335
294,60638897573.50961
295,61131691968.33024
296,61626666047.73506
297,62123994129.85133
298,62623133458.69855
299,63124984724.654175
300,63628278440.90688
301,64134641549.528984
302,64642299038.70398
303,65153329439.79641
304,65665259146.00638
305,66180599921.99941
306,66696996717.54576
307,67216435919.21907
308,67737274349.50162
309,68260818708.07363
310,68786073133.8349
311,69313728023.30646
312,69843372653.39243
313,70375142108.62794
314,70909151011.34283
315,71445037742.92279
316,71983384849.87761
317,72523390256.95518
318,73066049364.23228
319,73610173546.34222
320,74157118314.80522
321,74705360083.19174
322,75256564038.70558
323,75808920927.50307
324,76364357461.3345
325,76920825738.77147
326,77480468108.26753
327,78041095329.62773
328,78604913876.90782
329,79169778474.68105
330,79737599185.39058
331,80306672402.03232
332,80878491192.0205
333,81451744089.96286
334,82027555584.00926
335,82604959060.85846
336,83184756605.98442
337,83766281402.45984
338,84350057079.80565
339,84935673784.58289
340,85523418420.66931
341,86113097474.1142
342,86704800651.91866
343,87298512349.38074
344,87894196409.08954
345,88491983608.20721
346,89091510647.5575
347,89693339033.83961
348,90296702494.15533
349,90902537657.6899
350,91509729408.4797
351,92119536866.985
352,92730547241.19632
353,93344292450.37048
354,93959117720.92091
355,94576758631.87968
356,95195493920.38995
357,95816888099.64507
358,96439498689.56522
359,97064632032.41655
360,97691083155.22272
361,98319940125.11234
362,98950196962.35963
363,99582924986.7906
364,100217165485.99997
365,100853259244.77925
366,101491433676.71675
367,102130904297.73111
368,102772962796.24835
369,103416151181.51903
370,104061711616.2752
371,104708740903.17659
372,105357636496.80557
373,106008456677.76768
374,106660691452.26079
375,107315252528.78735
376,107970965493.94966
377,108629080198.38853
378,109288490573.77574
379,109949889194.29518
380,110612946935.40137
381,111277626835.64522
382,111944281927.06932
383,112612238298.08537
384,113282440758.35683
385,113953822632.77725
386,114627366567.97432
387,115302252050.13585
388,115979006461.56894
389,116657355151.75105
390,117337287781.27998
391,118019048425.32755
392,118702148864.57352
393,119387270328.92747
394,120073597461.7087
395,120761957302.61996
396,121451600036.51761
397,122143043809.26372
398,122835951108.56073
399,123530462389.92612
400,124226583325.55833
401,124924143719.99612
402,125623427478.83237
403,126324016665.74121
404,127026412560.91481
405,127730044523.84387
406,128435465824.63559
407,129142164762.79086
408,129850512844.01794
409,130560228271.14665
410,131271477577.24718
411,131984159173.50546
412,132698282431.90942
413,133413880060.20491
414,134130848332.61899
415,134849312056.31981
416,135569094791.0734
417,136290374892.92696
418,137012940031.59822
419,137736987798.92892
420,138462309736.709
421,139189065828.46997
422,139917110330.42868
423,140646525238.56055
424,141377242592.88745
425,142109278096.3906
426,142842614585.62994
427,143577231441.09238
428,144313128095.12012
429,145050304312.82437
430,145788702482.56177
431,146528400076.4064
432,147269255676.674
433,148011400819.72974
434,148754704279.4563
435,149499239030.93774
436,150244963664.7768
437,150991830544.64194
438,151739948071.15335
439,152489090087.57547
440,153239550434.99063
441,153990931364.81714
442,154743614273.82062
443,155497267144.66727
444,156252116571.87753
445,157008005180.02945
446,157764957634.50598
447,158523063145.74615
448,159282062769.77924
449,160042352034.85245
450,160803343730.89258
451,161565674610.84164
452,162328679238.35858
453,163092913542.11102
454,163858024580.29965
455,164624103067.45212
456,165391292735.29498
457,166159157019.43536
458,166928372581.77756
459,167697988307.80234
460,168468935201.70975
461,169240394509.07492
462,170012852649.7231
463,170786527041.37817
464,171560423668.34586
465,172335682189.15454
466,173111577448.21252
467,173888205601.10617
468,174666200454.74506
469,175444168310.18234
470,176223465255.88498
471,177003495626.35913
472,177784026287.8605
473,178565930517.69107
474,179347808006.9495
475,180130881197.8792
476,180914732626.00186
477,181698909409.65393
478,182484466178.03357
479,183269936846.12808
480,184056535209.34766
481,184843883299.53275
482,185631460842.77023
483,186420424355.34753
484,187209162646.5415
485,187999046046.21313
486,188789558604.34494
487,189580302363.83206
488,190372437664.52463
489,191164111334.85666
