,0
0,7.197930261131618e-89
1,7.197930260458448e-89
2,7.197930259784092e-89
3,7.197930259108551e-89
4,7.19793025843182e-89
5,7.1979302577539e-89
6,7.197930257074785e-89
7,7.197930256394476e-89
8,7.19793025571297e-89
9,7.197930255030265e-89
10,7.197930254346358e-89
11,7.197930253661248e-89
12,7.197930252974932e-89
13,7.197930252287408e-89
14,7.197930251598673e-89
15,7.197930250908728e-89
16,7.197930250217567e-89
17,7.197930249525192e-89
18,7.197930248831597e-89
19,7.197930248136782e-89
20,7.197930247440744e-89
21,7.19793024674348e-89
22,7.197930246044989e-89
23,7.197930245345272e-89
24,7.19793024464432e-89
25,7.197930243942137e-89
26,7.197930243238718e-89
27,7.19793024253406e-89
28,7.197930241828162e-89
29,7.197930241121023e-89
30,7.197930240412638e-89
31,7.197930239703007e-89
32,7.197930238992128e-89
33,7.197930238279997e-89
34,7.197930237566612e-89
35,7.197930236851973e-89
36,7.197930236136077e-89
37,7.197930235418919e-89
38,7.197930234700502e-89
39,7.197930233980819e-89
40,7.197930233259869e-89
41,7.19793023253765e-89
42,7.197930231814161e-89
43,7.197930231089398e-89
44,7.19793023036336e-89
45,7.197930229636045e-89
46,7.197930228907449e-89
47,7.197930228177572e-89
48,7.197930227446409e-89
49,7.197930226713962e-89
50,7.197930225980224e-89
51,7.197930225245196e-89
52,7.197930224508873e-89
53,7.197930223771255e-89
54,7.197930223032337e-89
55,7.197930222292122e-89
56,7.197930221550603e-89
57,7.197930220807779e-89
58,7.197930220063648e-89
59,7.197930219318206e-89
60,7.197930218571454e-89
61,7.197930217823387e-89
62,7.197930217074004e-89
63,7.197930216323303e-89
64,7.197930215571278e-89
65,7.197930214817932e-89
66,7.197930214063262e-89
67,7.19793021330726e-89
68,7.197930212549929e-89
69,7.197930211791267e-89
70,7.197930211031268e-89
71,7.197930210269932e-89
72,7.197930209507257e-89
73,7.19793020874324e-89
74,7.197930207977876e-89
75,7.197930207211168e-89
76,7.197930206443109e-89
77,7.197930205673699e-89
78,7.197930204902935e-89
79,7.197930204130814e-89
80,7.197930203357336e-89
81,7.197930202582495e-89
82,7.19793020180629e-89
83,7.197930201028721e-89
84,7.197930200249783e-89
85,7.197930199469474e-89
86,6.839026568101304e-13
87,1.7699231829691962e-12
88,2.862621123065553e-12
89,3.95579839337471e-12
90,5.0491761664185746e-12
91,6.1433242856118425e-12
92,7.2396330456898095e-12
93,8.343199774986218e-12
94,9.456645624121352e-12
95,1.058255272741236e-11
96,1.1728183227741937e-11
97,1.2905392893743699e-11
98,1.4107884906457514e-11
99,1.5341462063604127e-11
100,1.6628983099667308e-11
101,1.7952854331617072e-11
102,1.9321768584886316e-11
103,2.076660959065059e-11
104,2.2260881109952515e-11
105,2.3812178238042867e-11
106,2.546452682765307e-11
107,2.7180389766741403e-11
108,2.896217155770063e-11
109,3.0875159735211904e-11
110,3.287396336657126e-11
111,3.494957948731282e-11
112,3.7189463494234383e-11
113,3.9511061365293925e-11
114,4.1954616696746796e-11
115,4.456383192999332e-11
116,4.7269428324770755e-11
117,5.015083866314309e-11
118,5.319634645318546e-11
119,5.635516441641682e-11
120,5.97526374429046e-11
121,6.331060688157786e-11
122,6.700171439252666e-11
123,7.100315154763948e-11
124,7.51606481767432e-11
125,7.950478393877785e-11
126,8.417934758431523e-11
127,8.903617881318169e-11
128,9.413948658159645e-11
129,9.959747235745863e-11
130,1.052682133154153e-10
131,1.1125095290368737e-10
132,1.1761895741717457e-10
