,0
0,1.6908877564516465e-88
1,1.6908877562935102e-88
2,1.6908877561350953e-88
3,1.6908877559764018e-88
4,1.690887755817429e-88
5,1.6908877556581766e-88
6,1.6908877554986436e-88
7,1.6908877553388305e-88
8,1.6908877551787358e-88
9,1.6908877550183593e-88
10,1.6908877548577006e-88
11,1.6908877546967593e-88
12,1.6908877545355347e-88
13,1.6908877543740264e-88
14,1.6908877542122336e-88
15,1.6908877540501566e-88
16,1.6908877538877938e-88
17,1.6908877537251458e-88
18,1.6908877535622112e-88
19,1.6908877533989903e-88
20,1.6908877532354817e-88
21,1.6908877530716854e-88
22,1.690887752907601e-88
23,1.690887752743228e-88
24,1.6908877525785656e-88
25,1.6908877524136132e-88
26,1.690887752248371e-88
27,1.6908877520828375e-88
28,1.6908877519170128e-88
29,1.6908877517508965e-88
30,1.690887751584488e-88
31,1.690887751417786e-88
32,1.6908877512507915e-88
33,1.690887751083503e-88
34,1.6908877509159194e-88
35,1.6908877507480412e-88
36,1.690887750579868e-88
37,1.6908877504113985e-88
38,1.6908877502426326e-88
39,1.6908877500735698e-88
40,1.690887749904209e-88
41,1.6908877497345504e-88
42,1.6908877495645935e-88
43,1.6908877493943372e-88
44,1.6908877492237813e-88
45,1.6908877490529256e-88
46,1.690887748881769e-88
47,1.6908877487103115e-88
48,1.6908877485385517e-88
49,1.6908877483664902e-88
50,1.6908877481941254e-88
51,1.6908877480214576e-88
52,1.6908877478484861e-88
53,1.6908877476752097e-88
54,1.6908877475016285e-88
55,1.690887747327742e-88
56,1.6908877471535498e-88
57,1.6908877469790506e-88
58,1.6908877468042447e-88
59,1.6908877466291307e-88
60,1.690887746453709e-88
61,1.690887746277978e-88
62,1.690887746101938e-88
63,1.6908877459255887e-88
64,1.6908877457489285e-88
65,1.6908877455719575e-88
66,1.6908877453946753e-88
67,1.6908877452170808e-88
68,1.690887745039174e-88
69,1.6908877448609543e-88
70,1.6908877446824208e-88
71,1.690887744503573e-88
72,1.6908877443244105e-88
73,1.690887744144933e-88
74,1.690887743965139e-88
75,1.6908877437850292e-88
76,1.6908877436046021e-88
77,1.6908877434238578e-88
78,1.6908877432427953e-88
79,1.690887743061414e-88
80,1.690887742879714e-88
81,1.6908877426976936e-88
82,1.690887742515353e-88
83,1.6908877423326916e-88
84,1.6908877421497092e-88
85,1.6908877419664043e-88
86,1.6908877417827768e-88
87,1.6908877415988264e-88
88,1.6908877414145524e-88
89,1.6908877412299538e-88
90,1.6908877410450303e-88
91,1.6908877408597816e-88
92,1.690887740674207e-88
93,1.6908877404883056e-88
94,1.6908877403020768e-88
95,1.690887740115521e-88
96,1.6908877399286367e-88
97,1.6908877397414228e-88
98,1.6908877395538802e-88
99,1.6908877393660073e-88
100,1.690887739177804e-88
101,1.690887738989269e-88
102,1.6908877388004026e-88
103,1.690887738611204e-88
104,1.690887738421672e-88
105,1.6908877382318069e-88
106,1.6908877380416072e-88
107,1.6908877378510732e-88
108,1.6908877376602038e-88
109,1.690887737468998e-88
110,1.6908877372774565e-88
111,1.6908877370855777e-88
112,1.690887736893361e-88
113,1.6908877367008062e-88
114,1.6908877365079126e-88
115,1.6908877363146796e-88
116,1.6908877361211062e-88
117,1.6908877359271924e-88
118,1.6908877357329376e-88
119,1.6908877355383406e-88
120,1.690887735343401e-88
121,1.690887735148119e-88
122,1.690887734952493e-88
123,1.6908877347565224e-88
124,1.690887734560207e-88
125,1.6908877343635463e-88
126,1.6908877341665398e-88
127,1.6908877339691863e-88
128,1.6908877337714855e-88
129,1.690887733573437e-88
130,1.6908877333750397e-88
131,1.6908877331762933e-88
132,1.6908877329771972e-88
133,1.6908877327777506e-88
134,1.6908877325779533e-88
135,1.6908877323778044e-88
136,1.690887732177303e-88
137,1.690887731976449e-88
138,1.6908877317752416e-88
139,1.6908877315736796e-88
140,1.6908877313717637e-88
141,1.6908877311694918e-88
142,1.6908877309668643e-88
143,1.69088773076388e-88
144,1.6908877305605387e-88
145,1.6908877303568394e-88
146,1.6908877301527816e-88
147,1.6908877299483652e-88
148,1.6908877297435885e-88
149,1.6908877295384515e-88
150,1.6908877293329535e-88
151,1.690887729127094e-88
152,1.6908877289208722e-88
153,1.6908877287142876e-88
154,1.6908877285073393e-88
155,1.690887728300027e-88
156,1.6908877280923495e-88
157,1.690887727884307e-88
158,1.690887727675898e-88
159,1.6908877274671226e-88
160,1.6908877272579793e-88
161,1.6908877270484683e-88
162,1.6908877268385886e-88
163,1.6908877266283398e-88
164,1.6908877264177206e-88
165,1.690887726206731e-88
166,1.6908877259953698e-88
167,1.690887725783637e-88
168,1.6908877255715313e-88
169,1.6908877253590523e-88
170,1.6908877251461996e-88
171,1.6908877249329725e-88
172,1.69088772471937e-88
173,1.6908877245053914e-88
174,1.6908877242910363e-88
175,1.690887724076304e-88
176,1.690887723861194e-88
177,1.6908877236457053e-88
178,1.0449663066163487e-12
179,3.675172458745519e-12
180,6.017076565392216e-12
181,8.234918396024967e-12
182,1.0200894765511427e-11
183,1.2116560623277925e-11
184,1.3935707977786695e-11
185,1.5706527178172444e-11
186,1.7456270693199583e-11
187,1.919259518389328e-11
188,2.0942476736167867e-11
189,2.271264546992452e-11
190,2.4532597781205353e-11
191,2.6381972250673677e-11
192,2.8317702437675715e-11
193,3.031319802526749e-11
194,3.2374067047322734e-11
195,3.4559532355355236e-11
196,3.6808607014173194e-11
197,3.918490245352229e-11
198,4.168200538749382e-11
199,4.4258406864104296e-11
200,4.7067777336676786e-11
201,4.9938408466669184e-11
202,5.302175255007689e-11
203,5.6227182281345786e-11
204,5.961440821733124e-11
205,6.319781242632142e-11
206,6.692051888097395e-11
207,7.092838082772038e-11
208,7.502020067393194e-11
209,7.950293259691781e-11
210,8.408045106783002e-11
211,8.90123597195478e-11
212,9.413901632758526e-11
213,9.955524358744347e-11
214,1.052935683076426e-10
215,1.1123868465875126e-10
216,1.176571426987218e-10
217,1.2421471956081439e-10
218,1.3135271880610712e-10
219,1.386930876601892e-10
220,1.4651410395285439e-10
221,1.5472301311920602e-10
222,1.6328685749372095e-10
223,1.7247077458947483e-10
224,1.8185827386855286e-10
225,1.9210107901007862e-10
226,2.02561898010524e-10
227,2.1379785206904133e-10
228,2.2547100259797204e-10
229,2.377610994326668e-10
230,2.5077455443671164e-10
231,2.6420815562734175e-10
232,2.787018459801584e-10
233,2.935139936381561e-10
234,3.0950180929002123e-10
235,3.2600563864492297e-10
236,3.4344450345898197e-10
237,3.6181406599775955e-10
238,3.808226978930422e-10
239,4.012478313620716e-10
240,4.2214142400877033e-10
241,4.4464112932249446e-10
242,4.678796522621919e-10
243,4.923556669611967e-10
244,5.181740543380565e-10
245,5.447826543346756e-10
246,5.73645369124323e-10
247,6.028322825916139e-10
248,6.346569998573641e-10
249,6.669271011288787e-10
250,7.017152286098144e-10
251,7.37428029390398e-10
252,7.756282214140966e-10
253,8.149026325935803e-10
254,8.568074853140986e-10
255,8.999869910269872e-10
256,9.459111180626137e-10
257,9.93370735696777e-10
258,1.0436520613172002e-09
259,1.0958008286614345e-09
260,1.150801969633802e-09
261,1.2080856214373279e-09
262,1.2681953503459807e-09
263,1.3310991858038439e-09
264,1.3967339748794269e-09
265,1.4657859224290829e-09
266,1.537391568038493e-09
267,1.613165454931204e-09
268,1.69121878361991e-09
269,1.7743378185452616e-09
270,1.8593484760447131e-09
