,0
0,8.634812376645955e+16
1,8.592927341697381e+16
2,8.55120414190501e+16
3,8.509654908188472e+16
4,8.468500504450334e+16
5,8.42750790369982e+16
6,8.38669074174571e+16
7,8.346257428923978e+16
8,8.30598568263435e+16
9,8.265883344668923e+16
10,8.226161402491629e+16
11,8.18660059798646e+16
12,8.147203022040752e+16
13,8.108175783879838e+16
14,8.069315853545006e+16
15,8.030618401115424e+16
16,7.992264012346213e+16
17,7.954099172526158e+16
18,7.916088536834787e+16
19,7.87840596277609e+16
20,7.840914238766144e+16
21,7.803576371891246e+16
22,7.766548995266237e+16
23,7.72972079970604e+16
24,7.693050884486789e+16
25,7.656695095698653e+16
26,7.620524408440035e+16
27,7.584485158501989e+16
28,7.548805096937677e+16
29,7.51323895272222e+16
30,7.47788240461057e+16
31,7.442798894950296e+16
32,7.407831195539027e+16
33,7.37313864586658e+16
34,7.338645482293584e+16
35,7.304269670235677e+16
36,7.270222911026501e+16
37,7.2363134634711e+16
38,7.2025532640970344e+16
39,7.169103904710059e+16
40,7.135771168924983e+16
41,7.10263092343427e+16
42,7.069750098276475e+16
43,7.036986740035341e+16
44,7.00444945503868e+16
45,6.9721298077254856e+16
46,6.939928203875704e+16
47,6.9079773632908776e+16
48,6.876235612733745e+16
49,6.8445816758020904e+16
50,6.81326003676571e+16
51,6.7820102297968696e+16
52,6.75099151145157e+16
53,6.720155512941552e+16
54,6.689420143179773e+16
55,6.65899237338769e+16
56,6.628639310551442e+16
57,6.5985110433595496e+16
58,6.568563599990843e+16
59,6.538712055143368e+16
60,6.509158960999779e+16
61,6.4796739896836664e+16
62,6.450416294404296e+16
63,6.421318982378694e+16
64,6.392326558265436e+16
65,6.3636109805513864e+16
66,6.33496490145313e+16
67,6.306540507927512e+16
68,6.278270134750507e+16
69,6.250098157808234e+16
70,6.222198238998619e+16
71,6.194370387783421e+16
72,6.166740118149487e+16
73,6.1392766756087656e+16
74,6.111888147712309e+16
75,6.084782629405857e+16
76,6.0577523656888056e+16
77,6.030879452896436e+16
78,6.0042023640440696e+16
79,5.9776015010889976e+16
80,5.951229539217626e+16
81,5.924975696201965e+16
82,5.8988254201783384e+16
83,5.872913629666231e+16
84,5.847092180987728e+16
85,5.821462488778141e+16
86,5.795958847592148e+16
87,5.770581637067923e+16
88,5.745391877956514e+16
89,5.720262989504233e+16
90,5.6953832003896856e+16
91,5.670525957783359e+16
92,5.6459248443469704e+16
93,5.6213741483399256e+16
94,5.597008946574972e+16
95,5.5727608750895496e+16
96,5.548627754265259e+16
97,5.5246784185138e+16
98,5.500773626402691e+16
99,5.477119172706261e+16
100,5.453493524244494e+16
101,5.4300756450624984e+16
102,5.406741189998805e+16
103,5.383540455474979e+16
104,5.36049337392873e+16
105,5.337506335218103e+16
106,5.3147428475886344e+16
107,5.292012565139274e+16
108,5.2694824929216616e+16
109,5.247031969767304e+16
110,5.224705300730633e+16
111,5.202530809370178e+16
112,5.180404369110629e+16
113,5.158502224809954e+16
114,5.136636540109512e+16
115,5.114939462659239e+16
116,5.093359486357143e+16
117,5.071886597055948e+16
118,5.050549141401302e+16
119,5.029296589962888e+16
120,5.008199139880623e+16
121,4.987163151329645e+16
122,4.966303182365989e+16
123,4.9454800569167016e+16
124,4.924855039197244e+16
125,4.904241151751599e+16
126,4.883848553237553e+16
127,4.863448142503158e+16
128,4.8432776415889816e+16
129,4.82310834659697e+16
