,0
0,2.684772483495734e-91
1,2.6847724832232483e-91
2,2.684772482950283e-91
3,2.684772482676837e-91
4,2.6847724824029105e-91
5,2.6847724821285016e-91
6,2.684772481853611e-91
7,2.684772481578236e-91
8,2.6847724813023757e-91
9,2.68477248102603e-91
10,2.6847724807491984e-91
11,2.68477248047188e-91
12,2.6847724801940733e-91
13,2.684772479915778e-91
14,2.6847724796369926e-91
15,2.684772479357718e-91
16,2.6847724790779504e-91
17,2.684772478797691e-91
18,2.6847724785169385e-91
19,2.684772478235692e-91
20,2.6847724779539504e-91
21,2.684772477671714e-91
22,2.68477247738898e-91
23,2.6847724771057484e-91
24,2.6847724768220187e-91
25,2.6847724765377903e-91
26,2.684772476253061e-91
27,2.6847724759678314e-91
28,2.684772475682099e-91
29,2.6847724753958646e-91
30,2.684772475109126e-91
31,2.6847724748218834e-91
32,2.6847724745341347e-91
33,2.68477247424588e-91
34,2.684772473957119e-91
35,2.6847724736678485e-91
36,2.6847724733780696e-91
37,2.6847724730877806e-91
38,2.684772472796981e-91
39,2.68477247250567e-91
40,2.6847724722138456e-91
41,2.6847724719215083e-91
42,2.6847724716286566e-91
43,2.6847724713352893e-91
44,2.684772471041406e-91
45,2.684772470747005e-91
46,2.684772470452087e-91
47,2.6847724701566495e-91
48,2.6847724698606923e-91
49,2.6847724695642146e-91
50,2.6847724692672147e-91
51,2.684772468969692e-91
52,2.6847724686716464e-91
53,2.684772468373076e-91
54,2.6847724680739804e-91
55,2.6847724677743585e-91
56,2.6847724674742095e-91
57,2.684772467173532e-91
58,2.684772466872326e-91
59,2.6847724665705895e-91
60,2.684772466268322e-91
61,2.6847724659655226e-91
62,2.684772465662191e-91
63,2.684772465358325e-91
64,2.684772465053925e-91
65,2.684772464748989e-91
66,2.684772464443516e-91
67,2.684772464137506e-91
68,2.6847724638309573e-91
69,2.684772463523869e-91
70,2.684772463216241e-91
71,2.684772462908071e-91
72,2.6847724625993597e-91
73,2.6847724622901046e-91
74,2.6847724619803055e-91
75,2.6847724616699603e-91
76,2.68477246135907e-91
77,2.6847724610476327e-91
78,2.684772460735647e-91
79,2.684772460423113e-91
80,2.684772460110028e-91
81,2.6847724597963926e-91
82,2.684772459482206e-91
83,2.684772459167466e-91
84,2.684772458852172e-91
85,2.684772458536323e-91
86,2.684772458219919e-91
87,2.684772457902958e-91
88,2.684772457585439e-91
