,0
0,1.1246927382469183e-89
1,1.1246927381329308e-89
2,1.1246927380187428e-89
3,1.124692737904354e-89
4,1.1246927377897636e-89
5,1.1246927376749716e-89
6,1.1246927375599779e-89
7,1.1246927374447815e-89
8,1.1246927373293826e-89
9,1.1246927372137805e-89
10,1.1246927370979749e-89
11,1.1246927369819654e-89
12,1.1246927368657522e-89
13,1.1246927367493341e-89
14,1.1246927366327114e-89
15,1.1246927365158833e-89
16,1.1246927363988497e-89
17,1.12469273628161e-89
18,1.124692736164164e-89
19,1.1246927360465116e-89
20,1.1246927359286519e-89
21,1.1246927358105849e-89
22,1.1246927356923102e-89
23,1.1246927355738271e-89
24,1.124692735455136e-89
25,1.1246927353362355e-89
26,1.1246927352171262e-89
27,1.124692735097807e-89
28,1.1246927349782778e-89
29,1.1246927348585383e-89
30,1.1246927347385883e-89
31,1.124692734618427e-89
32,1.124692734498054e-89
33,1.1246927343774698e-89
34,1.1246927342566732e-89
35,1.1246927341356636e-89
36,1.1246927340144415e-89
37,1.1246927338930059e-89
38,1.1246927337713566e-89
39,1.1246927336494932e-89
40,1.1246927335274156e-89
41,1.1246927334051231e-89
42,1.1246927332826151e-89
43,1.1246927331598919e-89
44,1.1246927330369525e-89
45,1.1246927329137968e-89
46,1.1246927327904244e-89
47,1.1246927326668348e-89
48,1.1246927325430277e-89
49,1.1246927324190028e-89
50,1.1246927322947598e-89
51,1.124692732170298e-89
52,1.1246927320456171e-89
53,1.124692731920717e-89
54,1.124692731795597e-89
55,1.1246927316702568e-89
56,1.124692731544696e-89
57,1.1246927314189145e-89
58,1.1246927312929114e-89
59,1.1246927311666866e-89
60,1.1246927310402397e-89
61,1.1246927309135702e-89
62,1.124692730786678e-89
63,1.1246927306595625e-89
64,1.124692730532223e-89
65,1.1246927304046597e-89
66,1.1246927302768717e-89
67,1.1246927301488589e-89
68,1.124692730020621e-89
69,1.124692729892157e-89
70,1.1246927297634676e-89
71,1.1246927296345512e-89
72,1.1246927295054082e-89
73,1.124692729376038e-89
74,1.1246927292464398e-89
75,1.1246927291166139e-89
76,1.1246927289865593e-89
77,1.1246927288562758e-89
78,1.1246927287257632e-89
79,1.124692728595021e-89
80,1.1246927284640486e-89
81,1.1246927283328457e-89
82,1.124692728201412e-89
83,1.124692728069747e-89
84,1.12469272793785e-89
85,1.1246927278057213e-89
86,1.1246927276733598e-89
87,1.1246927275407657e-89
88,1.1246927274079381e-89
89,1.1246927272748766e-89
90,1.1246927271415812e-89
91,1.124692727008051e-89
92,1.1246927268742858e-89
93,1.1246927267402853e-89
94,1.1246927266060493e-89
95,1.1246927264715767e-89
96,1.1246927263368674e-89
97,1.1246927262019212e-89
98,1.1246927260667376e-89
99,1.1246927259313161e-89
100,1.1246927257956563e-89
101,1.1246927256597578e-89
102,1.1246927255236199e-89
103,1.1246927253872427e-89
104,1.1246927252506254e-89
105,1.1246927251137676e-89
106,1.124692724976669e-89
107,1.1246927248393294e-89
108,1.1246927247017478e-89
109,1.1246927245639243e-89
110,1.124692724425858e-89
111,1.1246927242875489e-89
112,1.1246927241489963e-89
113,1.1246927240102002e-89
114,1.1246927238711597e-89
115,1.1246927237318745e-89
116,1.1246927235923443e-89
117,1.1246927234525683e-89
118,1.1246927233125466e-89
119,1.124692723172278e-89
120,1.1246927230317633e-89
121,1.1246927228910009e-89
122,1.1246927227499907e-89
123,1.1246927226087326e-89
124,1.1246927224672256e-89
125,1.1246927223254698e-89
126,1.1246927221834646e-89
127,1.1246927220412094e-89
128,1.124692721898704e-89
129,1.1246927217559476e-89
130,1.1246927216129402e-89
131,1.1246927214696812e-89
132,1.1246927213261701e-89
133,1.1246927211824062e-89
134,1.1246927210383894e-89
135,1.1246927208941193e-89
136,1.1246927207495951e-89
137,1.1246927206048165e-89
138,1.1246927204597836e-89
139,1.1246927203144953e-89
140,1.1246927201689509e-89
141,1.1246927200231507e-89
142,1.1246927198770939e-89
143,1.1246927197307803e-89
144,1.124692719584209e-89
145,1.1246927194373798e-89
146,1.124692719290292e-89
147,1.1246927191429458e-89
148,1.1246927189953399e-89
149,1.1246927188474746e-89
150,1.124692718699349e-89
151,1.1246927185509627e-89
152,1.124692718402315e-89
153,1.1246927182534061e-89
154,1.1246927181042349e-89
155,1.1246927179548015e-89
156,1.1246927178051048e-89
157,1.1246927176551448e-89
158,1.124692717504921e-89
159,1.1246927173544328e-89
160,1.1246927172036796e-89
161,1.1246927170526616e-89
162,1.1246927169013774e-89
163,1.1246927167498271e-89
164,1.12469271659801e-89
165,1.1246927164459258e-89
166,1.1246927162935741e-89
167,1.1246927161409542e-89
168,1.1246927159880655e-89
169,1.1246927158349082e-89
170,1.1246927156814811e-89
171,1.1246927155277843e-89
172,1.1246927153738167e-89
173,1.1246927152195783e-89
174,1.1246927150650683e-89
175,1.1246927149102864e-89
176,1.1246927147552323e-89
177,1.1246927145999054e-89
178,1.1246927144443049e-89
179,1.1246927142884307e-89
180,1.1246927141322824e-89
181,1.124692713975859e-89
182,1.1246927138191608e-89
183,1.1246927136621864e-89
184,1.1246927135049357e-89
185,1.1246927133474087e-89
186,1.1246927131896042e-89
187,1.1246927130315222e-89
188,1.1246927128731617e-89
189,1.1246927127145226e-89
190,1.1246927125556046e-89
191,1.124692712396407e-89
192,1.124692712236929e-89
193,1.1246927120771704e-89
194,1.1246927119171306e-89
195,1.1246927117568092e-89
196,1.1246927115962057e-89
197,1.1246927114353196e-89
198,1.1246927112741505e-89
199,1.1246927111126974e-89
200,1.1246927109509606e-89
201,1.1246927107889391e-89
202,1.1246927106266323e-89
203,1.12469271046404e-89
204,1.1246927103011615e-89
205,1.1246927101379965e-89
206,1.1246927099745442e-89
207,1.1246927098108045e-89
208,1.1246927096467765e-89
209,1.1246927094824598e-89
210,1.1246927093178542e-89
211,1.1246927091529587e-89
212,1.124692708987773e-89
213,1.1246927088222967e-89
214,1.1246927086565292e-89
215,1.12469270849047e-89
216,1.1246927083241186e-89
217,1.1246927081574745e-89
218,1.1246927079905369e-89
219,1.1246927078233057e-89
220,1.1246927076557802e-89
221,1.1246927074879601e-89
222,1.1246927073198444e-89
223,1.1246927071514328e-89
224,1.1246927069827253e-89
225,1.1246927068137205e-89
226,1.1246927066444184e-89
227,1.1246927064748183e-89
228,1.1246927063049198e-89
229,1.1246927061347226e-89
230,1.1246927059642255e-89
231,1.1246927057934283e-89
232,1.1246927056223309e-89
233,1.1246927054509323e-89
234,1.1246927052792318e-89
235,1.1246927051072295e-89
236,1.1246927049349245e-89
237,1.1246927047623162e-89
238,1.1246927045894042e-89
239,1.1246927044161878e-89
240,1.1246927042426665e-89
241,1.12469270406884e-89
242,1.1246927038947076e-89
243,1.1246927037202688e-89
244,1.1246927035455228e-89
245,1.1246927033704696e-89
246,1.1246927031951083e-89
247,1.1246927030194384e-89
248,1.1246927028434592e-89
249,1.1246927026671706e-89
250,1.1246927024905712e-89
251,1.1246927023136618e-89
252,1.1246927021364405e-89
253,1.1246927019589075e-89
254,1.1246927017810622e-89
255,1.124692701602904e-89
256,1.124692701424432e-89
257,1.1246927012456461e-89
258,1.1246927010665456e-89
259,1.1246927008871298e-89
260,1.1246927007073986e-89
261,1.1246927005273507e-89
262,1.124692700346986e-89
263,1.1246927001663042e-89
264,1.1246926999853044e-89
265,1.124692699803986e-89
266,1.1246926996223485e-89
267,1.1246926994403912e-89
268,1.1246926992581141e-89
269,1.1246926990755157e-89
270,1.1246926988925964e-89
271,1.124692698709355e-89
272,1.1246926985257913e-89
273,1.1246926983419044e-89
274,1.124692698157694e-89
275,1.1246926979731597e-89
276,1.1246926977883003e-89
277,1.1246926976031156e-89
278,1.1246926974176051e-89
279,1.1246926972317682e-89
280,1.1246926970456042e-89
281,1.1246926968591127e-89
282,1.1246926966722931e-89
283,1.1246926964851445e-89
284,1.1246926962976667e-89
285,1.1246926961098588e-89
286,1.1246926959217205e-89
287,1.1246926957332513e-89
288,1.1246926955444501e-89
289,1.124692695355317e-89
290,1.1246926951658509e-89
291,1.1246926949760514e-89
292,1.124692694785918e-89
293,1.12469269459545e-89
294,1.1246926944046467e-89
295,1.1246926942135076e-89
296,1.1246926940220325e-89
297,1.1246926938302202e-89
298,1.12469269363807e-89
299,1.1246926934455821e-89
300,1.1246926932527555e-89
301,1.1246926930595893e-89
302,1.1246926928660836e-89
303,1.124692692672237e-89
304,1.1246926924780493e-89
305,1.12469269228352e-89
306,1.1246926920886484e-89
307,1.1246926918934337e-89
308,1.1246926916978757e-89
309,1.1246926915019736e-89
310,1.1246926913057263e-89
311,1.124692691109134e-89
312,1.1246926909121956e-89
313,1.124692690714911e-89
314,1.124692690517279e-89
315,1.1246926903192992e-89
316,1.124692690120971e-89
317,1.1246926899222937e-89
318,1.1246926897232667e-89
319,1.12469268952389e-89
320,1.124692689324162e-89
321,1.1246926891240824e-89
322,1.124692688923651e-89
323,1.1246926887228667e-89
324,1.1246926885217293e-89
325,1.1246926883202377e-89
326,1.1246926881183917e-89
327,1.1246926879161904e-89
328,1.1246926877136334e-89
329,1.1246926875107199e-89
330,1.1246926873074491e-89
331,1.124692687103821e-89
332,1.1246926868998343e-89
333,1.1246926866954885e-89
334,1.1246926864907836e-89
335,1.124692686285718e-89
336,1.1246926860802916e-89
337,1.124692685874504e-89
338,1.124692685668354e-89
339,1.1246926854618414e-89
340,1.1246926852549653e-89
341,1.1246926850477249e-89
342,1.12469268484012e-89
343,1.1246926846321498e-89
344,1.1246926844238136e-89
345,1.124692684215111e-89
346,1.1246926840060409e-89
347,1.124692683796603e-89
348,1.1246926835867965e-89
349,1.1246926833766207e-89
350,1.124692683166075e-89
351,1.1246926829551589e-89
352,1.1246926827438716e-89
353,1.1246926825322126e-89
354,1.1246926823201809e-89
355,1.1246926821077765e-89
356,1.1246926818949978e-89
357,1.1246926816818448e-89
358,1.124692681468317e-89
359,1.1246926812544133e-89
360,1.124692681040133e-89
361,1.124692680825476e-89
362,1.1246926806104408e-89
363,1.1246926803950276e-89
364,1.1246926801792348e-89
365,1.1246926799630627e-89
366,1.1246926797465103e-89
367,1.1246926795295767e-89
368,1.1246926793122612e-89
369,1.124692679094563e-89
370,1.1246926788764823e-89
371,1.1246926786580174e-89
372,1.1246926784391684e-89
373,1.124692678219934e-89
374,1.124692678000314e-89
375,1.1246926777803075e-89
376,1.1246926775599134e-89
377,1.124692677339132e-89
378,1.1246926771179619e-89
379,1.1246926768964028e-89
380,1.1246926766744536e-89
381,1.1246926764521137e-89
382,1.1246926762293829e-89
383,1.1246926760062598e-89
384,1.124692675782744e-89
385,1.1246926755588353e-89
386,1.1246926753345322e-89
387,1.1246926751098344e-89
388,1.1246926748847416e-89
389,1.124692674659252e-89
390,1.124692674433366e-89
391,1.1246926742070828e-89
392,1.124692673980401e-89
393,1.1246926737533203e-89
394,1.1246926735258401e-89
395,1.1246926732979598e-89
396,1.124692673069678e-89
397,1.1246926728409949e-89
398,1.1246926726119092e-89
399,1.1246926723824204e-89
400,1.1246926721525276e-89
401,1.1246926719222303e-89
402,1.1246926716915281e-89
403,1.1246926714604194e-89
404,1.1246926712289042e-89
405,1.1246926709969815e-89
406,1.124692670764651e-89
