time_days,Bi212 top 6
1.1581889009869677e-05,1.937142389645493e-87
1.160227070288277e-05,1.937142389645493e-87
1.1622688263396381e-05,1.937142389645493e-87
1.1643141754529784e-05,1.937142389645493e-87
1.1663631239513322e-05,1.937142389645493e-87
1.168415678168862e-05,1.937142389645493e-87
1.1704718444508758e-05,1.937142389645493e-87
1.1725316291538495e-05,1.937142389645493e-87
1.1745950386454436e-05,1.937142389645493e-87
1.1766620793045252e-05,1.937142389645493e-87
1.178732757521187e-05,1.937142389645493e-87
1.1808070796967665e-05,1.937142389645493e-87
1.1828850522438664e-05,2.6576407516320807e-12
1.1849666815863737e-05,8.229966209623948e-11
1.1870519741594814e-05,1.4539061097517558e-10
1.1891409364097055e-05,2.0202288741777226e-10
1.1912335747949075e-05,2.581380421010875e-10
1.1933298957843133e-05,3.1776171862963837e-10
1.1954299058585331e-05,3.842338390267485e-10
1.1975336115095818e-05,4.595895335580839e-10
1.199641019240898e-05,5.458719885770379e-10
1.2017521355673667e-05,6.453260042188368e-10
1.2038669670153358e-05,7.648971885357009e-10
1.2059855201226398e-05,9.069294506527701e-10
1.2081078014386175e-05,1.0721381709231293e-09
1.2102338175241337e-05,1.2627174047069046e-09
1.2123635749515981e-05,1.4814317825353443e-09
1.2144970803049875e-05,1.7325088659105468e-09
1.2166343401798645e-05,2.0203657435301167e-09
1.2187753611833987e-05,2.3488484038115164e-09
1.2209201499343867e-05,2.7217037962359425e-09
1.2230687130632732e-05,3.1453862798054467e-09
1.2252210572121708e-05,3.628758232155181e-09
1.2273771890348808e-05,4.177537460822086e-09
1.2295371151969139e-05,4.800459199010217e-09
1.2317008423755106e-05,5.500746888791823e-09
1.2338683772596625e-05,6.296260769178633e-09
1.2360397265501313e-05,7.1831719097230415e-09
1.2382148969594712e-05,8.192593864332282e-09
1.2403938952120499e-05,9.313175630567963e-09
1.2425767280440676e-05,1.0582541630101917e-08
1.2447634022035786e-05,1.1991519017440092e-08
1.246953924450513e-05,1.3577221863491397e-08
1.249148301556697e-05,1.5338055179221335e-08
1.2513465403058733e-05,1.7308679984686204e-08
1.2535486474937229e-05,1.949637526845281e-08
1.2557546299278855e-05,2.193560191175418e-08
1.2579644944279813e-05,2.464981686521173e-08
1.2601782478256311e-05,2.7638630663028746e-08
1.262395896964478e-05,3.0987765555436965e-08
1.2646174487002088e-05,3.466451832421272e-08
1.2668429099005746e-05,3.873340161357139e-08
1.2690722874454123e-05,4.3236452557417125e-08
1.271305588226666e-05,4.816241428169353e-08
1.273542819148408e-05,5.364227099103918e-08
1.2757839871268606e-05,5.963260017855573e-08
1.278029099090417e-05,6.62180548961166e-08
1.2802781619796623e-05,7.346813551272367e-08
1.2825311827473973e-05,8.135704163451782e-08
1.2847881683586564e-05,9.009456765094799e-08
1.287049125790732e-05,9.960426452451071e-08
1.2893140620331946e-05,1.0997662110957552e-07
1.2915829840879158e-05,1.21374399357308e-07
1.2938558989690875e-05,1.3372512097230886e-07
1.2961328137032467e-05,1.4725503309550232e-07
1.2984137353292944e-05,1.6200781256437367e-07
1.3006986708985192e-05,1.7798278841000432e-07
1.3029876274746181e-05,1.954209675875414e-07
1.3052806121337195e-05,2.1438425727797655e-07
1.3075776319644034e-05,2.3486496360340944e-07
1.3098786940677248e-05,2.571437447138288e-07
1.3121838055572345e-05,2.8140964741021585e-07
1.3144929735590026e-05,3.0762459172449997e-07
1.3168062052116383e-05,3.359195616402208e-07
1.3191235076663149e-05,3.664325599818001e-07
1.3214448880867883e-05,3.9956135372489715e-07
1.3237703536494226e-05,4.353482539172183e-07
1.3260999115432103e-05,4.738895609976755e-07
1.3284335689697951e-05,5.153516445434172e-07
1.330771333143494e-05,5.599200297580436e-07
1.3331132112913196e-05,6.080082060343906e-07
1.3354592106530025e-05,6.598819255650688e-07
1.337809338481014e-05,7.15532200599654e-07
1.3401636020405882e-05,7.751883877158173e-07
1.3425220086097441e-05,8.390909851288446e-07
1.3448845654793088e-05,9.076046537940392e-07
1.34725127995294e-05,9.815126210445209e-07
1.349622159347147e-05,1.0605991010470509e-06
1.3519972109913168e-05,1.145157345192579e-06
1.3543764422277326e-05,1.2355067980683987e-06
1.3567598604115993e-05,1.3319822083771676e-06
1.3591474729110654e-05,1.4349342137565429e-06
1.361539287107246e-05,1.5452346484381654e-06
1.363935310394245e-05,1.6631725493927593e-06
1.3663355501791783e-05,1.7888298191394934e-06
1.3687400138821973e-05,1.9226322772129374e-06
1.3711487089365112e-05,2.0650250482057857e-06
1.3735616427884092e-05,2.2168103384511222e-06
1.3759788228972857e-05,2.3782552968219627e-06
1.3784002567356613e-05,2.5503066902381606e-06
1.380825951789207e-05,2.7336258994205667e-06
1.3832559155567663e-05,2.9283336148212655e-06
1.3856901555503803e-05,3.1350239777191993e-06
1.3881286792953086e-05,3.3543159164164958e-06
1.3905714943300544e-05,3.587591934572407e-06
1.3930186082063866e-05,3.83499268892027e-06
1.3954700284893642e-05,4.097249300701397e-06
1.3979257627573583e-05,4.375123795503603e-06
1.400385818602077e-05,4.6694101157943e-06
1.402850203628588e-05,4.980935153004919e-06
1.4053189254553426e-05,5.310559799906598e-06
1.4077919917141983e-05,5.659180023756936e-06
1.4102694100504435e-05,6.027727960609203e-06
1.4127511881228208e-05,6.4171730311145776e-06
1.4152373336035507e-05,6.828523078109932e-06
1.4177278541783544e-05,7.262825526247423e-06
1.4202227575464792e-05,7.722562883812032e-06
1.4227220514207215e-05,8.207547817312076e-06
1.4252257435274499e-05,8.71896857363921e-06
1.42773384160663e-05,9.258059817710913e-06
1.430246353411849e-05,9.826718109680636e-06
1.432763286710337e-05,1.0425405745208432e-05
1.4352846492829945e-05,1.1055554949608899e-05
1.4378104489244141e-05,1.1718641304507044e-05
1.4403406934429051e-05,1.2416184332661908e-05
1.4428753906605179e-05,1.3149748017001996e-05
1.4454145484130684e-05,1.3920941329723304e-05
1.4479581745501612e-05,1.4731418777769493e-05
1.4505062769352152e-05,1.5582880960945467e-05
1.453058863445487e-05,1.6477075140114225e-05
1.4556159419720954e-05,1.741579581576907e-05
1.4581775204200458e-05,1.840088531950979e-05
1.4607436067082557e-05,1.9434234328130736e-05
